formula,material_id
InP,JVASP-1183
CdPS3,JVASP-4633
SiSe2,JVASP-22639
NaLiCO3,JVASP-34696
Tb2SeO2,JVASP-50107
K4I2O,JVASP-22713
Ba2SrWO6,JVASP-11491
MgCo2O4,JVASP-10055
CdBr2,JVASP-3906
KLiZnO2,JVASP-26383
NbS2Cl2,JVASP-5338
AlVPt,JVASP-40783
Tb2Be2O5,JVASP-37329
BAs,JVASP-133719
Rb2NaBiCl6,JVASP-38057
ErVO4,JVASP-11726
TiO2,JVASP-152297
TiZnBi2O6,JVASP-11614
NdTeCl,JVASP-35012
Cd3TeO6,JVASP-49183
LiHF2,JVASP-102439
In2S3,JVASP-12428
AlWO4,JVASP-59596
HfN,JVASP-15075
Tm2CdSe4,JVASP-11201
H8PdN2Cl6,JVASP-31945
DyHO2,JVASP-43747
Te4W3S2,JVASP-28577
AgH4WS4N,JVASP-51768
BaN3Cl,JVASP-56323
Tl2Pt2O7,JVASP-49170
Nb3O7F,JVASP-52321
Cu2PbO2,JVASP-13020
Na2SO3,JVASP-12370
MgBe2P2,JVASP-138162
ZnMoO4,JVASP-152092
MgSe,JVASP-35695
ErPPd,JVASP-152566
Tl4SnTe3,JVASP-9377
KZnB3O6,JVASP-133280
MgTlF3,JVASP-134781
CaMoO4,JVASP-151986
Na3TiCl6,JVASP-59050
Al2CdTe4,JVASP-2670
LiSiBiO4,JVASP-40900
NaSr2IO6,JVASP-102605
MnZnTe2,JVASP-107544
RbHgF3,JVASP-2580
SnO2,JVASP-149190
Li2P2WO8,JVASP-47731
CuAsSe2,JVASP-108788
LiHoS2,JVASP-1825
SrLi4P2,JVASP-86285
C3N4,JVASP-30462
Al2ZnSe2S2,JVASP-108162
TiOF,JVASP-118338
SnSO4,JVASP-98606
RbUO3,JVASP-3171
In2Se3,JVASP-28366
Na3FeO4,JVASP-43964
CN2,JVASP-28383
TeMoS,JVASP-33951
Rb2Hf2O5,JVASP-102853
CeI3,JVASP-109035
KBH4,JVASP-31183
ZnCu2O4,JVASP-141532
MgTiO3,JVASP-9438
VNCl4,JVASP-5404
PbBrCl,JVASP-12473
Li2VGa3O8,JVASP-145636
