formula,material_id
MgCu2O4,JVASP-9884
ZnBi2O5,JVASP-9800
GaAgP2Se6,JVASP-27498
SCl2,JVASP-58833
InS,JVASP-51076
AlBiO3,JVASP-11273
PtI2,JVASP-12896
InN,JVASP-17841
NaS,JVASP-9152
InAgS2,JVASP-12383
KP,JVASP-10123
SbIrS,JVASP-10264
P2Se5,JVASP-5590
AsCl5,JVASP-5770
Si,JVASP-25415
HoSO,JVASP-46072
Rb2As3,JVASP-11390
SrZrS3,JVASP-21271
HfS3,JVASP-8218
Mg2Mo3O8,JVASP-19255
MgCu2O4,JVASP-9908
GaAgTeSe,JVASP-109402
SrTaNO2,JVASP-109687
MoH2O4,JVASP-54713
AlInSb2,JVASP-109795
ScVO4,JVASP-11823
CrO3,JVASP-44469
Na2WO4,JVASP-11669
BaH2O4,JVASP-54745
CuAs2Pb6Cl7O6,JVASP-53178
ZnS,JVASP-10591
HgSO4,JVASP-9390
ZnGeN2,JVASP-9374
Ag3PO4,JVASP-9585
MoWSe2S2,JVASP-28698
NbBi3O7,JVASP-13254
Ga3BN4,JVASP-35152
NbS2,JVASP-574
Ag3SI,JVASP-53111
KNO3,JVASP-53146
Na2GaNiF7,JVASP-57312
Ca3PbO,JVASP-17656
CoC4N6,JVASP-59765
PbS,JVASP-17941
Li3VB2O6,JVASP-40731
TeMoWSe3,JVASP-28952
ScMo3O8,JVASP-12703
VRhO4,JVASP-42957
Bi4Te7Pb,JVASP-12475
Na3VS3O,JVASP-12252
Te2Mo3WS6,JVASP-28699
Ag2Te,JVASP-108812
Rb4CuSi2O7,JVASP-25574
Cd2GaAgSe4,JVASP-108799
ZnO,JVASP-17188
Cu2SnSe3,JVASP-109764
Hg3Cl2O2,JVASP-12474
Ca3SnH2,JVASP-37879
CaSnS3,JVASP-40190
Ta2Te4Br10O,JVASP-31871
BaAlSi,JVASP-17183
ScS,JVASP-19725
