formula,material_id,element,recommended_ed_eV,aggregation_mode,weighted_mean_ed_eV,minimum_ed_eV,maximum_ed_eV,inequivalent_site_count,structure_source,ed_mode,status,error
Ag2Te,JVASP-108812,Ag,25.44,min,25.44,25.44,25.44,1,jarvis_relaxed_input+idealized,static,ok,
Ag2Te,JVASP-108812,Te,49.149,min,49.149,49.149,49.149,1,jarvis_relaxed_input+idealized,static,ok,
Ag3PO4,JVASP-9585,Ag,14.705,min,14.705,14.705,14.705,1,jarvis_relaxed_input+idealized,static,ok,
Ag3PO4,JVASP-9585,P,8.7,min,8.7,8.7,8.7,1,jarvis_relaxed_input+idealized,static,ok,
Ag3PO4,JVASP-9585,O,6.933,min,6.933,6.933,6.933,1,jarvis_relaxed_input+idealized,static,ok,
Ag3SI,JVASP-53111,Ag,29.402,min,29.402,29.402,29.402,1,jarvis_relaxed_input+idealized,static,ok,
Ag3SI,JVASP-53111,S,2.943,min,2.943,2.943,2.943,1,jarvis_relaxed_input+idealized,static,ok,
Ag3SI,JVASP-53111,I,43.659,min,43.659,43.659,43.659,1,jarvis_relaxed_input+idealized,static,ok,
AlBiO3,JVASP-11273,Al,4.392,min,4.392,4.392,4.392,1,jarvis_relaxed_input+idealized,static,ok,
AlBiO3,JVASP-11273,Bi,21.997,min,21.997,21.997,21.997,1,jarvis_relaxed_input+idealized,static,ok,
AlBiO3,JVASP-11273,O,8.407,min,8.407,8.407,8.407,1,jarvis_relaxed_input+idealized,static,ok,
AlInSb2,JVASP-109795,Al,1.35,min,1.35,1.35,1.35,1,jarvis_relaxed_input+idealized,static,ok,
AlInSb2,JVASP-109795,In,0.286,min,0.286,0.286,0.286,1,jarvis_relaxed_input+idealized,static,ok,
AlInSb2,JVASP-109795,Sb,14.278,min,14.278,14.278,14.278,1,jarvis_relaxed_input+idealized,static,ok,
AsCl5,JVASP-5770,As,1.219,min,1.219,1.219,1.219,1,jarvis_relaxed_input+idealized,static,ok,
AsCl5,JVASP-5770,Cl,0.668,min,0.668,0.668,0.668,1,jarvis_relaxed_input+idealized,static,ok,
BaAlSi,JVASP-17183,Ba,7.95,min,7.95,7.95,7.95,1,jarvis_relaxed_input+idealized,static,ok,
BaAlSi,JVASP-17183,Al,4.891,min,4.891,4.891,4.891,1,jarvis_relaxed_input+idealized,static,ok,
BaAlSi,JVASP-17183,Si,2.351,min,2.351,2.351,2.351,1,jarvis_relaxed_input+idealized,static,ok,
BaH2O4,JVASP-54745,Ba,49.308,min,49.308,49.308,49.308,1,jarvis_relaxed_input+idealized,static,ok,
BaH2O4,JVASP-54745,H,1.286,min,1.286,1.286,1.286,1,jarvis_relaxed_input+idealized,static,ok,
BaH2O4,JVASP-54745,O,0.599,min,0.599,0.599,0.599,1,jarvis_relaxed_input+idealized,static,ok,
Bi4Te7Pb,JVASP-12475,Bi,8.0,min,8.0,8.0,8.0,1,material_level_fallback_no_qe_result,static,ok,
Bi4Te7Pb,JVASP-12475,Te,5.5,min,5.5,5.5,5.5,1,material_level_fallback_no_qe_result,static,ok,
Bi4Te7Pb,JVASP-12475,Pb,8.0,min,8.0,8.0,8.0,1,material_level_fallback_no_qe_result,static,ok,
Ca3PbO,JVASP-17656,Ca,8.0,min,8.0,8.0,8.0,1,material_level_fallback_no_qe_result,static,ok,
Ca3PbO,JVASP-17656,Pb,8.0,min,8.0,8.0,8.0,1,material_level_fallback_no_qe_result,static,ok,
Ca3PbO,JVASP-17656,O,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
Ca3SnH2,JVASP-37879,Ca,6.884,min,6.884,6.884,6.884,1,jarvis_relaxed_input+idealized,static,ok,
Ca3SnH2,JVASP-37879,Sn,20.699,min,20.699,20.699,20.699,1,jarvis_relaxed_input+idealized,static,ok,
