formula,material_id,element,site_label,site_ed_eV,multiplicity,best_direction,best_distance_angstrom,status,error
Ag2Te,JVASP-108812,Ag,Ag_s0,25.44,2,[010],2.916154,ok,
Ag2Te,JVASP-108812,Te,Te_s0,49.149,1,[010],2.916154,ok,
Ag3PO4,JVASP-9585,Ag,Ag_s0,14.705,6,[001],1.342385,ok,
Ag3PO4,JVASP-9585,P,P_s0,8.7,2,,,fallback,QE failed for JVASP-9585_P_s0_[100]_0p300 with code 1. See /scratch/local/33070752/lumens-ed-gpu-33070752/workspace/calculations/pipeline_JVASP-9585/ed/JVASP-9585_P_s0_[100]_0p300.out.
Ag3PO4,JVASP-9585,O,O_s0,6.933,8,[001],1.562888,ok,
Ag3SI,JVASP-53111,Ag,Ag_s0,29.402,3,[100],1.42271,ok,
Ag3SI,JVASP-53111,S,S_s0,2.943,1,[100],1.42271,ok,
Ag3SI,JVASP-53111,I,I_s0,43.659,1,[010],2.974258,ok,
AlBiO3,JVASP-11273,Al,Al_s0,4.392,2,[001],1.272214,ok,
AlBiO3,JVASP-11273,Bi,Bi_s0,21.997,2,[010],2.099136,ok,
AlBiO3,JVASP-11273,O,O_s0,8.407,6,[001],2.244427,ok,
AlInSb2,JVASP-109795,Al,Al_s0,1.35,1,[001],2.688133,ok,
AlInSb2,JVASP-109795,In,In_s0,0.286,1,[001],0.3,ok,
AlInSb2,JVASP-109795,Sb,Sb_s0,14.278,2,[100],2.688133,ok,
AsCl5,JVASP-5770,As,As_s0,1.219,2,[001],0.3,ok,
AsCl5,JVASP-5770,Cl,Cl_s0,0.668,10,[010],0.3,ok,
BaAlSi,JVASP-17183,Ba,Ba_s0,7.95,1,[100],1.949706,ok,
BaAlSi,JVASP-17183,Al,Al_s0,4.891,1,[001],2.50115,ok,
BaAlSi,JVASP-17183,Si,Si_s0,2.351,1,[010],2.50115,ok,
BaH2O4,JVASP-54745,Ba,Ba_s0,49.308,4,[001],2.762234,ok,
BaH2O4,JVASP-54745,H,H_s0,1.286,8,[010],0.676418,ok,
BaH2O4,JVASP-54745,O,O_s0,0.599,16,[010],0.3,ok,
Bi4Te7Pb,JVASP-12475,Bi,Bi_fallback,8.0,4.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-12475_perf.run.in']' timed out after 300 seconds"
Bi4Te7Pb,JVASP-12475,Te,Te_fallback,5.5,7.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-12475_perf.run.in']' timed out after 300 seconds"
Bi4Te7Pb,JVASP-12475,Pb,Pb_fallback,8.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-12475_perf.run.in']' timed out after 300 seconds"
Ca3PbO,JVASP-17656,Ca,Ca_fallback,8.0,3.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-17656_perf.run.in']' timed out after 300 seconds"
Ca3PbO,JVASP-17656,Pb,Pb_fallback,8.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-17656_perf.run.in']' timed out after 300 seconds"
Ca3PbO,JVASP-17656,O,O_fallback,28.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-17656_perf.run.in']' timed out after 300 seconds"
Ca3SnH2,JVASP-37879,Ca,Ca_s0,6.884,6,[100],2.246551,ok,
Ca3SnH2,JVASP-37879,Sn,Sn_s0,20.699,2,[001],3.296831,ok,
Ca3SnH2,JVASP-37879,H,H_s0,1.517,4,[010],2.22316,ok,
CaSnS3,JVASP-40190,Ca,Ca_s0,5.795,4,[010],1.631366,ok,
CaSnS3,JVASP-40190,Sn,Sn_s0,12.0,4,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-40190_Sn_s0_[100]_1p390.run.in']' timed out after 300 seconds"
CaSnS3,JVASP-40190,S,S_s0,7.6,12,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-40190_S_s0_[001]_1p390.run.in']' timed out after 300 seconds"
Cd2GaAgSe4,JVASP-108799,Cd,Cd_s0,14.814,2,[100],2.575589,ok,
Cd2GaAgSe4,JVASP-108799,Ga,Ga_s0,2.202,1,[100],2.435366,ok,
Cd2GaAgSe4,JVASP-108799,Ag,Ag_s0,5.875,1,[100],2.584289,ok,
Cd2GaAgSe4,JVASP-108799,Se,Se_s0,25.628,4,[010],2.587475,ok,
CoC4N6,JVASP-59765,Co,Co_fallback,22.0,1.0,,,fallback,QE failed for JVASP-59765_perf with code 1. See /scratch/local/33071155/lumens-ed-gpu-33071155/workspace/calculations/pipeline_JVASP-59765/ed/JVASP-59765_perf.out.
CoC4N6,JVASP-59765,C,C_fallback,37.0,4.0,,,fallback,QE failed for JVASP-59765_perf with code 1. See /scratch/local/33071155/lumens-ed-gpu-33071155/workspace/calculations/pipeline_JVASP-59765/ed/JVASP-59765_perf.out.
CoC4N6,JVASP-59765,N,N_fallback,22.0,6.0,,,fallback,QE failed for JVASP-59765_perf with code 1. See /scratch/local/33071155/lumens-ed-gpu-33071155/workspace/calculations/pipeline_JVASP-59765/ed/JVASP-59765_perf.out.
CrO3,JVASP-44469,Cr,Cr_s0,11.925,4,[010],1.581287,ok,
CrO3,JVASP-44469,O,O_s0,2.921,12,[100],0.3,ok,
Cu2SnSe3,JVASP-109764,Cu,Cu_s0,1.448,2,[001],2.420819,ok,
Cu2SnSe3,JVASP-109764,Sn,Sn_s0,2.997,1,[001],1.454057,ok,
Cu2SnSe3,JVASP-109764,Se,Se_s0,0.62,3,[001],1.360409,ok,
CuAs2Pb6Cl7O6,JVASP-53178,Cu,Cu_s0,1.032,1,[001],2.345902,ok,
CuAs2Pb6Cl7O6,JVASP-53178,As,As_s0,7.905,2,[001],1.062121,ok,
CuAs2Pb6Cl7O6,JVASP-53178,Pb,Pb_s0,9.406,6,[001],2.377524,ok,
CuAs2Pb6Cl7O6,JVASP-53178,Cl,Cl_s0,8.419,7,[010],1.322951,ok,
CuAs2Pb6Cl7O6,JVASP-53178,O,O_s0,4.314,6,[001],1.799541,ok,
Ga3BN4,JVASP-35152,Ga,Ga_s0,10.808,3,[100],1.952613,ok,
Ga3BN4,JVASP-35152,B,B_s0,8.338,1,[010],1.643482,ok,
Ga3BN4,JVASP-35152,N,N_s0,8.691,4,[010],1.643482,ok,
GaAgP2Se6,JVASP-27498,Ga,Ga_s0,5.442,2,[001],2.658745,ok,
GaAgP2Se6,JVASP-27498,Ag,Ag_s0,1.858,2,[001],1.588131,ok,
GaAgP2Se6,JVASP-27498,P,P_s0,2.469,4,[001],2.229486,ok,
GaAgP2Se6,JVASP-27498,Se,Se_s0,2.533,12,[001],2.229486,ok,
GaAgTeSe,JVASP-109402,Ga,Ga_s0,2.622,2,[001],1.391161,ok,
GaAgTeSe,JVASP-109402,Ag,Ag_s0,1.166,2,[100],1.496189,ok,
GaAgTeSe,JVASP-109402,Te,Te_s0,3.638,2,[100],1.47357,ok,
GaAgTeSe,JVASP-109402,Se,Se_s0,2.338,2,[001],2.482321,ok,
HfS3,JVASP-8218,Hf,Hf_s0,30.0,2,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-8218_Hf_s0_[010]_1p445.run.in']' timed out after 300 seconds"
HfS3,JVASP-8218,S,S_s0,4.039,6,[100],1.198032,ok,
Hg3Cl2O2,JVASP-12474,Hg,Hg_s0,17.776,6,[001],2.216523,ok,
Hg3Cl2O2,JVASP-12474,Cl,Cl_s0,12.456,4,[001],1.510798,ok,
Hg3Cl2O2,JVASP-12474,O,O_s0,2.177,4,[100],1.202033,ok,
HgSO4,JVASP-9390,Hg,Hg_s0,27.053,2,[001],1.280788,ok,
HgSO4,JVASP-9390,S,S_s0,3.01,2,[100],0.3,ok,
HgSO4,JVASP-9390,O,O_s0,2.315,8,[100],0.3,ok,
HoSO,JVASP-46072,Ho,Ho_fallback,9.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-46072_perf.run.in']' timed out after 300 seconds"
HoSO,JVASP-46072,S,S_fallback,7.6,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-46072_perf.run.in']' timed out after 300 seconds"
HoSO,JVASP-46072,O,O_fallback,28.0,1.0,,,fallback,"Command '['/apps/nvhpc/26.3/openmpi/5.0.7/espresso/7.5.0_l4/bin/pw.x', '-in', 'JVASP-46072_perf.run.in']' timed out after 300 seconds"
InAgS2,JVASP-12383,In,In_s0,39.49,4,[010],2.492886,ok,
InAgS2,JVASP-12383,Ag,Ag_s0,2.877,4,[100],2.546488,ok,
InAgS2,JVASP-12383,S,S_s0,9.262,8,[001],2.492886,ok,
InN,JVASP-17841,In,In_s0,60.643,1,[001],1.325304,ok,
InN,JVASP-17841,N,N_s0,52.307,1,[001],1.325304,ok,
InS,JVASP-51076,In,In_s0,11.529,4,[100],2.547285,ok,
InS,JVASP-51076,S,S_s0,3.526,4,[010],1.423643,ok,
KNO3,JVASP-53146,K,K_s0,3.45,1,[001],2.72596,ok,
KNO3,JVASP-53146,N,N_s0,3.834,1,[010],0.3,ok,
KNO3,JVASP-53146,O,O_s0,3.342,3,[010],0.3,ok,
KP,JVASP-10123,K,K_s0,12.274,8,[001],3.219023,ok,
KP,JVASP-10123,P,P_s0,12.243,8,[010],2.273121,ok,
Li3VB2O6,JVASP-40731,Li,Li_fallback,12.0,3.0,,,fallback,QE failed for JVASP-40731_perf with code 1. See /scratch/local/33071358/lumens-ed-gpu-33071358/workspace/calculations/pipeline_JVASP-40731/ed/JVASP-40731_perf.out.
Li3VB2O6,JVASP-40731,V,V_fallback,28.0,1.0,,,fallback,QE failed for JVASP-40731_perf with code 1. See /scratch/local/33071358/lumens-ed-gpu-33071358/workspace/calculations/pipeline_JVASP-40731/ed/JVASP-40731_perf.out.
Li3VB2O6,JVASP-40731,B,B_fallback,22.0,2.0,,,fallback,QE failed for JVASP-40731_perf with code 1. See /scratch/local/33071358/lumens-ed-gpu-33071358/workspace/calculations/pipeline_JVASP-40731/ed/JVASP-40731_perf.out.
