,formula,jid
0,MgCu2O4,JVASP-9884
1,ZnBi2O5,JVASP-9800
2,GaAgP2Se6,JVASP-27498
3,SCl2,JVASP-58833 
4,InS,JVASP-51076
5,AlBiO3,JVASP-11273
6,PtI2,JVASP-12896
7,InN,JVASP-17841
8,NaS,JVASP-9152
9,InAgS2,JVASP-12383
0,KP,JVASP-10123
1,SbIrS,JVASP-10264
2,P2Se5,JVASP-5590
3,AsCl5,JVASP-5770
4,Si,JVASP-25415
5,HoSO,JVASP-46072
6,Rb2As3,JVASP-11390
7,SrZrS3,JVASP-21271
8,HfS3,JVASP-8218
9,Mg2Mo3O8,JVASP-19255
0,MgCu2O4,JVASP-9908
1,GaAgTeSe,JVASP-109402
2,SrTaNO2,JVASP-109687
3,MoH2O4,JVASP-54713
4,AlInSb2,JVASP-109795
5,ScVO4,JVASP-11823
6,CrO3,JVASP-44469
7,Na2WO4,JVASP-11669
8,BaH2O4,JVASP-54745
9,CuAs2Pb6Cl7O6,JVASP-53178
0,ZnS,JVASP-10591
1,HgSO4,JVASP-9390
2,ZnGeN2,JVASP-9374
3,Ag3PO4,JVASP-9585
4,MoWSe2S2,JVASP-28698
5,NbBi3O7,JVASP-13254
6,Ga3BN4,JVASP-35152
7,NbS2,JVASP-574
8,Ag3SI,JVASP-53111
9,KNO3,JVASP-53146
0,Na2GaNiF7,JVASP-57312
1,Ca3PbO,JVASP-17656
2,CoC4N6,JVASP-59765
3,PbS,JVASP-17941
4,Li3VB2O6,JVASP-40731
5,TeMoWSe3,JVASP-28952
6,ScMo3O8,JVASP-12703
7,VRhO4,JVASP-42957
8,Bi4Te7Pb,JVASP-12475
9,Na3VS3O,JVASP-12252
0,Te2Mo3WS6,JVASP-28699
1,Ag2Te,JVASP-108812
2,Rb4CuSi2O7,JVASP-25574
3,Cd2GaAgSe4,JVASP-108799
4,ZnO,JVASP-17188
5,Cu2SnSe3,JVASP-109764
6,Hg3Cl2O2,JVASP-12474
7,Ca3SnH2,JVASP-37879
8,CaSnS3,JVASP-40190
9,Ta2Te4Br10O,JVASP-31871
0,BaAlSi,JVASP-17183
1,ScS,JVASP-19725
