# niel for InP (protons)
# density: 4.5852 g/cm³
# method: PBE+D3(relaxed)
# displacement thresholds: P=8.7eV, In=8.8eV
# cross-section: screened relativistic coulomb (zbl screening)
# lindhard: two-body (Z1,M1,Z2,M2) formulation
# multi-sublattice: niel = sum_i f_i * niel_i
#
# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-01	2.215881e-01
1.128838e-01	1.984644e-01
1.274275e-01	1.776843e-01
1.438450e-01	1.590192e-01
1.623777e-01	1.422615e-01
1.832981e-01	1.272230e-01
2.069138e-01	1.137332e-01
2.335721e-01	1.016379e-01
2.636651e-01	9.079745e-02
2.976351e-01	8.108566e-02
3.359818e-01	7.238856e-02
3.792690e-01	6.460324e-02
4.281332e-01	5.763684e-02
4.832930e-01	5.140565e-02
5.455595e-01	4.583418e-02
6.158482e-01	4.085447e-02
6.951928e-01	3.640531e-02
7.847600e-01	3.243161e-02
8.858668e-01	2.888382e-02
1.000000e+00	2.571741e-02
1.082637e+00	2.383027e-02
1.172102e+00	2.207928e-02
1.268961e+00	2.045484e-02
1.373824e+00	1.894801e-02
1.487352e+00	1.755049e-02
1.610262e+00	1.625450e-02
1.743329e+00	1.505283e-02
1.887392e+00	1.393877e-02
2.043360e+00	1.290605e-02
2.212216e+00	1.194885e-02
2.395027e+00	1.106176e-02
2.592944e+00	1.023975e-02
2.807216e+00	9.478112e-03
3.039195e+00	8.772506e-03
3.290345e+00	8.118877e-03
3.562248e+00	7.513462e-03
3.856620e+00	6.952761e-03
4.175319e+00	6.433524e-03
4.520354e+00	5.952733e-03
4.893901e+00	5.507582e-03
5.298317e+00	5.095468e-03
5.736153e+00	4.713973e-03
6.210169e+00	4.360853e-03
6.723358e+00	4.034025e-03
7.278954e+00	3.731556e-03
7.880463e+00	3.451653e-03
8.531679e+00	3.192652e-03
9.236709e+00	2.953011e-03
1.000000e+01	2.731298e-03
1.108825e+01	2.467507e-03
1.229493e+01	2.229146e-03
1.363293e+01	2.013788e-03
1.511654e+01	1.819234e-03
1.676160e+01	1.643493e-03
1.858569e+01	1.484760e-03
2.060828e+01	1.341403e-03
2.285098e+01	1.211944e-03
2.533774e+01	1.095047e-03
2.809513e+01	9.894994e-04
3.115259e+01	8.942084e-04
3.454278e+01	8.081832e-04
3.830190e+01	7.305283e-04
4.247012e+01	6.604340e-04
4.709194e+01	5.971682e-04
5.221673e+01	5.400689e-04
5.789923e+01	4.885380e-04
6.420012e+01	4.420348e-04
7.118672e+01	4.000708e-04
7.893363e+01	3.622046e-04
8.752360e+01	3.280373e-04
9.704838e+01	2.972088e-04
1.076097e+02	2.693936e-04
1.193203e+02	2.442979e-04
1.323054e+02	2.216563e-04
1.467036e+02	2.012291e-04
1.626686e+02	1.827999e-04
1.803711e+02	1.661734e-04
2.000000e+02	1.511732e-04
