# niel for InP (protons), geant4 monte carlo + analytical coulomb
# density 4.6694 g/cm3 (dft pbe+d3 vc-relaxed)
# nuclear channels: geant4 qgsp_bic_hp, step-level energy binning
# coulomb channel: analytical screened rutherford + mott correction
# target 5.0 cm slab, multi-energy proton runs
# lindhard robinson partition
# displacement thresholds p 8.7 eV, in 8.8 eV
#
# energy_mev	niel_total	niel_g4_nuclear	niel_coulomb
1.068553e-01	2.004627e-01	0.000000e+00	2.004627e-01
1.220080e-01	1.775690e-01	0.000000e+00	1.775690e-01
1.393094e-01	1.571814e-01	0.000000e+00	1.571814e-01
1.590643e-01	1.390381e-01	0.000000e+00	1.390381e-01
1.816205e-01	1.229035e-01	0.000000e+00	1.229035e-01
2.073753e-01	1.086171e-01	0.000000e+00	1.086171e-01
2.367823e-01	9.611973e-02	0.000000e+00	9.611973e-02
2.703594e-01	8.500920e-02	0.000000e+00	8.500920e-02
3.086979e-01	7.513771e-02	0.000000e+00	7.513771e-02
3.524731e-01	6.637252e-02	0.000000e+00	6.637252e-02
4.024558e-01	5.859444e-02	0.000000e+00	5.859444e-02
4.595263e-01	5.169656e-02	0.000000e+00	5.169656e-02
5.246897e-01	4.565483e-02	7.177509e-05	4.558306e-02
5.990937e-01	4.065817e-02	4.900916e-04	4.016808e-02
6.840486e-01	3.537479e-02	0.000000e+00	3.537479e-02
7.810506e-01	3.149972e-02	3.652597e-04	3.113446e-02
8.918080e-01	2.781266e-02	3.852693e-04	2.742739e-02
1.018271e+00	2.457925e-02	4.201031e-04	2.415915e-02
1.162668e+00	2.196438e-02	7.072106e-04	2.125716e-02
1.327541e+00	1.946678e-02	7.427889e-04	1.872399e-02
1.515794e+00	1.684422e-02	3.774838e-04	1.646673e-02
1.730742e+00	1.510736e-02	6.315633e-04	1.447580e-02
1.976171e+00	1.323782e-02	4.961511e-04	1.274167e-02
2.256404e+00	1.170712e-02	5.092106e-04	1.119791e-02
2.576374e+00	1.038205e-02	5.456605e-04	9.836393e-03
2.941719e+00	9.057039e-03	4.040939e-04	8.652945e-03
3.358872e+00	8.071771e-03	4.714695e-04	7.600302e-03
3.835179e+00	7.017303e-03	3.454244e-04	6.671879e-03
4.379029e+00	6.225020e-03	3.585660e-04	5.866454e-03
5.000000e+00	5.491938e-03	3.413708e-04	5.150567e-03
5.709028e+00	4.816604e-03	2.975569e-04	4.519047e-03
6.518601e+00	4.223778e-03	2.515842e-04	3.972193e-03
7.442976e+00	3.766982e-03	2.805543e-04	3.486428e-03
8.498432e+00	3.325310e-03	2.675293e-04	3.057781e-03
9.703558e+00	3.025664e-03	3.384224e-04	2.687241e-03
1.107958e+01	2.651705e-03	2.961900e-04	2.355515e-03
1.265073e+01	2.347320e-03	2.757621e-04	2.071558e-03
1.444467e+01	2.125535e-03	3.062701e-04	1.819265e-03
1.649301e+01	1.934329e-03	3.393258e-04	1.595003e-03
1.883181e+01	1.781941e-03	3.823146e-04	1.399626e-03
2.150227e+01	1.599673e-03	3.693365e-04	1.230336e-03
2.455141e+01	1.449671e-03	3.698103e-04	1.079861e-03
2.803294e+01	1.280831e-03	3.346083e-04	9.462229e-04
3.200817e+01	1.193117e-03	3.607472e-04	8.323696e-04
3.654711e+01	1.097705e-03	3.661631e-04	7.315419e-04
4.172970e+01	9.891609e-04	3.471706e-04	6.419903e-04
4.764721e+01	9.212535e-04	3.573841e-04	5.638695e-04
5.440385e+01	8.466527e-04	3.502664e-04	4.963864e-04
6.211863e+01	7.768801e-04	3.404376e-04	4.364425e-04
7.092741e+01	7.247923e-04	3.415538e-04	3.832385e-04
8.098532e+01	6.564259e-04	3.185877e-04	3.378382e-04
9.246949e+01	5.968323e-04	2.990840e-04	2.977483e-04
1.055822e+02	5.443959e-04	2.822379e-04	2.621580e-04
1.205544e+02	5.042658e-04	2.732083e-04	2.310575e-04
1.376496e+02	4.756294e-04	2.713661e-04	2.042633e-04
1.571691e+02	4.531295e-04	2.726601e-04	1.804694e-04
1.794566e+02	4.232475e-04	2.638917e-04	1.593558e-04
2.049046e+02	4.019405e-04	2.577268e-04	1.442137e-04
2.339612e+02	1.442137e-04	0.000000e+00	1.442137e-04
