# Energy_MeV	NIEL_total	NIEL_P(f=0.500)	NIEL_In(f=0.500)
1.000000e-01	2.215881e-01	3.001391e-01	1.430372e-01
1.128838e-01	1.984644e-01	2.684831e-01	1.284457e-01
1.274275e-01	1.776843e-01	2.400739e-01	1.152947e-01
1.438450e-01	1.590192e-01	2.145898e-01	1.034485e-01
1.623777e-01	1.422615e-01	1.917394e-01	9.278356e-02
1.832981e-01	1.272230e-01	1.712591e-01	8.318683e-02
2.069138e-01	1.137332e-01	1.529108e-01	7.455561e-02
2.335721e-01	1.016379e-01	1.364794e-01	6.679639e-02
2.636651e-01	9.079745e-02	1.217707e-01	5.982424e-02
2.976351e-01	8.108566e-02	1.086093e-01	5.356205e-02
3.359818e-01	7.238856e-02	9.683725e-02	4.793987e-02
3.792690e-01	6.460324e-02	8.631213e-02	4.289434e-02
4.281332e-01	5.763684e-02	7.690561e-02	3.836807e-02
4.832930e-01	5.140565e-02	6.850213e-02	3.430917e-02
5.455595e-01	4.583418e-02	6.099768e-02	3.067069e-02
6.158482e-01	4.085447e-02	5.429870e-02	2.741025e-02
6.951928e-01	3.640531e-02	4.832105e-02	2.448956e-02
7.847600e-01	3.243161e-02	4.298911e-02	2.187411e-02
8.858668e-01	2.888382e-02	3.823490e-02	1.953274e-02
1.000000e+00	2.571741e-02	3.399742e-02	1.743741e-02
1.082637e+00	2.383027e-02	3.147477e-02	1.618577e-02
1.172102e+00	2.207928e-02	2.913623e-02	1.502233e-02
1.268961e+00	2.045484e-02	2.696867e-02	1.394101e-02
1.373824e+00	1.894801e-02	2.495989e-02	1.293614e-02
1.487352e+00	1.755049e-02	2.309854e-02	1.200243e-02
1.610262e+00	1.625450e-02	2.137404e-02	1.113496e-02
1.743329e+00	1.505283e-02	1.977655e-02	1.032911e-02
1.887392e+00	1.393877e-02	1.829692e-02	9.580614e-03
2.043360e+00	1.290605e-02	1.692664e-02	8.885460e-03
2.212216e+00	1.194885e-02	1.565778e-02	8.239927e-03
2.395027e+00	1.106176e-02	1.448299e-02	7.640543e-03
2.592944e+00	1.023975e-02	1.339542e-02	7.084073e-03
2.807216e+00	9.478112e-03	1.238872e-02	6.567506e-03
3.039195e+00	8.772506e-03	1.145698e-02	6.088035e-03
3.290345e+00	8.118877e-03	1.059471e-02	5.643048e-03
3.562248e+00	7.513462e-03	9.796813e-03	5.230110e-03
3.856620e+00	6.952761e-03	9.058563e-03	4.846958e-03
4.175319e+00	6.433524e-03	8.375566e-03	4.491483e-03
4.520354e+00	5.952733e-03	7.743743e-03	4.161722e-03
4.893901e+00	5.507582e-03	7.159313e-03	3.855851e-03
5.298317e+00	5.095468e-03	6.618766e-03	3.572169e-03
5.736153e+00	4.713973e-03	6.118848e-03	3.309098e-03
6.210169e+00	4.360853e-03	5.656540e-03	3.065165e-03
6.723358e+00	4.034025e-03	5.229045e-03	2.839005e-03
7.278954e+00	3.731556e-03	4.833767e-03	2.629345e-03
7.880463e+00	3.451653e-03	4.468304e-03	2.435002e-03
8.531679e+00	3.192652e-03	4.130427e-03	2.254878e-03
9.236709e+00	2.953011e-03	3.818072e-03	2.087950e-03
1.000000e+01	2.731298e-03	3.529328e-03	1.933269e-03
1.108825e+01	2.467507e-03	3.186105e-03	1.748908e-03
1.229493e+01	2.229146e-03	2.876291e-03	1.582000e-03
1.363293e+01	2.013788e-03	2.596656e-03	1.430920e-03
1.511654e+01	1.819234e-03	2.344279e-03	1.294190e-03
1.676160e+01	1.643493e-03	2.116516e-03	1.170469e-03
1.858569e+01	1.484760e-03	1.910980e-03	1.058540e-03
2.060828e+01	1.341403e-03	1.725512e-03	9.572943e-04
2.285098e+01	1.211944e-03	1.558160e-03	8.657283e-04
2.533774e+01	1.095047e-03	1.407163e-03	7.829298e-04
2.809513e+01	9.894994e-04	1.270928e-03	7.080710e-04
3.115259e+01	8.942084e-04	1.148016e-03	6.404011e-04
3.454278e+01	8.081832e-04	1.037128e-03	5.792386e-04
3.830190e+01	7.305283e-04	9.370909e-04	5.239658e-04
4.247012e+01	6.604340e-04	8.468458e-04	4.740223e-04
4.709194e+01	5.971682e-04	7.654360e-04	4.289003e-04
5.221673e+01	5.400689e-04	6.919982e-04	3.881396e-04
5.789923e+01	4.885380e-04	6.257530e-04	3.513229e-04
6.420012e+01	4.420348e-04	5.659970e-04	3.180726e-04
7.118672e+01	4.000708e-04	5.120952e-04	2.880463e-04
7.893363e+01	3.622046e-04	4.634748e-04	2.609344e-04
8.752360e+01	3.280373e-04	4.196185e-04	2.364562e-04
9.704838e+01	2.972088e-04	3.800597e-04	2.143579e-04
1.076097e+02	2.693936e-04	3.443775e-04	1.944098e-04
1.193203e+02	2.442979e-04	3.121918e-04	1.764041e-04
1.323054e+02	2.216563e-04	2.831598e-04	1.601528e-04
1.467036e+02	2.012291e-04	2.569724e-04	1.454858e-04
1.626686e+02	1.827999e-04	2.333503e-04	1.322496e-04
1.803711e+02	1.661734e-04	2.120418e-04	1.203051e-04
2.000000e+02	1.511732e-04	1.928197e-04	1.095267e-04
