srniel_damage_rank,formula,material_id,parameter,ddde_mev_per_g,ddde_to_p_mev_per_g,dddp_mev_per_g,rf_min_pct,rf_mid_pct,rf_max_pct,grf_min_pct,grf_mid_pct,grf_max_pct,has_fallback_ed,density_g_cm3,manifest_density_g_cm3,density_matches_manifest,active_layer_name,active_layer_formula,electron_niel_file,proton_niel_file,electron_niel_matches_candidate,proton_niel_matches_candidate,omere_status,validated_candidate_layer,source_file
1,SbIrS,JVASP-10264,Isc,7956140.0,7956140.0,467190000.0,99.8553,99.8553,99.8553,99.7729,99.7729,99.7729,False,10.030,10.03,True,SbIrS,SbIrS,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_e_SbIrS_JVASP-10264.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_p_SbIrS_JVASP-10264.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/01_SbIrS_JVASP-10264.dat
1,SbIrS,JVASP-10264,Voc,7956140.0,3673440.0,467190000.0,96.995,96.995,96.995,,,,False,10.030,10.03,True,SbIrS,SbIrS,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_e_SbIrS_JVASP-10264.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_p_SbIrS_JVASP-10264.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/01_SbIrS_JVASP-10264.dat
1,SbIrS,JVASP-10264,Pmax,7956140.0,4297740.0,467190000.0,98.3771,98.3771,98.3771,98.2959,98.2959,98.2959,False,10.030,10.03,True,SbIrS,SbIrS,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_e_SbIrS_JVASP-10264.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_p_SbIrS_JVASP-10264.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/01_SbIrS_JVASP-10264.dat
1,SbIrS,JVASP-10264,Ipm,7956140.0,7956140.0,467190000.0,99.7886,99.7886,99.7886,99.7062,99.7062,99.7062,False,10.030,10.03,True,SbIrS,SbIrS,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_e_SbIrS_JVASP-10264.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_p_SbIrS_JVASP-10264.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/01_SbIrS_JVASP-10264.dat
1,SbIrS,JVASP-10264,Vpm,7956140.0,1570790.0,467190000.0,95.7701,95.7701,95.7701,,,,False,10.030,10.03,True,SbIrS,SbIrS,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_e_SbIrS_JVASP-10264.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_p_SbIrS_JVASP-10264.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/01_SbIrS_JVASP-10264.dat
2,InN,JVASP-17841,Isc,9599560.0,9599560.0,573145000.0,99.8227,99.8227,99.8227,99.7402,99.7402,99.7402,False,8.235,8.235,True,InN,InN,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_e_InN_JVASP-17841.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_p_InN_JVASP-17841.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/02_InN_JVASP-17841.dat
2,InN,JVASP-17841,Voc,9599560.0,4432230.0,573145000.0,96.6257,96.6257,96.6257,,,,False,8.235,8.235,True,InN,InN,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_e_InN_JVASP-17841.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_p_InN_JVASP-17841.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/02_InN_JVASP-17841.dat
2,InN,JVASP-17841,Pmax,9599560.0,5185480.0,573145000.0,98.0354,98.0354,98.0354,97.9544,97.9544,97.9544,False,8.235,8.235,True,InN,InN,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_e_InN_JVASP-17841.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_p_InN_JVASP-17841.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/02_InN_JVASP-17841.dat
2,InN,JVASP-17841,Ipm,9599560.0,9599560.0,573145000.0,99.741,99.741,99.741,99.6586,99.6586,99.6586,False,8.235,8.235,True,InN,InN,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_e_InN_JVASP-17841.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_p_InN_JVASP-17841.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/02_InN_JVASP-17841.dat
2,InN,JVASP-17841,Vpm,9599560.0,1895260.0,573145000.0,95.3254,95.3254,95.3254,,,,False,8.235,8.235,True,InN,InN,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_e_InN_JVASP-17841.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_p_InN_JVASP-17841.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/02_InN_JVASP-17841.dat
3,Hg3Cl2O2,JVASP-12474,Isc,127157000.0,127157000.0,539187000.0,99.7973,99.7973,99.7973,99.7149,99.7149,99.7149,False,8.225,8.225,True,Hg3Cl2O2,Hg3Cl2O2,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_e_Hg3Cl2O2_JVASP-12474.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_p_Hg3Cl2O2_JVASP-12474.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/03_Hg3Cl2O2_JVASP-12474.dat
3,Hg3Cl2O2,JVASP-12474,Voc,127157000.0,58709900.0,539187000.0,96.5611,96.5611,96.5611,,,,False,8.225,8.225,True,Hg3Cl2O2,Hg3Cl2O2,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_e_Hg3Cl2O2_JVASP-12474.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_p_Hg3Cl2O2_JVASP-12474.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/03_Hg3Cl2O2_JVASP-12474.dat
