omere_eol_rank,srniel_damage_rank,formula,material_id,ranking_metric_pct,ranking_metric_source,pmax_rf_mid_pct,pmax_grf_mid_pct,pmax_ddde_mev_per_g,pmax_ddde_to_p_mev_per_g,pmax_dddp_mev_per_g,has_fallback_ed,density_g_cm3,manifest_density_g_cm3,density_matches_manifest,active_layer_name,active_layer_formula,electron_niel_file,proton_niel_file,electron_niel_matches_candidate,proton_niel_matches_candidate,omere_status,validated_candidate_layer,source_file
1,1,SbIrS,JVASP-10264,98.2959,Pmax GRF mid,98.3771,98.2959,7956140.0,4297740.0,467190000.0,False,10.030,10.03,True,SbIrS,SbIrS,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_e_SbIrS_JVASP-10264.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103646\candidate_niel\NIEL_p_SbIrS_JVASP-10264.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/01_SbIrS_JVASP-10264.dat
2,48,Bi4Te7Pb,JVASP-12475,97.9879,Pmax GRF mid,98.0689,97.9879,65830100.0,35560000.0,532157000.0,True,7.536,7.536,True,Bi4Te7Pb,Bi4Te7Pb,C:\LUMENS\sadc_edit_active_pilot_20260523_115256\candidate_niel\NIEL_e_Bi4Te7Pb_JVASP-12475.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_115256\candidate_niel\NIEL_p_Bi4Te7Pb_JVASP-12475.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/48_Bi4Te7Pb_JVASP-12475.dat
3,6,PtI2,JVASP-12896,97.9845,Pmax GRF mid,98.0655,97.9845,46942600.0,25357400.0,543452000.0,False,7.546,7.546,True,PtI2,PtI2,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_e_PtI2_JVASP-12896.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_p_PtI2_JVASP-12896.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/06_PtI2_JVASP-12896.dat
4,5,Ag2Te,JVASP-108812,97.9784,Pmax GRF mid,98.0594,97.9784,8958280.0,4839070.0,565901000.0,False,7.528,7.528,True,Ag2Te,Ag2Te,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_e_Ag2Te_JVASP-108812.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_p_Ag2Te_JVASP-108812.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/05_Ag2Te_JVASP-108812.dat
5,2,InN,JVASP-17841,97.9544,Pmax GRF mid,98.0354,97.9544,9599560.0,5185480.0,573145000.0,False,8.235,8.235,True,InN,InN,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_e_InN_JVASP-17841.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_103822\candidate_niel\NIEL_p_InN_JVASP-17841.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/02_InN_JVASP-17841.dat
6,4,PbS,JVASP-17941,97.9068,Pmax GRF mid,97.9878,97.9068,81679600.0,44121600.0,549312000.0,False,8.219,8.219,True,PbS,PbS,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_e_PbS_JVASP-17941.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_p_PbS_JVASP-17941.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/04_PbS_JVASP-17941.dat
7,3,Hg3Cl2O2,JVASP-12474,97.8615,Pmax GRF mid,97.9424,97.8615,127157000.0,68687500.0,539187000.0,False,8.225,8.225,True,Hg3Cl2O2,Hg3Cl2O2,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_e_Hg3Cl2O2_JVASP-12474.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_p_Hg3Cl2O2_JVASP-12474.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/03_Hg3Cl2O2_JVASP-12474.dat
8,8,ZnBi2O5,JVASP-9800,97.8011,Pmax GRF mid,97.882,97.8011,67128400.0,36261300.0,590928000.0,False,7.910,7.91,True,ZnBi2O5,ZnBi2O5,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_e_ZnBi2O5_JVASP-9800.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104804\candidate_niel\NIEL_p_ZnBi2O5_JVASP-9800.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/08_ZnBi2O5_JVASP-9800.dat
9,49,TeMoWSe3,JVASP-28952,97.7488,Pmax GRF mid,97.8296,97.7488,58179500.0,31427300.0,612570000.0,True,6.006,6.006,True,TeMoWSe3,TeMoWSe3,C:\LUMENS\sadc_edit_active_pilot_20260523_115433\candidate_niel\NIEL_e_TeMoWSe3_JVASP-28952.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_115433\candidate_niel\NIEL_p_TeMoWSe3_JVASP-28952.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/49_TeMoWSe3_JVASP-28952.dat
10,9,Ag3SI,JVASP-53111,97.6496,Pmax GRF mid,97.7303,97.6496,90931100.0,49119000.0,626937000.0,False,6.577,6.577,True,Ag3SI,Ag3SI,C:\LUMENS\sadc_edit_active_pilot_20260523_104941\candidate_niel\NIEL_e_Ag3SI_JVASP-53111.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104941\candidate_niel\NIEL_p_Ag3SI_JVASP-53111.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/09_Ag3SI_JVASP-53111.dat
