rank,formula,material_id,status,output_file,bytes,error,seconds
"1","SbIrS","JVASP-10264","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_103646\outputs\01_SbIrS_JVASP-10264.dat","6815","","91"
"2","InN","JVASP-17841","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_103822\outputs\02_InN_JVASP-17841.dat","6802","","91"
"3","Hg3Cl2O2","JVASP-12474","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_104000\outputs\03_Hg3Cl2O2_JVASP-12474.dat","6832","","91"
"4","PbS","JVASP-17941","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_104137\outputs\04_PbS_JVASP-17941.dat","6802","","91"
"5","Ag2Te","JVASP-108812","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_104314\outputs\05_Ag2Te_JVASP-108812.dat","6817","","91"
"6","PtI2","JVASP-12896","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_104450\outputs\06_PtI2_JVASP-12896.dat","6808","","91"
"7","NbBi3O7","JVASP-13254","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_104628\outputs\07_NbBi3O7_JVASP-13254.dat","6826","","91"
"8","ZnBi2O5","JVASP-9800","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_104804\outputs\08_ZnBi2O5_JVASP-9800.dat","6823","","91"
"9","Ag3SI","JVASP-53111","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_104941\outputs\09_Ag3SI_JVASP-53111.dat","6814","","91"
"10","AlBiO3","JVASP-11273","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_105118\outputs\10_AlBiO3_JVASP-11273.dat","6820","","91"
"11","CuAs2Pb6Cl7O6","JVASP-53178","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_105255\outputs\11_CuAs2Pb6Cl7O6_JVASP-53178.dat","6862","","92"
"12","Ta2Te4Br10O","JVASP-31871","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_105432\outputs\12_Ta2Te4Br10O_JVASP-31871.dat","6850","","91"
"13","Cd2GaAgSe4","JVASP-108799","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_105609\outputs\13_Cd2GaAgSe4_JVASP-108799.dat","6847","","91"
"14","Na2WO4","JVASP-11669","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_105745\outputs\14_Na2WO4_JVASP-11669.dat","6820","","91"
"15","AlInSb2","JVASP-109795","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_105922\outputs\15_AlInSb2_JVASP-109795.dat","6829","","91"
"16","SrTaNO2","JVASP-109687","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_110100\outputs\16_SrTaNO2_JVASP-109687.dat","6829","","91"
"17","HfS3","JVASP-8218","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_110237\outputs\17_HfS3_JVASP-8218.dat","6805","","91"
"18","HgSO4","JVASP-9390","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_110414\outputs\18_HgSO4_JVASP-9390.dat","6811","","91"
"19","InAgS2","JVASP-12383","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_110551\outputs\19_InAgS2_JVASP-12383.dat","6820","","91"
"20","InS","JVASP-51076","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_110728\outputs\20_InS_JVASP-51076.dat","6802","","91"
"21","BaAlSi","JVASP-17183","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_110905\outputs\21_BaAlSi_JVASP-17183.dat","6820","","91"
"22","GaAgTeSe","JVASP-109402","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_111042\outputs\22_GaAgTeSe_JVASP-109402.dat","6835","","91"
"23","Ag3PO4","JVASP-9585","completed_validated","C:\LUMENS\sadc_edit_active_pilot_20260523_111220\outputs\23_Ag3PO4_JVASP-9585.dat","6817","","91"
