formula,material_id,particle,omere_dat,elements,stoichiometry,ed_eV,has_fallback_ed
Ag2Te,JVASP-108812,electron,omere_inputs/Ag2Te_JVASP-108812_e_NIEL.dat,Ag;Te,2;1,25.44;49.149,False
Ag2Te,JVASP-108812,proton,omere_inputs/Ag2Te_JVASP-108812_p_NIEL.dat,Ag;Te,2;1,25.44;49.149,False
Ag3PO4,JVASP-9585,electron,omere_inputs/Ag3PO4_JVASP-9585_e_NIEL.dat,Ag;P;O,3;1;4,14.705;8.7;6.933,False
Ag3PO4,JVASP-9585,proton,omere_inputs/Ag3PO4_JVASP-9585_p_NIEL.dat,Ag;P;O,3;1;4,14.705;8.7;6.933,False
Ag3SI,JVASP-53111,electron,omere_inputs/Ag3SI_JVASP-53111_e_NIEL.dat,Ag;S;I,3;1;1,29.402;2.943;43.659,False
Ag3SI,JVASP-53111,proton,omere_inputs/Ag3SI_JVASP-53111_p_NIEL.dat,Ag;S;I,3;1;1,29.402;2.943;43.659,False
AlBiO3,JVASP-11273,electron,omere_inputs/AlBiO3_JVASP-11273_e_NIEL.dat,Al;Bi;O,1;1;3,4.392;21.997;8.407,False
AlBiO3,JVASP-11273,proton,omere_inputs/AlBiO3_JVASP-11273_p_NIEL.dat,Al;Bi;O,1;1;3,4.392;21.997;8.407,False
AlInSb2,JVASP-109795,electron,omere_inputs/AlInSb2_JVASP-109795_e_NIEL.dat,Al;In;Sb,1;1;2,1.35;0.286;14.278,False
AlInSb2,JVASP-109795,proton,omere_inputs/AlInSb2_JVASP-109795_p_NIEL.dat,Al;In;Sb,1;1;2,1.35;0.286;14.278,False
AsCl5,JVASP-5770,electron,omere_inputs/AsCl5_JVASP-5770_e_NIEL.dat,As;Cl,1;5,1.219;0.668,False
AsCl5,JVASP-5770,proton,omere_inputs/AsCl5_JVASP-5770_p_NIEL.dat,As;Cl,1;5,1.219;0.668,False
BaAlSi,JVASP-17183,electron,omere_inputs/BaAlSi_JVASP-17183_e_NIEL.dat,Ba;Al;Si,1;1;1,7.95;4.891;2.351,False
BaAlSi,JVASP-17183,proton,omere_inputs/BaAlSi_JVASP-17183_p_NIEL.dat,Ba;Al;Si,1;1;1,7.95;4.891;2.351,False
BaH2O4,JVASP-54745,electron,omere_inputs/BaH2O4_JVASP-54745_e_NIEL.dat,Ba;H;O,1;2;4,49.308;1.286;0.599,False
BaH2O4,JVASP-54745,proton,omere_inputs/BaH2O4_JVASP-54745_p_NIEL.dat,Ba;H;O,1;2;4,49.308;1.286;0.599,False
Bi4Te7Pb,JVASP-12475,electron,omere_inputs/Bi4Te7Pb_JVASP-12475_e_NIEL.dat,Bi;Te;Pb,4;7;1,8;5.5;8,True
