# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	5.136400e-07
5.500000e-02	1.750500e-06
6.000000e-02	2.701000e-06
6.500000e-02	3.444700e-06
7.000000e-02	4.035400e-06
7.500000e-02	4.510600e-06
8.000000e-02	4.897300e-06
8.500000e-02	5.215000e-06
9.000000e-02	5.478400e-06
9.500000e-02	5.698600e-06
1.000000e-01	5.883900e-06
1.500000e-01	7.522400e-06
2.000000e-01	8.282800e-06
2.500000e-01	8.715400e-06
3.000000e-01	9.035400e-06
3.500000e-01	9.310700e-06
4.000000e-01	9.565900e-06
4.500000e-01	9.810900e-06
5.000000e-01	1.021600e-05
5.500000e-01	1.130200e-05
6.000000e-01	1.249100e-05
6.500000e-01	1.373300e-05
7.000000e-01	1.499700e-05
7.500000e-01	1.626300e-05
8.000000e-01	1.751800e-05
8.500000e-01	1.875300e-05
9.000000e-01	1.996200e-05
9.500000e-01	2.114400e-05
1.000000e+00	2.229500e-05
1.500000e+00	3.218400e-05
2.000000e+00	3.974900e-05
2.500000e+00	4.578100e-05
3.000000e+00	5.076700e-05
3.500000e+00	5.500000e-05
4.000000e+00	5.866600e-05
4.500000e+00	6.189100e-05
5.000000e+00	6.476500e-05
5.500000e+00	6.735100e-05
6.000000e+00	6.969800e-05
6.500000e+00	7.184300e-05
7.000000e+00	7.381500e-05
7.500000e+00	7.563700e-05
8.000000e+00	7.732900e-05
8.500000e+00	7.890500e-05
9.000000e+00	8.037900e-05
9.500000e+00	8.176100e-05
1.000000e+01	8.306100e-05
1.500000e+01	9.283800e-05
2.000000e+01	9.904000e-05
2.500000e+01	1.032500e-04
3.000000e+01	1.062100e-04
3.500000e+01	1.083100e-04
4.000000e+01	1.098000e-04
4.500000e+01	1.108600e-04
5.000000e+01	1.116000e-04
5.500000e+01	1.121000e-04
6.000000e+01	1.124300e-04
6.500000e+01	1.126400e-04
7.000000e+01	1.127500e-04
7.500000e+01	1.127900e-04
8.000000e+01	1.127800e-04
8.500000e+01	1.127300e-04
9.000000e+01	1.126600e-04
9.500000e+01	1.125700e-04
1.000000e+02	1.124700e-04
