# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.783600e+00
1.500000e-04	2.254600e+00
2.000000e-04	2.493500e+00
2.500000e-04	2.622500e+00
3.000000e-04	2.691300e+00
3.500000e-04	2.724300e+00
4.000000e-04	2.734700e+00
4.500000e-04	2.812800e+00
5.000000e-04	2.870700e+00
5.500000e-04	2.912600e+00
6.000000e-04	2.942300e+00
6.500000e-04	2.962700e+00
7.000000e-04	2.975900e+00
7.500000e-04	2.983400e+00
8.000000e-04	2.986400e+00
8.500000e-04	2.985900e+00
9.000000e-04	2.982400e+00
9.500000e-04	2.976700e+00
1.000000e-03	2.969000e+00
1.500000e-03	2.842500e+00
2.000000e-03	2.695100e+00
2.500000e-03	2.557000e+00
3.000000e-03	2.432600e+00
3.500000e-03	2.321500e+00
4.000000e-03	2.222000e+00
4.500000e-03	2.132500e+00
5.000000e-03	2.051500e+00
5.500000e-03	1.977700e+00
6.000000e-03	1.910200e+00
6.500000e-03	1.848200e+00
7.000000e-03	1.791000e+00
7.500000e-03	1.737900e+00
8.000000e-03	1.688600e+00
8.500000e-03	1.642500e+00
9.000000e-03	1.599400e+00
9.500000e-03	1.559000e+00
1.000000e-02	1.520900e+00
1.500000e-02	1.233900e+00
2.000000e-02	1.048700e+00
2.500000e-02	9.173600e-01
3.000000e-02	8.185400e-01
3.500000e-02	7.410300e-01
4.000000e-02	6.783400e-01
4.500000e-02	6.264400e-01
5.000000e-02	5.826700e-01
5.500000e-02	5.451100e-01
6.000000e-02	5.125800e-01
6.500000e-02	4.841100e-01
7.000000e-02	4.589600e-01
7.500000e-02	4.365500e-01
8.000000e-02	4.164400e-01
8.500000e-02	3.982800e-01
9.000000e-02	3.818000e-01
9.500000e-02	3.667500e-01
1.000000e-01	3.529600e-01
1.500000e-01	2.591400e-01
2.000000e-01	2.059300e-01
2.500000e-01	1.717100e-01
3.000000e-01	1.477500e-01
3.500000e-01	1.298500e-01
4.000000e-01	1.159700e-01
4.500000e-01	1.049200e-01
5.000000e-01	9.592600e-02
5.500000e-01	8.845400e-02
6.000000e-01	8.214000e-02
6.500000e-01	7.672900e-02
7.000000e-01	7.203600e-02
7.500000e-01	6.792400e-02
8.000000e-01	6.429000e-02
8.500000e-01	6.105400e-02
9.000000e-01	5.815100e-02
9.500000e-01	5.553200e-02
1.000000e+00	5.315700e-02
1.500000e+00	3.704500e-02
2.000000e+00	2.848700e-02
2.500000e+00	2.322200e-02
3.000000e+00	1.965200e-02
3.500000e+00	1.707500e-02
4.000000e+00	1.518700e-02
4.500000e+00	1.370200e-02
5.000000e+00	1.247400e-02
5.500000e+00	1.146200e-02
6.000000e+00	1.063100e-02
6.500000e+00	9.949600e-03
7.000000e+00	9.377500e-03
7.500000e+00	8.880900e-03
8.000000e+00	8.440800e-03
8.500000e+00	8.046700e-03
9.000000e+00	7.692200e-03
9.500000e+00	7.372400e-03
1.000000e+01	7.083200e-03
1.500000e+01	5.313800e-03
2.000000e+01	4.556300e-03
2.500000e+01	4.155700e-03
3.000000e+01	3.896800e-03
3.500000e+01	3.703400e-03
4.000000e+01	3.548300e-03
4.500000e+01	3.421000e-03
5.000000e+01	3.316500e-03
5.500000e+01	3.231200e-03
6.000000e+01	3.162000e-03
6.500000e+01	3.106400e-03
7.000000e+01	3.062000e-03
7.500000e+01	3.026600e-03
8.000000e+01	2.998500e-03
8.500000e+01	2.976000e-03
9.000000e+01	2.958000e-03
9.500000e+01	2.943400e-03
1.000000e+02	2.931200e-03
1.500000e+02	2.849700e-03
2.000000e+02	2.779900e-03
2.500000e+02	2.757600e-03
3.000000e+02	2.799000e-03
3.500000e+02	2.890200e-03
4.000000e+02	3.008900e-03
4.500000e+02	3.135000e-03
5.000000e+02	3.254700e-03
5.500000e+02	3.361400e-03
6.000000e+02	3.454400e-03
6.500000e+02	3.536700e-03
7.000000e+02	3.612200e-03
7.500000e+02	3.684300e-03
8.000000e+02	3.753400e-03
8.500000e+02	3.816400e-03
9.000000e+02	3.865400e-03
9.500000e+02	3.887900e-03
1.000000e+03	3.867500e-03
