# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	5.363800e-07
6.000000e-02	1.592100e-06
6.500000e-02	3.037800e-06
7.000000e-02	4.198900e-06
7.500000e-02	5.144200e-06
8.000000e-02	5.922700e-06
8.500000e-02	6.570600e-06
9.000000e-02	7.114800e-06
9.500000e-02	7.575900e-06
1.000000e-01	7.969500e-06
1.500000e-01	9.981000e-06
2.000000e-01	1.070500e-05
2.500000e-01	1.110500e-05
3.000000e-01	1.140500e-05
3.500000e-01	1.167100e-05
4.000000e-01	1.192600e-05
4.500000e-01	1.217800e-05
5.000000e-01	1.242900e-05
5.500000e-01	1.267800e-05
6.000000e-01	1.292600e-05
6.500000e-01	1.317200e-05
7.000000e-01	1.341600e-05
7.500000e-01	1.365700e-05
8.000000e-01	1.389400e-05
8.500000e-01	1.412800e-05
9.000000e-01	1.435800e-05
9.500000e-01	1.458400e-05
1.000000e+00	1.480600e-05
1.500000e+00	2.394800e-05
2.000000e+00	3.412400e-05
2.500000e+00	4.203100e-05
3.000000e+00	4.817800e-05
3.500000e+00	5.310100e-05
4.000000e+00	5.715900e-05
4.500000e+00	6.058600e-05
5.000000e+00	6.353600e-05
5.500000e+00	6.611700e-05
6.000000e+00	6.840200e-05
6.500000e+00	7.044700e-05
7.000000e+00	7.229300e-05
7.500000e+00	7.397000e-05
8.000000e+00	7.550400e-05
8.500000e+00	7.691300e-05
9.000000e+00	7.821300e-05
9.500000e+00	7.941700e-05
1.000000e+01	8.053500e-05
1.500000e+01	8.846400e-05
2.000000e+01	9.286100e-05
2.500000e+01	9.534400e-05
3.000000e+01	9.666200e-05
3.500000e+01	9.724000e-05
4.000000e+01	9.734900e-05
4.500000e+01	9.716500e-05
5.000000e+01	9.680700e-05
5.500000e+01	9.635200e-05
6.000000e+01	9.585300e-05
6.500000e+01	9.534200e-05
7.000000e+01	9.484000e-05
7.500000e+01	9.435900e-05
8.000000e+01	9.390600e-05
8.500000e+01	9.348300e-05
9.000000e+01	9.309100e-05
9.500000e+01	9.273000e-05
1.000000e+02	9.239800e-05
