# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.111300e+00
1.500000e-04	2.670400e+00
2.000000e-04	2.954300e+00
2.500000e-04	3.107700e+00
3.000000e-04	3.189700e+00
3.500000e-04	3.229000e+00
4.000000e-04	3.241500e+00
4.500000e-04	3.236400e+00
5.000000e-04	3.219700e+00
5.500000e-04	3.195000e+00
6.000000e-04	3.165100e+00
6.500000e-04	3.131600e+00
7.000000e-04	3.095700e+00
7.500000e-04	3.058400e+00
8.000000e-04	3.020300e+00
8.500000e-04	2.981800e+00
9.000000e-04	2.943300e+00
9.500000e-04	2.904900e+00
1.000000e-03	2.867000e+00
1.500000e-03	2.594600e+00
2.000000e-03	2.389700e+00
2.500000e-03	2.218800e+00
3.000000e-03	2.075800e+00
3.500000e-03	1.954600e+00
4.000000e-03	1.850700e+00
4.500000e-03	1.760300e+00
5.000000e-03	1.680800e+00
5.500000e-03	1.610200e+00
6.000000e-03	1.547000e+00
6.500000e-03	1.490000e+00
7.000000e-03	1.438200e+00
7.500000e-03	1.390900e+00
8.000000e-03	1.347500e+00
8.500000e-03	1.307400e+00
9.000000e-03	1.270300e+00
9.500000e-03	1.235800e+00
1.000000e-02	1.203600e+00
1.500000e-02	9.681400e-01
2.000000e-02	8.214700e-01
2.500000e-02	7.191300e-01
3.000000e-02	6.427000e-01
3.500000e-02	5.829700e-01
4.000000e-02	5.347400e-01
4.500000e-02	4.948100e-01
5.000000e-02	4.611100e-01
5.500000e-02	4.321200e-01
6.000000e-02	4.069900e-01
6.500000e-02	3.849800e-01
7.000000e-02	3.655200e-01
7.500000e-02	3.481700e-01
8.000000e-02	3.325900e-01
8.500000e-02	3.185100e-01
9.000000e-02	3.057200e-01
9.500000e-02	2.940500e-01
1.000000e-01	2.833400e-01
1.500000e-01	2.102600e-01
2.000000e-01	1.681800e-01
2.500000e-01	1.409400e-01
3.000000e-01	1.214800e-01
3.500000e-01	1.069400e-01
4.000000e-01	9.567400e-02
4.500000e-01	8.666200e-02
5.000000e-01	7.927900e-02
5.500000e-01	7.311400e-02
6.000000e-01	6.788100e-02
6.500000e-01	6.338200e-02
7.000000e-01	5.946400e-02
7.500000e-01	5.602600e-02
8.000000e-01	5.299000e-02
8.500000e-01	5.028800e-02
9.000000e-01	4.786600e-02
9.500000e-01	4.568200e-02
1.000000e+00	4.370200e-02
1.500000e+00	3.078500e-02
2.000000e+00	2.401400e-02
2.500000e+00	1.961700e-02
3.000000e+00	1.662700e-02
3.500000e+00	1.447100e-02
4.000000e+00	1.290900e-02
4.500000e+00	1.167900e-02
5.000000e+00	1.065400e-02
5.500000e+00	9.808200e-03
6.000000e+00	9.106000e-03
6.500000e+00	8.515400e-03
7.000000e+00	8.010600e-03
7.500000e+00	7.572400e-03
8.000000e+00	7.186000e-03
8.500000e+00	6.840900e-03
9.000000e+00	6.529700e-03
9.500000e+00	6.246900e-03
1.000000e+01	5.988500e-03
1.500000e+01	4.293300e-03
2.000000e+01	3.449100e-03
2.500000e+01	2.949500e-03
3.000000e+01	2.605200e-03
3.500000e+01	2.341700e-03
4.000000e+01	2.128900e-03
4.500000e+01	1.952900e-03
5.000000e+01	1.805400e-03
5.500000e+01	1.680500e-03
6.000000e+01	1.573600e-03
6.500000e+01	1.481100e-03
7.000000e+01	1.400300e-03
7.500000e+01	1.329000e-03
8.000000e+01	1.265500e-03
8.500000e+01	1.208600e-03
9.000000e+01	1.157200e-03
9.500000e+01	1.110500e-03
1.000000e+02	1.067800e-03
1.500000e+02	7.830400e-04
2.000000e+02	6.372400e-04
2.500000e+02	5.549300e-04
3.000000e+02	5.049900e-04
3.500000e+02	4.727900e-04
4.000000e+02	4.509000e-04
4.500000e+02	4.353100e-04
5.000000e+02	4.237400e-04
5.500000e+02	4.148500e-04
6.000000e+02	4.077500e-04
6.500000e+02	4.018300e-04
7.000000e+02	3.966600e-04
7.500000e+02	3.919100e-04
8.000000e+02	3.873800e-04
8.500000e+02	3.830300e-04
9.000000e+02	3.789800e-04
9.500000e+02	3.755500e-04
1.000000e+03	3.732300e-04
