# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	4.542500e-05
4.500000e-02	4.581000e-05
5.000000e-02	4.577500e-05
5.500000e-02	4.549400e-05
6.000000e-02	4.507200e-05
6.500000e-02	4.457000e-05
7.000000e-02	4.402600e-05
7.500000e-02	4.346500e-05
8.000000e-02	4.290200e-05
8.500000e-02	4.234600e-05
9.000000e-02	4.180400e-05
9.500000e-02	4.128000e-05
1.000000e-01	4.077600e-05
1.500000e-01	3.685000e-05
2.000000e-01	3.446600e-05
2.500000e-01	3.298400e-05
3.000000e-01	3.204000e-05
3.500000e-01	3.143200e-05
4.000000e-01	3.104700e-05
4.500000e-01	3.081400e-05
5.000000e-01	3.069000e-05
5.500000e-01	3.093200e-05
6.000000e-01	3.159200e-05
6.500000e-01	3.237600e-05
7.000000e-01	3.324000e-05
7.500000e-01	3.415200e-05
8.000000e-01	3.509000e-05
8.500000e-01	3.603800e-05
9.000000e-01	3.698800e-05
9.500000e-01	3.793200e-05
1.000000e+00	3.886400e-05
1.500000e+00	4.721100e-05
2.000000e+00	5.383300e-05
2.500000e+00	5.919400e-05
3.000000e+00	6.366100e-05
3.500000e+00	6.747200e-05
4.000000e+00	7.078600e-05
4.500000e+00	7.370900e-05
5.000000e+00	7.631800e-05
5.500000e+00	7.867100e-05
6.000000e+00	8.080800e-05
6.500000e+00	8.276400e-05
7.000000e+00	8.456500e-05
7.500000e+00	8.622900e-05
8.000000e+00	8.777600e-05
8.500000e+00	8.921800e-05
9.000000e+00	9.056700e-05
9.500000e+00	9.183200e-05
1.000000e+01	9.302200e-05
1.500000e+01	1.019800e-04
2.000000e+01	1.076300e-04
2.500000e+01	1.114200e-04
3.000000e+01	1.140200e-04
3.500000e+01	1.158200e-04
4.000000e+01	1.170400e-04
4.500000e+01	1.178500e-04
5.000000e+01	1.183600e-04
5.500000e+01	1.186600e-04
6.000000e+01	1.188100e-04
6.500000e+01	1.188500e-04
7.000000e+01	1.188100e-04
7.500000e+01	1.187100e-04
8.000000e+01	1.185800e-04
8.500000e+01	1.184200e-04
9.000000e+01	1.182500e-04
9.500000e+01	1.180800e-04
1.000000e+02	1.178900e-04
