# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	4.545300e+00
1.500000e-04	5.114100e+00
2.000000e-04	5.452200e+00
2.500000e-04	5.668700e+00
3.000000e-04	5.812100e+00
3.500000e-04	5.907600e+00
4.000000e-04	5.970000e+00
4.500000e-04	6.008800e+00
5.000000e-04	6.030000e+00
5.500000e-04	6.038100e+00
6.000000e-04	6.036100e+00
6.500000e-04	6.026300e+00
7.000000e-04	6.010400e+00
7.500000e-04	5.989600e+00
8.000000e-04	5.965100e+00
8.500000e-04	5.937500e+00
9.000000e-04	5.907500e+00
9.500000e-04	5.875700e+00
1.000000e-03	5.842300e+00
1.500000e-03	5.478300e+00
2.000000e-03	5.125400e+00
2.500000e-03	4.810000e+00
3.000000e-03	4.532500e+00
3.500000e-03	4.288200e+00
4.000000e-03	4.072000e+00
4.500000e-03	3.879500e+00
5.000000e-03	3.707100e+00
5.500000e-03	3.551500e+00
6.000000e-03	3.410500e+00
6.500000e-03	3.282000e+00
7.000000e-03	3.164300e+00
7.500000e-03	3.056000e+00
8.000000e-03	2.956000e+00
8.500000e-03	2.863400e+00
9.000000e-03	2.777300e+00
9.500000e-03	2.696900e+00
1.000000e-02	2.621800e+00
1.500000e-02	2.069900e+00
2.000000e-02	1.727800e+00
2.500000e-02	1.491900e+00
3.000000e-02	1.318100e+00
3.500000e-02	1.183900e+00
4.000000e-02	1.076800e+00
4.500000e-02	9.891100e-01
5.000000e-02	9.157900e-01
5.500000e-02	8.534900e-01
6.000000e-02	7.998100e-01
6.500000e-02	7.530200e-01
7.000000e-02	7.118400e-01
7.500000e-02	6.752800e-01
8.000000e-02	6.425900e-01
8.500000e-02	6.131500e-01
9.000000e-02	5.865000e-01
9.500000e-02	5.622500e-01
1.000000e-01	5.400700e-01
1.500000e-01	3.940900e-01
2.000000e-01	3.155900e-01
2.500000e-01	2.655700e-01
3.000000e-01	2.308600e-01
3.500000e-01	2.050800e-01
4.000000e-01	1.827900e-01
4.500000e-01	1.650200e-01
5.000000e-01	1.505400e-01
5.500000e-01	1.385000e-01
6.000000e-01	1.283400e-01
6.500000e-01	1.196300e-01
7.000000e-01	1.120800e-01
7.500000e-01	1.052500e-01
8.000000e-01	9.922000e-02
8.500000e-01	9.386000e-02
9.000000e-01	8.906200e-02
9.500000e-01	8.474300e-02
1.000000e+00	8.083200e-02
1.500000e+00	5.550500e-02
2.000000e+00	4.241300e-02
2.500000e+00	3.439000e-02
3.000000e+00	2.900500e-02
3.500000e+00	2.520500e-02
4.000000e+00	2.240300e-02
4.500000e+00	2.026000e-02
5.000000e+00	1.857200e-02
5.500000e+00	1.719000e-02
6.000000e+00	1.603500e-02
6.500000e+00	1.505700e-02
7.000000e+00	1.422200e-02
7.500000e+00	1.350200e-02
8.000000e+00	1.287600e-02
8.500000e+00	1.232900e-02
9.000000e+00	1.184600e-02
9.500000e+00	1.141800e-02
1.000000e+01	1.103500e-02
1.500000e+01	8.666900e-03
2.000000e+01	7.482300e-03
2.500000e+01	6.730900e-03
3.000000e+01	6.188700e-03
3.500000e+01	5.771200e-03
4.000000e+01	5.439400e-03
4.500000e+01	5.170900e-03
5.000000e+01	4.949500e-03
5.500000e+01	4.763200e-03
6.000000e+01	4.603000e-03
6.500000e+01	4.462300e-03
7.000000e+01	4.336300e-03
7.500000e+01	4.221400e-03
8.000000e+01	4.115400e-03
8.500000e+01	4.016500e-03
9.000000e+01	3.923500e-03
9.500000e+01	3.835700e-03
1.000000e+02	3.752600e-03
1.500000e+02	3.130900e-03
2.000000e+02	2.801700e-03
2.500000e+02	2.639900e-03
3.000000e+02	2.554900e-03
3.500000e+02	2.501800e-03
4.000000e+02	2.464900e-03
4.500000e+02	2.441400e-03
5.000000e+02	2.431700e-03
5.500000e+02	2.434600e-03
6.000000e+02	2.446300e-03
6.500000e+02	2.460500e-03
7.000000e+02	2.470300e-03
7.500000e+02	2.469800e-03
8.000000e+02	2.456600e-03
8.500000e+02	2.433700e-03
9.000000e+02	2.410200e-03
9.500000e+02	2.401200e-03
1.000000e+03	2.429900e-03
