# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.676300e+00
1.500000e-04	2.039100e+00
2.000000e-04	2.243700e+00
2.500000e-04	2.368600e+00
3.000000e-04	2.484900e+00
3.500000e-04	2.598500e+00
4.000000e-04	2.681700e+00
4.500000e-04	2.743300e+00
5.000000e-04	2.788900e+00
5.500000e-04	2.822400e+00
6.000000e-04	2.846500e+00
6.500000e-04	2.863400e+00
7.000000e-04	2.874400e+00
7.500000e-04	2.880900e+00
8.000000e-04	2.883600e+00
8.500000e-04	2.883200e+00
9.000000e-04	2.880400e+00
9.500000e-04	2.875500e+00
1.000000e-03	2.868900e+00
1.500000e-03	2.755800e+00
2.000000e-03	2.619200e+00
2.500000e-03	2.488500e+00
3.000000e-03	2.369600e+00
3.500000e-03	2.262500e+00
4.000000e-03	2.166300e+00
4.500000e-03	2.079400e+00
5.000000e-03	2.000700e+00
5.500000e-03	1.929000e+00
6.000000e-03	1.863400e+00
6.500000e-03	1.803100e+00
7.000000e-03	1.747400e+00
7.500000e-03	1.695800e+00
8.000000e-03	1.647800e+00
8.500000e-03	1.603000e+00
9.000000e-03	1.561100e+00
9.500000e-03	1.521800e+00
1.000000e-02	1.484800e+00
1.500000e-02	1.206200e+00
2.000000e-02	1.026600e+00
2.500000e-02	8.992200e-01
3.000000e-02	8.033200e-01
3.500000e-02	7.280300e-01
4.000000e-02	6.671000e-01
4.500000e-02	6.166200e-01
5.000000e-02	5.740000e-01
5.500000e-02	5.374600e-01
6.000000e-02	5.057500e-01
6.500000e-02	4.779300e-01
7.000000e-02	4.533000e-01
7.500000e-02	4.313100e-01
8.000000e-02	4.115600e-01
8.500000e-02	3.936900e-01
9.000000e-02	3.774700e-01
9.500000e-02	3.626600e-01
1.000000e-01	3.491300e-01
1.500000e-01	2.574200e-01
2.000000e-01	2.063400e-01
2.500000e-01	1.733700e-01
3.000000e-01	1.496600e-01
3.500000e-01	1.314800e-01
4.000000e-01	1.174200e-01
4.500000e-01	1.062800e-01
5.000000e-01	9.721900e-02
5.500000e-01	8.968200e-02
6.000000e-01	8.330900e-02
6.500000e-01	7.784400e-02
7.000000e-01	7.310300e-02
7.500000e-01	6.894800e-02
8.000000e-01	6.527300e-02
8.500000e-01	6.199900e-02
9.000000e-01	5.906200e-02
9.500000e-01	5.641200e-02
1.000000e+00	5.400700e-02
1.500000e+00	3.778400e-02
2.000000e+00	2.903900e-02
2.500000e+00	2.367100e-02
3.000000e+00	2.004100e-02
3.500000e+00	1.743600e-02
4.000000e+00	1.549000e-02
4.500000e+00	1.398000e-02
5.000000e+00	1.276900e-02
5.500000e+00	1.177300e-02
6.000000e+00	1.093800e-02
6.500000e+00	1.022800e-02
7.000000e+00	9.616200e-03
7.500000e+00	9.084500e-03
8.000000e+00	8.617900e-03
8.500000e+00	8.205000e-03
9.000000e+00	7.837100e-03
9.500000e+00	7.507000e-03
1.000000e+01	7.209000e-03
1.500000e+01	5.287500e-03
2.000000e+01	4.282300e-03
2.500000e+01	3.654000e-03
3.000000e+01	3.221000e-03
3.500000e+01	2.901800e-03
4.000000e+01	2.654500e-03
4.500000e+01	2.455300e-03
5.000000e+01	2.289900e-03
5.500000e+01	2.149300e-03
6.000000e+01	2.027400e-03
6.500000e+01	1.920400e-03
7.000000e+01	1.825300e-03
7.500000e+01	1.740100e-03
8.000000e+01	1.663300e-03
8.500000e+01	1.593500e-03
9.000000e+01	1.530000e-03
9.500000e+01	1.472000e-03
1.000000e+02	1.418700e-03
1.500000e+02	1.062900e-03
2.000000e+02	8.818700e-04
2.500000e+02	7.788400e-04
3.000000e+02	7.152400e-04
3.500000e+02	6.733600e-04
4.000000e+02	6.442400e-04
4.500000e+02	6.230200e-04
5.000000e+02	6.068900e-04
5.500000e+02	5.941900e-04
6.000000e+02	5.838900e-04
6.500000e+02	5.753300e-04
7.000000e+02	5.680400e-04
7.500000e+02	5.616900e-04
8.000000e+02	5.559900e-04
8.500000e+02	5.507000e-04
9.000000e+02	5.455800e-04
9.500000e+02	5.403900e-04
1.000000e+03	5.349300e-04
