# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	1.101700e-04
4.500000e-02	1.037600e-04
5.000000e-02	9.828500e-05
5.500000e-02	9.354500e-05
6.000000e-02	8.940500e-05
6.500000e-02	8.575900e-05
7.000000e-02	8.252500e-05
7.500000e-02	7.963600e-05
8.000000e-02	7.704100e-05
8.500000e-02	7.469600e-05
9.000000e-02	7.256800e-05
9.500000e-02	7.062900e-05
1.000000e-01	6.885400e-05
1.500000e-01	5.697000e-05
2.000000e-01	5.067200e-05
2.500000e-01	4.687100e-05
3.000000e-01	4.440300e-05
3.500000e-01	4.272500e-05
4.000000e-01	4.155300e-05
4.500000e-01	4.072200e-05
5.000000e-01	4.012900e-05
5.500000e-01	3.970900e-05
6.000000e-01	3.941800e-05
6.500000e-01	3.922200e-05
7.000000e-01	3.910100e-05
7.500000e-01	3.903800e-05
8.000000e-01	3.902000e-05
8.500000e-01	3.903800e-05
9.000000e-01	3.908400e-05
9.500000e-01	3.915300e-05
1.000000e+00	3.924100e-05
1.500000e+00	4.112600e-05
2.000000e+00	4.614400e-05
2.500000e+00	5.148300e-05
3.000000e+00	5.630700e-05
3.500000e+00	6.053700e-05
4.000000e+00	6.424400e-05
4.500000e+00	6.751300e-05
5.000000e+00	7.042000e-05
5.500000e+00	7.302500e-05
6.000000e+00	7.537800e-05
6.500000e+00	7.751800e-05
7.000000e+00	7.947400e-05
7.500000e+00	8.127300e-05
8.000000e+00	8.293500e-05
8.500000e+00	8.447600e-05
9.000000e+00	8.590900e-05
9.500000e+00	8.724800e-05
1.000000e+01	8.850200e-05
1.500000e+01	9.774500e-05
2.000000e+01	1.034000e-04
2.500000e+01	1.071100e-04
3.000000e+01	1.096100e-04
3.500000e+01	1.113200e-04
4.000000e+01	1.124700e-04
4.500000e+01	1.132300e-04
5.000000e+01	1.137200e-04
5.500000e+01	1.140200e-04
6.000000e+01	1.141800e-04
6.500000e+01	1.142400e-04
7.000000e+01	1.142400e-04
7.500000e+01	1.141900e-04
8.000000e+01	1.141000e-04
8.500000e+01	1.139900e-04
9.000000e+01	1.138800e-04
9.500000e+01	1.137500e-04
1.000000e+02	1.136200e-04
