# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	1.427600e-05
4.500000e-02	1.315000e-05
5.000000e-02	1.222200e-05
5.500000e-02	1.144400e-05
6.000000e-02	1.078200e-05
6.500000e-02	1.021100e-05
7.000000e-02	9.714200e-06
7.500000e-02	9.277100e-06
8.000000e-02	8.889700e-06
8.500000e-02	8.544000e-06
9.000000e-02	8.233600e-06
9.500000e-02	7.953200e-06
1.000000e-01	7.698800e-06
1.500000e-01	1.121400e-05
2.000000e-01	1.408100e-05
2.500000e-01	1.580600e-05
3.000000e-01	1.705800e-05
3.500000e-01	1.807900e-05
4.000000e-01	1.897000e-05
4.500000e-01	1.978000e-05
5.000000e-01	2.053500e-05
5.500000e-01	2.124800e-05
6.000000e-01	2.192800e-05
6.500000e-01	2.258100e-05
7.000000e-01	2.333700e-05
7.500000e-01	2.426300e-05
8.000000e-01	2.523600e-05
8.500000e-01	2.623600e-05
9.000000e-01	2.724900e-05
9.500000e-01	2.826400e-05
1.000000e+00	2.927600e-05
1.500000e+00	3.852900e-05
2.000000e+00	4.599200e-05
2.500000e+00	5.206400e-05
3.000000e+00	5.713400e-05
3.500000e+00	6.146400e-05
4.000000e+00	6.523000e-05
4.500000e+00	6.855500e-05
5.000000e+00	7.152600e-05
5.500000e+00	7.420500e-05
6.000000e+00	7.664100e-05
6.500000e+00	7.887300e-05
7.000000e+00	8.092800e-05
7.500000e+00	8.283100e-05
8.000000e+00	8.460000e-05
8.500000e+00	8.625100e-05
9.000000e+00	8.779800e-05
9.500000e+00	8.925200e-05
1.000000e+01	9.062100e-05
1.500000e+01	1.010200e-04
2.000000e+01	1.077600e-04
2.500000e+01	1.124600e-04
3.000000e+01	1.158600e-04
3.500000e+01	1.183600e-04
4.000000e+01	1.202200e-04
4.500000e+01	1.216200e-04
5.000000e+01	1.226500e-04
5.500000e+01	1.234300e-04
6.000000e+01	1.240000e-04
6.500000e+01	1.244200e-04
7.000000e+01	1.247200e-04
7.500000e+01	1.249300e-04
8.000000e+01	1.250700e-04
8.500000e+01	1.251600e-04
9.000000e+01	1.252000e-04
9.500000e+01	1.252200e-04
1.000000e+02	1.252200e-04
