# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	4.034000e+00
1.500000e-04	4.127000e+00
2.000000e-04	4.123300e+00
2.500000e-04	4.090100e+00
3.000000e-04	4.046600e+00
3.500000e-04	3.999700e+00
4.000000e-04	3.952100e+00
4.500000e-04	3.904900e+00
5.000000e-04	3.858700e+00
5.500000e-04	3.813600e+00
6.000000e-04	3.769800e+00
6.500000e-04	3.746400e+00
7.000000e-04	3.734300e+00
7.500000e-04	3.720300e+00
8.000000e-04	3.705000e+00
8.500000e-04	3.688600e+00
9.000000e-04	3.671400e+00
9.500000e-04	3.653400e+00
1.000000e-03	3.634900e+00
1.500000e-03	3.439900e+00
2.000000e-03	3.251700e+00
2.500000e-03	3.081000e+00
3.000000e-03	2.928300e+00
3.500000e-03	2.791700e+00
4.000000e-03	2.669100e+00
4.500000e-03	2.558600e+00
5.000000e-03	2.458300e+00
5.500000e-03	2.367000e+00
6.000000e-03	2.283400e+00
6.500000e-03	2.206600e+00
7.000000e-03	2.135600e+00
7.500000e-03	2.069900e+00
8.000000e-03	2.008800e+00
8.500000e-03	1.951800e+00
9.000000e-03	1.898500e+00
9.500000e-03	1.848500e+00
1.000000e-02	1.801500e+00
1.500000e-02	1.449200e+00
2.000000e-02	1.224300e+00
2.500000e-02	1.066300e+00
3.000000e-02	9.481500e-01
3.500000e-02	8.559700e-01
4.000000e-02	7.817600e-01
4.500000e-02	7.205400e-01
5.000000e-02	6.690100e-01
5.500000e-02	6.248900e-01
6.000000e-02	5.867200e-01
6.500000e-02	5.533500e-01
7.000000e-02	5.238800e-01
7.500000e-02	4.976600e-01
8.000000e-02	4.741500e-01
8.500000e-02	4.529400e-01
9.000000e-02	4.337000e-01
9.500000e-02	4.161500e-01
1.000000e-01	4.000900e-01
1.500000e-01	2.911800e-01
2.000000e-01	2.313900e-01
2.500000e-01	1.933300e-01
3.000000e-01	1.667800e-01
3.500000e-01	1.471200e-01
4.000000e-01	1.319000e-01
4.500000e-01	1.196900e-01
5.000000e-01	1.091900e-01
5.500000e-01	1.004700e-01
6.000000e-01	9.312000e-02
6.500000e-01	8.682400e-02
7.000000e-01	8.137100e-02
7.500000e-01	7.659800e-02
8.000000e-01	7.238400e-02
8.500000e-01	6.863500e-02
9.000000e-01	6.527500e-02
9.500000e-01	6.224800e-02
1.000000e+00	5.950400e-02
1.500000e+00	4.122300e-02
2.000000e+00	3.167900e-02
2.500000e+00	2.580300e-02
3.000000e+00	2.181300e-02
3.500000e+00	1.896700e-02
4.000000e+00	1.687000e-02
4.500000e+00	1.525500e-02
5.000000e+00	1.396600e-02
5.500000e+00	1.290900e-02
6.000000e+00	1.203000e-02
6.500000e+00	1.129500e-02
7.000000e+00	1.067100e-02
7.500000e+00	1.013200e-02
8.000000e+00	9.657400e-03
8.500000e+00	9.237400e-03
9.000000e+00	8.864400e-03
9.500000e+00	8.532300e-03
1.000000e+01	8.236000e-03
1.500000e+01	6.477100e-03
2.000000e+01	5.675200e-03
2.500000e+01	5.171300e-03
3.000000e+01	4.808400e-03
3.500000e+01	4.538200e-03
4.000000e+01	4.334600e-03
4.500000e+01	4.178800e-03
5.000000e+01	4.057100e-03
5.500000e+01	3.959400e-03
6.000000e+01	3.878500e-03
6.500000e+01	3.809500e-03
7.000000e+01	3.748900e-03
7.500000e+01	3.694400e-03
8.000000e+01	3.644400e-03
8.500000e+01	3.598000e-03
9.000000e+01	3.554500e-03
9.500000e+01	3.513400e-03
1.000000e+02	3.474600e-03
1.500000e+02	3.184400e-03
2.000000e+02	3.035700e-03
2.500000e+02	2.985000e-03
3.000000e+02	2.996200e-03
3.500000e+02	3.042600e-03
4.000000e+02	3.106500e-03
4.500000e+02	3.176600e-03
5.000000e+02	3.246000e-03
5.500000e+02	3.311700e-03
6.000000e+02	3.372800e-03
6.500000e+02	3.429900e-03
7.000000e+02	3.484100e-03
7.500000e+02	3.535700e-03
8.000000e+02	3.583800e-03
8.500000e+02	3.626000e-03
9.000000e+02	3.657900e-03
9.500000e+02	3.673000e-03
1.000000e+03	3.663200e-03
