# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	3.940700e-07
7.500000e-02	7.812100e-07
8.000000e-02	1.104800e-06
8.500000e-02	1.378400e-06
9.000000e-02	1.612300e-06
9.500000e-02	1.814000e-06
1.000000e-01	1.989400e-06
1.500000e-01	2.964000e-06
2.000000e-01	3.371300e-06
2.500000e-01	3.807600e-06
3.000000e-01	4.557200e-06
3.500000e-01	5.187500e-06
4.000000e-01	5.739100e-06
4.500000e-01	6.234300e-06
5.000000e-01	6.686500e-06
5.500000e-01	7.359400e-06
6.000000e-01	8.161900e-06
6.500000e-01	9.183200e-06
7.000000e-01	1.024400e-05
7.500000e-01	1.132300e-05
8.000000e-01	1.240500e-05
8.500000e-01	1.348100e-05
9.000000e-01	1.454200e-05
9.500000e-01	1.558600e-05
1.000000e+00	1.660900e-05
1.500000e+00	2.557400e-05
2.000000e+00	3.257500e-05
2.500000e+00	3.821200e-05
3.000000e+00	4.289700e-05
3.500000e+00	4.688900e-05
4.000000e+00	5.035600e-05
4.500000e+00	5.341200e-05
5.000000e+00	5.614000e-05
5.500000e+00	5.859800e-05
6.000000e+00	6.083200e-05
6.500000e+00	6.287700e-05
7.000000e+00	6.475900e-05
7.500000e+00	6.650000e-05
8.000000e+00	6.811800e-05
8.500000e+00	6.962800e-05
9.000000e+00	7.104100e-05
9.500000e+00	7.236800e-05
1.000000e+01	7.361700e-05
1.500000e+01	8.307500e-05
2.000000e+01	8.915500e-05
2.500000e+01	9.334500e-05
3.000000e+01	9.632700e-05
3.500000e+01	9.847900e-05
4.000000e+01	1.000400e-04
4.500000e+01	1.011700e-04
5.000000e+01	1.019700e-04
5.500000e+01	1.025400e-04
6.000000e+01	1.029200e-04
6.500000e+01	1.031800e-04
7.000000e+01	1.033300e-04
7.500000e+01	1.034100e-04
8.000000e+01	1.034300e-04
8.500000e+01	1.034200e-04
9.000000e+01	1.033700e-04
9.500000e+01	1.033000e-04
1.000000e+02	1.032200e-04
