# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.038400e-01
1.500000e-04	1.450100e-01
2.000000e-04	1.987900e-01
2.500000e-04	2.437800e-01
3.000000e-04	2.783200e-01
3.500000e-04	3.057800e-01
4.000000e-04	3.281800e-01
4.500000e-04	3.652700e-01
5.000000e-04	4.087700e-01
5.500000e-04	4.873800e-01
6.000000e-04	5.721100e-01
6.500000e-04	6.464600e-01
7.000000e-04	7.121900e-01
7.500000e-04	7.706500e-01
8.000000e-04	8.229300e-01
8.500000e-04	8.698900e-01
9.000000e-04	9.122600e-01
9.500000e-04	9.506000e-01
1.000000e-03	9.854200e-01
1.500000e-03	1.206400e+00
2.000000e-03	1.304200e+00
2.500000e-03	1.347100e+00
3.000000e-03	1.361700e+00
3.500000e-03	1.360600e+00
4.000000e-03	1.350200e+00
4.500000e-03	1.334500e+00
5.000000e-03	1.315500e+00
5.500000e-03	1.294700e+00
6.000000e-03	1.272900e+00
6.500000e-03	1.250700e+00
7.000000e-03	1.228600e+00
7.500000e-03	1.206600e+00
8.000000e-03	1.185000e+00
8.500000e-03	1.163900e+00
9.000000e-03	1.143400e+00
9.500000e-03	1.123400e+00
1.000000e-02	1.104000e+00
1.500000e-02	9.413700e-01
2.000000e-02	8.227700e-01
2.500000e-02	7.330900e-01
3.000000e-02	6.628300e-01
3.500000e-02	6.061500e-01
4.000000e-02	5.593500e-01
4.500000e-02	5.199800e-01
5.000000e-02	4.863400e-01
5.500000e-02	4.572100e-01
6.000000e-02	4.317200e-01
6.500000e-02	4.092100e-01
7.000000e-02	3.891500e-01
7.500000e-02	3.711500e-01
8.000000e-02	3.549100e-01
8.500000e-02	3.401600e-01
9.000000e-02	3.267100e-01
9.500000e-02	3.143700e-01
1.000000e-01	3.030200e-01
1.500000e-01	2.246800e-01
2.000000e-01	1.802400e-01
2.500000e-01	1.513600e-01
3.000000e-01	1.309200e-01
3.500000e-01	1.157200e-01
4.000000e-01	1.039300e-01
4.500000e-01	9.454100e-02
5.000000e-01	8.686000e-02
5.500000e-01	8.045000e-02
6.000000e-01	7.501300e-02
6.500000e-01	7.033600e-02
7.000000e-01	6.619800e-02
7.500000e-01	6.252400e-02
8.000000e-01	5.920100e-02
8.500000e-01	5.623900e-02
9.000000e-01	5.358000e-02
9.500000e-01	5.117900e-02
1.000000e+00	4.899900e-02
1.500000e+00	3.431800e-02
2.000000e+00	2.651200e-02
2.500000e+00	2.168200e-02
3.000000e+00	1.838600e-02
3.500000e+00	1.598800e-02
4.000000e+00	1.416300e-02
4.500000e+00	1.274400e-02
5.000000e+00	1.162500e-02
5.500000e+00	1.070400e-02
6.000000e+00	9.931800e-03
6.500000e+00	9.287300e-03
7.000000e+00	8.743400e-03
7.500000e+00	8.275900e-03
8.000000e+00	7.869100e-03
8.500000e+00	7.512400e-03
9.000000e+00	7.198100e-03
9.500000e+00	6.919700e-03
1.000000e+01	6.671900e-03
1.500000e+01	5.191200e-03
2.000000e+01	4.570500e-03
2.500000e+01	4.260300e-03
3.000000e+01	4.064100e-03
3.500000e+01	3.913600e-03
4.000000e+01	3.789300e-03
4.500000e+01	3.686500e-03
5.000000e+01	3.603700e-03
5.500000e+01	3.539000e-03
6.000000e+01	3.489700e-03
6.500000e+01	3.453300e-03
7.000000e+01	3.426800e-03
7.500000e+01	3.408000e-03
8.000000e+01	3.394600e-03
8.500000e+01	3.384800e-03
9.000000e+01	3.377400e-03
9.500000e+01	3.371300e-03
1.000000e+02	3.365600e-03
1.500000e+02	3.284800e-03
2.000000e+02	3.204600e-03
2.500000e+02	3.191600e-03
3.000000e+02	3.240000e-03
3.500000e+02	3.323000e-03
4.000000e+02	3.419700e-03
4.500000e+02	3.519000e-03
5.000000e+02	3.616500e-03
5.500000e+02	3.711300e-03
6.000000e+02	3.803300e-03
6.500000e+02	3.892200e-03
7.000000e+02	3.975900e-03
7.500000e+02	4.051200e-03
8.000000e+02	4.114000e-03
8.500000e+02	4.160400e-03
9.000000e+02	4.187600e-03
9.500000e+02	4.194800e-03
1.000000e+03	4.183700e-03
