# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	7.541300e+00
1.500000e-04	8.240500e+00
2.000000e-04	8.799300e+00
2.500000e-04	9.139400e+00
3.000000e-04	9.313300e+00
3.500000e-04	9.388000e+00
4.000000e-04	9.400400e+00
4.500000e-04	9.372300e+00
5.000000e-04	9.317400e+00
5.500000e-04	9.244600e+00
6.000000e-04	9.159700e+00
6.500000e-04	9.066800e+00
7.000000e-04	8.968900e+00
7.500000e-04	8.867900e+00
8.000000e-04	8.765300e+00
8.500000e-04	8.662200e+00
9.000000e-04	8.559400e+00
9.500000e-04	8.457300e+00
1.000000e-03	8.356300e+00
1.500000e-03	7.446200e+00
2.000000e-03	6.720200e+00
2.500000e-03	6.138000e+00
3.000000e-03	5.661600e+00
3.500000e-03	5.263800e+00
4.000000e-03	4.926100e+00
4.500000e-03	4.635100e+00
5.000000e-03	4.381300e+00
5.500000e-03	4.157700e+00
6.000000e-03	3.958800e+00
6.500000e-03	3.780700e+00
7.000000e-03	3.620000e+00
7.500000e-03	3.474200e+00
8.000000e-03	3.341200e+00
8.500000e-03	3.219200e+00
9.000000e-03	3.107000e+00
9.500000e-03	3.003300e+00
1.000000e-02	2.907100e+00
1.500000e-02	2.223100e+00
2.000000e-02	1.817800e+00
2.500000e-02	1.546400e+00
3.000000e-02	1.350500e+00
3.500000e-02	1.201600e+00
4.000000e-02	1.084400e+00
4.500000e-02	9.893400e-01
5.000000e-02	9.106100e-01
5.500000e-02	8.445800e-01
6.000000e-02	7.883500e-01
6.500000e-02	7.397600e-01
7.000000e-02	6.973200e-01
7.500000e-02	6.599000e-01
8.000000e-02	6.266300e-01
8.500000e-02	5.968300e-01
9.000000e-02	5.699800e-01
9.500000e-02	5.456500e-01
1.000000e-01	5.234900e-01
1.500000e-01	3.762200e-01
2.000000e-01	2.922900e-01
2.500000e-01	2.397600e-01
3.000000e-01	2.038300e-01
3.500000e-01	1.776400e-01
4.000000e-01	1.576500e-01
4.500000e-01	1.418700e-01
5.000000e-01	1.290900e-01
5.500000e-01	1.182900e-01
6.000000e-01	1.090900e-01
6.500000e-01	1.012400e-01
7.000000e-01	9.446300e-02
7.500000e-01	8.855600e-02
8.000000e-01	8.335800e-02
8.500000e-01	7.874800e-02
9.000000e-01	7.463100e-02
9.500000e-01	7.093100e-02
1.000000e+00	6.758700e-02
1.500000e+00	4.607300e-02
2.000000e+00	3.505500e-02
2.500000e+00	2.833900e-02
3.000000e+00	2.380900e-02
3.500000e+00	2.056500e-02
4.000000e+00	1.836800e-02
4.500000e+00	1.669300e-02
5.000000e+00	1.526900e-02
5.500000e+00	1.409700e-02
6.000000e+00	1.314000e-02
6.500000e+00	1.235100e-02
7.000000e+00	1.169100e-02
7.500000e+00	1.112600e-02
8.000000e+00	1.063200e-02
8.500000e+00	1.019200e-02
9.000000e+00	9.795100e-03
9.500000e+00	9.433600e-03
1.000000e+01	9.103000e-03
1.500000e+01	7.001200e-03
2.000000e+01	6.078800e-03
2.500000e+01	5.554400e-03
3.000000e+01	5.159000e-03
3.500000e+01	4.819500e-03
4.000000e+01	4.523400e-03
4.500000e+01	4.269200e-03
5.000000e+01	4.053800e-03
5.500000e+01	3.871500e-03
6.000000e+01	3.716000e-03
6.500000e+01	3.581400e-03
7.000000e+01	3.462800e-03
7.500000e+01	3.356600e-03
8.000000e+01	3.259800e-03
8.500000e+01	3.170500e-03
9.000000e+01	3.087300e-03
9.500000e+01	3.009300e-03
1.000000e+02	2.935700e-03
1.500000e+02	2.393600e-03
2.000000e+02	2.115300e-03
2.500000e+02	1.981400e-03
3.000000e+02	1.911200e-03
3.500000e+02	1.866900e-03
4.000000e+02	1.835400e-03
4.500000e+02	1.814200e-03
5.000000e+02	1.802900e-03
5.500000e+02	1.800700e-03
6.000000e+02	1.804800e-03
6.500000e+02	1.811100e-03
7.000000e+02	1.815200e-03
7.500000e+02	1.813500e-03
8.000000e+02	1.804400e-03
8.500000e+02	1.789000e-03
9.000000e+02	1.772200e-03
9.500000e+02	1.762900e-03
1.000000e+03	1.773800e-03
