# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	3.112000e-06
4.500000e-02	3.932000e-06
5.000000e-02	4.501400e-06
5.500000e-02	4.905300e-06
6.000000e-02	5.196000e-06
6.500000e-02	5.407300e-06
7.000000e-02	5.561700e-06
7.500000e-02	5.674500e-06
8.000000e-02	5.756600e-06
8.500000e-02	5.815600e-06
9.000000e-02	5.857200e-06
9.500000e-02	5.885500e-06
1.000000e-01	5.903600e-06
1.500000e-01	6.794300e-06
2.000000e-01	7.623900e-06
2.500000e-01	8.298500e-06
3.000000e-01	8.935100e-06
3.500000e-01	9.468900e-06
4.000000e-01	9.943900e-06
4.500000e-01	1.038100e-05
5.000000e-01	1.079200e-05
5.500000e-01	1.118200e-05
6.000000e-01	1.212400e-05
6.500000e-01	1.367900e-05
7.000000e-01	1.539800e-05
7.500000e-01	1.718200e-05
8.000000e-01	1.897200e-05
8.500000e-01	2.073400e-05
9.000000e-01	2.244700e-05
9.500000e-01	2.410100e-05
1.000000e+00	2.569000e-05
1.500000e+00	3.828900e-05
2.000000e+00	4.679900e-05
2.500000e+00	5.306200e-05
3.000000e+00	5.797200e-05
3.500000e+00	6.199200e-05
4.000000e+00	6.538400e-05
4.500000e+00	6.831200e-05
5.000000e+00	7.088200e-05
5.500000e+00	7.316700e-05
6.000000e+00	7.522100e-05
6.500000e+00	7.708100e-05
7.000000e+00	7.877900e-05
7.500000e+00	8.033700e-05
8.000000e+00	8.177400e-05
8.500000e+00	8.310400e-05
9.000000e+00	8.434000e-05
9.500000e+00	8.549200e-05
1.000000e+01	8.656800e-05
1.500000e+01	9.438300e-05
2.000000e+01	9.890100e-05
2.500000e+01	1.015800e-04
3.000000e+01	1.031100e-04
3.500000e+01	1.039000e-04
4.000000e+01	1.042100e-04
4.500000e+01	1.042100e-04
5.000000e+01	1.040000e-04
5.500000e+01	1.036900e-04
6.000000e+01	1.033000e-04
6.500000e+01	1.028900e-04
7.000000e+01	1.024700e-04
7.500000e+01	1.020600e-04
8.000000e+01	1.016600e-04
8.500000e+01	1.012800e-04
9.000000e+01	1.009300e-04
9.500000e+01	1.006000e-04
1.000000e+02	1.002900e-04
