# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	9.883900e-01
1.500000e-04	1.418500e+00
2.000000e-04	1.695300e+00
2.500000e-04	1.890600e+00
3.000000e-04	2.035900e+00
3.500000e-04	2.147700e+00
4.000000e-04	2.235800e+00
4.500000e-04	2.306400e+00
5.000000e-04	2.363600e+00
5.500000e-04	2.410400e+00
6.000000e-04	2.448900e+00
6.500000e-04	2.480600e+00
7.000000e-04	2.506700e+00
7.500000e-04	2.528300e+00
8.000000e-04	2.545900e+00
8.500000e-04	2.560300e+00
9.000000e-04	2.571900e+00
9.500000e-04	2.581100e+00
1.000000e-03	2.588200e+00
1.500000e-03	2.589500e+00
2.000000e-03	2.532500e+00
2.500000e-03	2.457600e+00
3.000000e-03	2.378400e+00
3.500000e-03	2.300200e+00
4.000000e-03	2.225300e+00
4.500000e-03	2.154400e+00
5.000000e-03	2.087600e+00
5.500000e-03	2.024900e+00
6.000000e-03	1.966100e+00
6.500000e-03	1.910800e+00
7.000000e-03	1.858900e+00
7.500000e-03	1.810100e+00
8.000000e-03	1.764100e+00
8.500000e-03	1.720700e+00
9.000000e-03	1.679700e+00
9.500000e-03	1.640900e+00
1.000000e-02	1.604000e+00
1.500000e-02	1.318600e+00
2.000000e-02	1.128600e+00
2.500000e-02	9.917700e-01
3.000000e-02	8.877800e-01
3.500000e-02	8.056900e-01
4.000000e-02	7.389900e-01
4.500000e-02	6.835700e-01
5.000000e-02	6.366900e-01
5.500000e-02	5.964500e-01
6.000000e-02	5.614700e-01
6.500000e-02	5.307500e-01
7.000000e-02	5.035400e-01
7.500000e-02	4.792300e-01
8.000000e-02	4.573800e-01
8.500000e-02	4.376100e-01
9.000000e-02	4.196300e-01
9.500000e-02	4.032000e-01
1.000000e-01	3.881200e-01
1.500000e-01	2.854100e-01
2.000000e-01	2.280000e-01
2.500000e-01	1.910100e-01
3.000000e-01	1.655600e-01
3.500000e-01	1.464700e-01
4.000000e-01	1.316600e-01
4.500000e-01	1.198800e-01
5.000000e-01	1.102400e-01
5.500000e-01	1.021900e-01
6.000000e-01	9.534900e-02
6.500000e-01	8.946300e-02
7.000000e-01	8.428500e-02
7.500000e-01	7.960600e-02
8.000000e-01	7.520800e-02
8.500000e-01	7.129300e-02
9.000000e-01	6.778300e-02
9.500000e-01	6.461900e-02
1.000000e+00	6.175100e-02
1.500000e+00	4.283800e-02
2.000000e+00	3.292800e-02
2.500000e+00	2.682900e-02
3.000000e+00	2.269300e-02
3.500000e+00	1.970200e-02
4.000000e+00	1.743700e-02
4.500000e+00	1.568800e-02
5.000000e+00	1.431800e-02
5.500000e+00	1.319200e-02
6.000000e+00	1.224600e-02
6.500000e+00	1.144800e-02
7.000000e+00	1.077000e-02
7.500000e+00	1.019000e-02
8.000000e+00	9.688500e-03
8.500000e+00	9.252100e-03
9.000000e+00	8.869300e-03
9.500000e+00	8.530800e-03
1.000000e+01	8.229300e-03
1.500000e+01	6.384400e-03
2.000000e+01	5.557500e-03
2.500000e+01	5.120800e-03
3.000000e+01	4.832800e-03
3.500000e+01	4.606100e-03
4.000000e+01	4.415600e-03
4.500000e+01	4.255300e-03
5.000000e+01	4.122800e-03
5.500000e+01	4.015000e-03
6.000000e+01	3.928200e-03
6.500000e+01	3.858500e-03
7.000000e+01	3.802200e-03
7.500000e+01	3.755900e-03
8.000000e+01	3.717000e-03
8.500000e+01	3.683200e-03
9.000000e+01	3.652900e-03
9.500000e+01	3.624800e-03
1.000000e+02	3.598000e-03
1.500000e+02	3.351700e-03
2.000000e+02	3.184000e-03
2.500000e+02	3.124100e-03
3.000000e+02	3.132700e-03
3.500000e+02	3.170200e-03
4.000000e+02	3.216100e-03
4.500000e+02	3.264900e-03
5.000000e+02	3.318000e-03
5.500000e+02	3.377300e-03
6.000000e+02	3.442700e-03
6.500000e+02	3.511000e-03
7.000000e+02	3.576200e-03
7.500000e+02	3.631300e-03
8.000000e+02	3.670100e-03
8.500000e+02	3.689400e-03
9.000000e+02	3.691200e-03
9.500000e+02	3.683800e-03
1.000000e+03	3.682800e-03
