# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	2.879100e-07
6.000000e-02	2.445300e-06
6.500000e-02	4.138400e-06
7.000000e-02	5.495000e-06
7.500000e-02	6.601000e-06
8.000000e-02	8.105500e-06
8.500000e-02	1.007700e-05
9.000000e-02	1.176000e-05
9.500000e-02	1.321100e-05
1.000000e-01	1.447200e-05
1.500000e-01	2.148000e-05
2.000000e-01	2.533200e-05
2.500000e-01	2.879600e-05
3.000000e-01	3.134500e-05
3.500000e-01	3.341600e-05
4.000000e-01	3.520100e-05
4.500000e-01	3.679600e-05
5.000000e-01	3.825100e-05
5.500000e-01	3.960100e-05
6.000000e-01	4.086400e-05
6.500000e-01	4.205600e-05
7.000000e-01	4.318700e-05
7.500000e-01	4.426600e-05
8.000000e-01	4.529700e-05
8.500000e-01	4.628700e-05
9.000000e-01	4.723900e-05
9.500000e-01	4.815600e-05
1.000000e+00	4.904200e-05
1.500000e+00	5.657500e-05
2.000000e+00	6.245700e-05
2.500000e+00	6.727800e-05
3.000000e+00	7.135100e-05
3.500000e+00	7.486800e-05
4.000000e+00	7.795600e-05
4.500000e+00	8.070200e-05
5.000000e+00	8.317100e-05
5.500000e+00	8.540900e-05
6.000000e+00	8.745400e-05
6.500000e+00	8.933300e-05
7.000000e+00	9.106800e-05
7.500000e+00	9.267900e-05
8.000000e+00	9.418100e-05
8.500000e+00	9.558400e-05
9.000000e+00	9.690100e-05
9.500000e+00	9.813900e-05
1.000000e+01	9.930700e-05
1.500000e+01	1.081900e-04
2.000000e+01	1.139000e-04
2.500000e+01	1.178200e-04
3.000000e+01	1.205700e-04
3.500000e+01	1.225300e-04
4.000000e+01	1.239300e-04
4.500000e+01	1.249000e-04
5.000000e+01	1.255800e-04
5.500000e+01	1.260300e-04
6.000000e+01	1.263100e-04
6.500000e+01	1.264800e-04
7.000000e+01	1.265500e-04
7.500000e+01	1.265600e-04
8.000000e+01	1.265200e-04
8.500000e+01	1.264500e-04
9.000000e+01	1.263500e-04
9.500000e+01	1.262400e-04
1.000000e+02	1.261200e-04
