# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.413600e+00
1.500000e-04	1.834000e+00
2.000000e-04	2.082800e+00
2.500000e-04	2.243700e+00
3.000000e-04	2.352700e+00
3.500000e-04	2.428200e+00
4.000000e-04	2.480800e+00
4.500000e-04	2.517100e+00
5.000000e-04	2.541300e+00
5.500000e-04	2.556600e+00
6.000000e-04	2.564900e+00
6.500000e-04	2.567900e+00
7.000000e-04	2.566700e+00
7.500000e-04	2.562200e+00
8.000000e-04	2.555100e+00
8.500000e-04	2.545800e+00
9.000000e-04	2.534800e+00
9.500000e-04	2.522500e+00
1.000000e-03	2.509100e+00
1.500000e-03	2.382400e+00
2.000000e-03	2.297500e+00
2.500000e-03	2.202100e+00
3.000000e-03	2.109100e+00
3.500000e-03	2.022200e+00
4.000000e-03	1.942200e+00
4.500000e-03	1.868800e+00
5.000000e-03	1.801600e+00
5.500000e-03	1.739800e+00
6.000000e-03	1.682900e+00
6.500000e-03	1.630300e+00
7.000000e-03	1.581500e+00
7.500000e-03	1.536200e+00
8.000000e-03	1.493900e+00
8.500000e-03	1.454400e+00
9.000000e-03	1.417300e+00
9.500000e-03	1.382500e+00
1.000000e-02	1.349700e+00
1.500000e-02	1.101200e+00
2.000000e-02	9.399500e-01
2.500000e-02	8.251900e-01
3.000000e-02	7.385200e-01
3.500000e-02	6.703200e-01
4.000000e-02	6.150100e-01
4.500000e-02	5.691000e-01
5.000000e-02	5.302800e-01
5.500000e-02	4.969600e-01
6.000000e-02	4.680000e-01
6.500000e-02	4.425700e-01
7.000000e-02	4.200200e-01
7.500000e-02	3.998800e-01
8.000000e-02	3.817700e-01
8.500000e-02	3.653800e-01
9.000000e-02	3.504700e-01
9.500000e-02	3.368400e-01
1.000000e-01	3.243300e-01
1.500000e-01	2.393200e-01
2.000000e-01	1.921300e-01
2.500000e-01	1.616700e-01
3.000000e-01	1.402100e-01
3.500000e-01	1.240700e-01
4.000000e-01	1.108100e-01
4.500000e-01	1.002300e-01
5.000000e-01	9.158900e-02
5.500000e-01	8.438100e-02
6.000000e-01	7.825900e-02
6.500000e-01	7.300000e-02
7.000000e-01	6.844300e-02
7.500000e-01	6.445400e-02
8.000000e-01	6.093100e-02
8.500000e-01	5.779600e-02
9.000000e-01	5.498600e-02
9.500000e-01	5.245300e-02
1.000000e+00	5.015700e-02
1.500000e+00	3.518900e-02
2.000000e+00	2.721400e-02
2.500000e+00	2.219900e-02
3.000000e+00	1.879200e-02
3.500000e+00	1.638600e-02
4.000000e+00	1.461400e-02
4.500000e+00	1.322800e-02
5.000000e+00	1.210800e-02
5.500000e+00	1.118600e-02
6.000000e+00	1.041400e-02
6.500000e+00	9.760100e-03
7.000000e+00	9.198600e-03
7.500000e+00	8.711100e-03
8.000000e+00	8.283800e-03
8.500000e+00	7.906100e-03
9.000000e+00	7.569600e-03
9.500000e+00	7.268000e-03
1.000000e+01	6.996000e-03
1.500000e+01	5.256600e-03
2.000000e+01	4.352200e-03
2.500000e+01	3.774300e-03
3.000000e+01	3.365200e-03
3.500000e+01	3.059700e-03
4.000000e+01	2.823200e-03
4.500000e+01	2.634200e-03
5.000000e+01	2.479000e-03
5.500000e+01	2.348100e-03
6.000000e+01	2.235200e-03
6.500000e+01	2.135700e-03
7.000000e+01	2.046600e-03
7.500000e+01	1.965900e-03
8.000000e+01	1.892000e-03
8.500000e+01	1.823900e-03
9.000000e+01	1.760900e-03
9.500000e+01	1.702400e-03
1.000000e+02	1.647900e-03
1.500000e+02	1.270100e-03
2.000000e+02	1.079500e-03
2.500000e+02	9.770300e-04
3.000000e+02	9.155300e-04
3.500000e+02	8.738000e-04
4.000000e+02	8.428700e-04
4.500000e+02	8.190800e-04
5.000000e+02	8.008100e-04
5.500000e+02	7.869900e-04
6.000000e+02	7.765700e-04
6.500000e+02	7.684200e-04
7.000000e+02	7.614500e-04
7.500000e+02	7.547300e-04
8.000000e+02	7.477200e-04
8.500000e+02	7.403900e-04
9.000000e+02	7.333500e-04
9.500000e+02	7.279300e-04
1.000000e+03	7.262300e-04
