# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	7.675700e-01
1.500000e-04	9.305500e-01
2.000000e-04	1.055300e+00
2.500000e-04	1.129500e+00
3.000000e-04	1.175300e+00
3.500000e-04	1.203500e+00
4.000000e-04	1.220200e+00
4.500000e-04	1.229000e+00
5.000000e-04	1.232400e+00
5.500000e-04	1.231800e+00
6.000000e-04	1.228400e+00
6.500000e-04	1.222900e+00
7.000000e-04	1.215900e+00
7.500000e-04	1.207700e+00
8.000000e-04	1.198700e+00
8.500000e-04	1.189000e+00
9.000000e-04	1.181400e+00
9.500000e-04	1.189200e+00
1.000000e-03	1.195500e+00
1.500000e-03	1.211400e+00
2.000000e-03	1.191200e+00
2.500000e-03	1.161300e+00
3.000000e-03	1.129300e+00
3.500000e-03	1.097700e+00
4.000000e-03	1.067600e+00
4.500000e-03	1.039200e+00
5.000000e-03	1.012500e+00
5.500000e-03	9.875100e-01
6.000000e-03	9.640100e-01
6.500000e-03	9.419100e-01
7.000000e-03	9.211000e-01
7.500000e-03	9.014500e-01
8.000000e-03	8.828800e-01
8.500000e-03	8.652700e-01
9.000000e-03	8.485700e-01
9.500000e-03	8.326800e-01
1.000000e-02	8.175400e-01
1.500000e-02	6.972400e-01
2.000000e-02	6.133800e-01
2.500000e-02	5.505800e-01
3.000000e-02	5.013200e-01
3.500000e-02	4.613900e-01
4.000000e-02	4.282300e-01
4.500000e-02	4.001500e-01
5.000000e-02	3.760000e-01
5.500000e-02	3.550200e-01
6.000000e-02	3.365900e-01
6.500000e-02	3.202300e-01
7.000000e-02	3.055900e-01
7.500000e-02	2.924000e-01
8.000000e-02	2.804400e-01
8.500000e-02	2.695400e-01
9.000000e-02	2.595600e-01
9.500000e-02	2.503800e-01
1.000000e-01	2.419100e-01
1.500000e-01	1.825800e-01
2.000000e-01	1.478300e-01
2.500000e-01	1.249500e-01
3.000000e-01	1.086400e-01
3.500000e-01	9.636800e-02
4.000000e-01	8.663100e-02
4.500000e-01	7.878900e-02
5.000000e-01	7.233100e-02
5.500000e-01	6.691100e-02
6.000000e-01	6.229200e-02
6.500000e-01	5.830500e-02
7.000000e-01	5.483100e-02
7.500000e-01	5.178200e-02
8.000000e-01	4.908300e-02
8.500000e-01	4.667600e-02
9.000000e-01	4.451500e-02
9.500000e-01	4.256200e-02
1.000000e+00	4.078900e-02
1.500000e+00	2.913700e-02
2.000000e+00	2.290000e-02
2.500000e+00	1.875400e-02
3.000000e+00	1.592800e-02
3.500000e+00	1.388500e-02
4.000000e+00	1.235700e-02
4.500000e+00	1.115700e-02
5.000000e+00	1.017900e-02
5.500000e+00	9.371100e-03
6.000000e+00	8.694200e-03
6.500000e+00	8.118900e-03
7.000000e+00	7.623700e-03
7.500000e+00	7.192400e-03
8.000000e+00	6.812900e-03
8.500000e+00	6.475900e-03
9.000000e+00	6.174300e-03
9.500000e+00	5.902800e-03
1.000000e+01	5.656900e-03
1.500000e+01	4.069000e-03
2.000000e+01	3.253000e-03
2.500000e+01	2.748700e-03
3.000000e+01	2.400700e-03
3.500000e+01	2.143300e-03
4.000000e+01	1.944100e-03
4.500000e+01	1.785100e-03
5.000000e+01	1.655000e-03
5.500000e+01	1.546500e-03
6.000000e+01	1.454300e-03
6.500000e+01	1.374700e-03
7.000000e+01	1.305000e-03
7.500000e+01	1.243300e-03
8.000000e+01	1.188200e-03
8.500000e+01	1.138500e-03
9.000000e+01	1.093500e-03
9.500000e+01	1.052500e-03
1.000000e+02	1.014900e-03
1.500000e+02	7.643600e-04
2.000000e+02	6.370400e-04
2.500000e+02	5.644100e-04
3.000000e+02	5.185600e-04
3.500000e+02	4.870100e-04
4.000000e+02	4.638800e-04
4.500000e+02	4.462400e-04
5.000000e+02	4.325100e-04
5.500000e+02	4.216600e-04
6.000000e+02	4.129700e-04
6.500000e+02	4.058100e-04
7.000000e+02	3.996800e-04
7.500000e+02	3.941800e-04
8.000000e+02	3.890400e-04
8.500000e+02	3.841700e-04
9.000000e+02	3.796700e-04
9.500000e+02	3.758600e-04
1.000000e+03	3.732600e-04
