# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	4.112800e+00
1.500000e-04	4.510200e+00
2.000000e-04	4.682200e+00
2.500000e-04	4.748900e+00
3.000000e-04	4.759500e+00
3.500000e-04	4.737800e+00
4.000000e-04	4.696900e+00
4.500000e-04	4.644500e+00
5.000000e-04	4.585100e+00
5.500000e-04	4.521700e+00
6.000000e-04	4.456100e+00
6.500000e-04	4.389800e+00
7.000000e-04	4.323500e+00
7.500000e-04	4.257800e+00
8.000000e-04	4.193200e+00
8.500000e-04	4.129700e+00
9.000000e-04	4.067700e+00
9.500000e-04	4.007200e+00
1.000000e-03	3.948300e+00
1.500000e-03	3.469000e+00
2.000000e-03	3.156500e+00
2.500000e-03	2.905600e+00
3.000000e-03	2.700200e+00
3.500000e-03	2.528500e+00
4.000000e-03	2.382600e+00
4.500000e-03	2.256700e+00
5.000000e-03	2.146700e+00
5.500000e-03	2.049600e+00
6.000000e-03	1.963000e+00
6.500000e-03	1.885200e+00
7.000000e-03	1.814800e+00
7.500000e-03	1.750700e+00
8.000000e-03	1.692000e+00
8.500000e-03	1.638100e+00
9.000000e-03	1.588300e+00
9.500000e-03	1.542100e+00
1.000000e-02	1.499100e+00
1.500000e-02	1.188000e+00
2.000000e-02	9.976800e-01
2.500000e-02	8.666500e-01
3.000000e-02	7.698100e-01
3.500000e-02	6.947800e-01
4.000000e-02	6.346200e-01
4.500000e-02	5.851200e-01
5.000000e-02	5.435700e-01
5.500000e-02	5.083500e-01
6.000000e-02	4.780200e-01
6.500000e-02	4.515400e-01
7.000000e-02	4.281900e-01
7.500000e-02	4.074200e-01
8.000000e-02	3.888000e-01
8.500000e-02	3.720100e-01
9.000000e-02	3.567700e-01
9.500000e-02	3.428800e-01
1.000000e-01	3.301400e-01
1.500000e-01	2.438000e-01
2.000000e-01	1.936000e-01
2.500000e-01	1.613500e-01
3.000000e-01	1.388200e-01
3.500000e-01	1.220700e-01
4.000000e-01	1.088800e-01
4.500000e-01	9.837600e-02
5.000000e-01	8.979800e-02
5.500000e-01	8.265500e-02
6.000000e-01	7.661000e-02
6.500000e-01	7.142000e-02
7.000000e-01	6.690500e-02
7.500000e-01	6.295700e-02
8.000000e-01	5.947400e-02
8.500000e-01	5.637700e-02
9.000000e-01	5.360400e-02
9.500000e-01	5.110600e-02
1.000000e+00	4.884300e-02
1.500000e+00	3.414000e-02
2.000000e+00	2.644500e-02
2.500000e+00	2.153100e-02
3.000000e+00	1.819600e-02
3.500000e+00	1.580700e-02
4.000000e+00	1.410400e-02
4.500000e+00	1.276200e-02
5.000000e+00	1.163700e-02
5.500000e+00	1.070800e-02
6.000000e+00	9.938800e-03
6.500000e+00	9.294300e-03
7.000000e+00	8.745600e-03
7.500000e+00	8.270400e-03
8.000000e+00	7.852200e-03
8.500000e+00	7.479000e-03
9.000000e+00	7.142500e-03
9.500000e+00	6.836700e-03
1.000000e+01	6.557300e-03
1.500000e+01	4.731200e-03
2.000000e+01	3.831000e-03
2.500000e+01	3.297100e-03
3.000000e+01	2.924700e-03
3.500000e+01	2.636300e-03
4.000000e+01	2.402100e-03
4.500000e+01	2.208300e-03
5.000000e+01	2.046200e-03
5.500000e+01	1.909400e-03
6.000000e+01	1.792600e-03
6.500000e+01	1.691800e-03
7.000000e+01	1.603700e-03
7.500000e+01	1.525900e-03
8.000000e+01	1.456400e-03
8.500000e+01	1.393800e-03
9.000000e+01	1.336900e-03
9.500000e+01	1.285000e-03
1.000000e+02	1.237400e-03
1.500000e+02	9.154800e-04
2.000000e+02	7.517300e-04
2.500000e+02	6.617400e-04
3.000000e+02	6.079500e-04
3.500000e+02	5.729300e-04
4.000000e+02	5.484400e-04
4.500000e+02	5.305100e-04
5.000000e+02	5.171000e-04
5.500000e+02	5.069700e-04
6.000000e+02	4.992000e-04
6.500000e+02	4.930000e-04
7.000000e+02	4.876500e-04
7.500000e+02	4.825400e-04
8.000000e+02	4.773300e-04
8.500000e+02	4.719500e-04
9.000000e+02	4.667600e-04
9.500000e+02	4.625200e-04
1.000000e+03	4.605000e-04
