# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	2.188000e-06
2.000000e-01	3.438800e-06
2.500000e-01	4.372200e-06
3.000000e-01	5.032100e-06
3.500000e-01	5.553500e-06
4.000000e-01	5.995600e-06
4.500000e-01	6.387700e-06
5.000000e-01	7.556100e-06
5.500000e-01	9.219300e-06
6.000000e-01	1.096700e-05
6.500000e-01	1.273300e-05
7.000000e-01	1.447700e-05
7.500000e-01	1.617700e-05
8.000000e-01	1.782100e-05
8.500000e-01	1.940300e-05
9.000000e-01	2.092100e-05
9.500000e-01	2.237600e-05
1.000000e+00	2.377000e-05
1.500000e+00	3.498800e-05
2.000000e+00	4.292000e-05
2.500000e+00	4.897600e-05
3.000000e+00	5.384800e-05
3.500000e+00	5.790800e-05
4.000000e+00	6.137800e-05
4.500000e+00	6.440200e-05
5.000000e+00	6.707600e-05
5.500000e+00	6.946700e-05
6.000000e+00	7.162700e-05
6.500000e+00	7.359100e-05
7.000000e+00	7.539000e-05
7.500000e+00	7.704600e-05
8.000000e+00	7.857800e-05
8.500000e+00	8.000100e-05
9.000000e+00	8.132700e-05
9.500000e+00	8.256600e-05
1.000000e+01	8.372800e-05
1.500000e+01	9.230800e-05
2.000000e+01	9.750400e-05
2.500000e+01	1.008100e-04
3.000000e+01	1.029200e-04
3.500000e+01	1.042400e-04
4.000000e+01	1.050200e-04
4.500000e+01	1.054300e-04
5.000000e+01	1.055900e-04
5.500000e+01	1.055700e-04
6.000000e+01	1.054500e-04
6.500000e+01	1.052500e-04
7.000000e+01	1.050000e-04
7.500000e+01	1.047300e-04
8.000000e+01	1.044500e-04
8.500000e+01	1.041700e-04
9.000000e+01	1.039000e-04
9.500000e+01	1.036300e-04
1.000000e+02	1.033700e-04
