# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	4.120300e-06
2.000000e-01	8.927200e-06
2.500000e-01	1.188400e-05
3.000000e-01	1.400200e-05
3.500000e-01	1.567100e-05
4.000000e-01	1.707000e-05
4.500000e-01	1.829200e-05
5.000000e-01	1.938700e-05
5.500000e-01	2.038700e-05
6.000000e-01	2.131200e-05
6.500000e-01	2.217700e-05
7.000000e-01	2.299100e-05
7.500000e-01	2.376200e-05
8.000000e-01	2.449500e-05
8.500000e-01	2.519500e-05
9.000000e-01	2.586500e-05
9.500000e-01	2.651000e-05
1.000000e+00	2.712900e-05
1.500000e+00	3.433300e-05
2.000000e+00	4.113400e-05
2.500000e+00	4.690900e-05
3.000000e+00	5.180600e-05
3.500000e+00	5.601600e-05
4.000000e+00	5.968600e-05
4.500000e+00	6.292800e-05
5.000000e+00	6.582400e-05
5.500000e+00	6.843300e-05
6.000000e+00	7.080500e-05
6.500000e+00	7.297400e-05
7.000000e+00	7.497000e-05
7.500000e+00	7.681500e-05
8.000000e+00	7.852900e-05
8.500000e+00	8.012700e-05
9.000000e+00	8.162300e-05
9.500000e+00	8.302600e-05
1.000000e+01	8.434600e-05
1.500000e+01	9.431000e-05
2.000000e+01	1.006800e-04
2.500000e+01	1.050400e-04
3.000000e+01	1.081200e-04
3.500000e+01	1.103200e-04
4.000000e+01	1.119100e-04
4.500000e+01	1.130400e-04
5.000000e+01	1.138400e-04
5.500000e+01	1.143900e-04
6.000000e+01	1.147600e-04
6.500000e+01	1.150000e-04
7.000000e+01	1.151300e-04
7.500000e+01	1.151900e-04
8.000000e+01	1.152000e-04
8.500000e+01	1.151600e-04
9.000000e+01	1.151000e-04
9.500000e+01	1.150200e-04
1.000000e+02	1.149200e-04
