# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	3.158600e-01
1.500000e-04	7.898500e-01
2.000000e-04	1.082600e+00
2.500000e-04	1.282200e+00
3.000000e-04	1.426300e+00
3.500000e-04	1.534100e+00
4.000000e-04	1.616900e+00
4.500000e-04	1.681300e+00
5.000000e-04	1.732200e+00
5.500000e-04	1.772600e+00
6.000000e-04	1.804700e+00
6.500000e-04	1.830300e+00
7.000000e-04	1.850700e+00
7.500000e-04	1.866700e+00
8.000000e-04	1.879200e+00
8.500000e-04	1.888600e+00
9.000000e-04	1.895600e+00
9.500000e-04	1.900600e+00
1.000000e-03	1.903700e+00
1.500000e-03	1.964700e+00
2.000000e-03	1.973300e+00
2.500000e-03	1.945100e+00
3.000000e-03	1.902400e+00
3.500000e-03	1.854200e+00
4.000000e-03	1.804700e+00
4.500000e-03	1.755800e+00
5.000000e-03	1.708500e+00
5.500000e-03	1.663100e+00
6.000000e-03	1.619900e+00
6.500000e-03	1.578800e+00
7.000000e-03	1.539800e+00
7.500000e-03	1.502800e+00
8.000000e-03	1.467600e+00
8.500000e-03	1.434300e+00
9.000000e-03	1.402600e+00
9.500000e-03	1.372400e+00
1.000000e-02	1.343700e+00
1.500000e-02	1.117200e+00
2.000000e-02	9.631100e-01
2.500000e-02	8.506300e-01
3.000000e-02	7.643700e-01
3.500000e-02	6.957900e-01
4.000000e-02	6.397600e-01
4.500000e-02	5.930000e-01
5.000000e-02	5.533100e-01
5.500000e-02	5.191200e-01
6.000000e-02	4.893300e-01
6.500000e-02	4.631000e-01
7.000000e-02	4.398200e-01
7.500000e-02	4.189800e-01
8.000000e-02	4.002200e-01
8.500000e-02	3.832200e-01
9.000000e-02	3.677400e-01
9.500000e-02	3.535800e-01
1.000000e-01	3.405600e-01
1.500000e-01	2.512900e-01
2.000000e-01	2.013000e-01
2.500000e-01	1.689700e-01
3.000000e-01	1.461900e-01
3.500000e-01	1.291300e-01
4.000000e-01	1.155700e-01
4.500000e-01	1.048200e-01
5.000000e-01	9.605500e-02
5.500000e-01	8.875300e-02
6.000000e-01	8.257000e-02
6.500000e-01	7.726100e-02
7.000000e-01	7.265000e-02
7.500000e-01	6.860300e-02
8.000000e-01	6.502100e-02
8.500000e-01	6.182600e-02
9.000000e-01	5.895800e-02
9.500000e-01	5.636600e-02
1.000000e+00	5.401300e-02
1.500000e+00	3.782800e-02
2.000000e+00	2.915800e-02
2.500000e+00	2.380100e-02
3.000000e+00	2.015600e-02
3.500000e+00	1.755100e-02
4.000000e+00	1.560600e-02
4.500000e+00	1.408000e-02
5.000000e+00	1.284700e-02
5.500000e+00	1.183100e-02
6.000000e+00	1.098900e-02
6.500000e+00	1.029100e-02
7.000000e+00	9.703700e-03
7.500000e+00	9.195500e-03
8.000000e+00	8.747800e-03
8.500000e+00	8.349600e-03
9.000000e+00	7.994100e-03
9.500000e+00	7.676000e-03
1.000000e+01	7.390700e-03
1.500000e+01	5.675300e-03
2.000000e+01	4.909200e-03
2.500000e+01	4.459200e-03
3.000000e+01	4.154000e-03
3.500000e+01	3.935500e-03
4.000000e+01	3.774900e-03
4.500000e+01	3.654400e-03
5.000000e+01	3.562100e-03
5.500000e+01	3.489800e-03
6.000000e+01	3.431800e-03
6.500000e+01	3.384200e-03
7.000000e+01	3.344300e-03
7.500000e+01	3.310100e-03
8.000000e+01	3.280200e-03
8.500000e+01	3.253800e-03
9.000000e+01	3.230100e-03
9.500000e+01	3.208700e-03
1.000000e+02	3.189300e-03
1.500000e+02	3.061800e-03
2.000000e+02	3.010800e-03
2.500000e+02	3.015000e-03
3.000000e+02	3.062400e-03
3.500000e+02	3.142500e-03
4.000000e+02	3.245000e-03
4.500000e+02	3.360700e-03
5.000000e+02	3.481000e-03
5.500000e+02	3.599100e-03
6.000000e+02	3.709300e-03
6.500000e+02	3.807900e-03
7.000000e+02	3.892400e-03
7.500000e+02	3.962000e-03
8.000000e+02	4.017600e-03
8.500000e+02	4.061200e-03
9.000000e+02	4.095800e-03
9.500000e+02	4.125100e-03
1.000000e+03	4.153900e-03
