# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	0.000000e+00
2.000000e-04	0.000000e+00
2.500000e-04	2.193000e-01
3.000000e-04	4.030800e-01
3.500000e-04	5.298100e-01
4.000000e-04	6.196000e-01
4.500000e-04	6.843100e-01
5.000000e-04	7.313800e-01
5.500000e-04	7.657100e-01
6.000000e-04	7.906300e-01
6.500000e-04	8.084600e-01
7.000000e-04	8.208900e-01
7.500000e-04	8.291500e-01
8.000000e-04	8.341600e-01
8.500000e-04	8.366300e-01
9.000000e-04	8.370800e-01
9.500000e-04	8.359300e-01
1.000000e-03	8.335100e-01
1.500000e-03	7.775200e-01
2.000000e-03	8.003400e-01
2.500000e-03	8.740600e-01
3.000000e-03	9.122800e-01
3.500000e-03	9.309200e-01
4.000000e-03	9.379700e-01
4.500000e-03	9.378300e-01
5.000000e-03	9.331000e-01
5.500000e-03	9.253900e-01
6.000000e-03	9.157500e-01
6.500000e-03	9.048600e-01
7.000000e-03	8.931900e-01
7.500000e-03	8.810500e-01
8.000000e-03	8.686900e-01
8.500000e-03	8.562500e-01
9.000000e-03	8.438500e-01
9.500000e-03	8.315600e-01
1.000000e-02	8.194500e-01
1.500000e-02	7.122300e-01
2.000000e-02	6.296600e-01
2.500000e-02	5.654300e-01
3.000000e-02	5.141900e-01
3.500000e-02	4.723200e-01
4.000000e-02	4.374200e-01
4.500000e-02	4.077900e-01
5.000000e-02	3.820600e-01
5.500000e-02	3.597500e-01
6.000000e-02	3.402000e-01
6.500000e-02	3.229100e-01
7.000000e-02	3.074800e-01
7.500000e-02	2.936200e-01
8.000000e-02	2.810900e-01
8.500000e-02	2.697100e-01
9.000000e-02	2.593100e-01
9.500000e-02	2.497600e-01
1.000000e-01	2.409700e-01
1.500000e-01	1.798400e-01
2.000000e-01	1.446700e-01
2.500000e-01	1.216700e-01
3.000000e-01	1.053500e-01
3.500000e-01	9.312300e-02
4.000000e-01	8.347100e-02
4.500000e-01	7.570400e-02
5.000000e-01	6.936900e-02
5.500000e-01	6.409500e-02
6.000000e-01	5.963000e-02
6.500000e-01	5.579700e-02
7.000000e-01	5.246900e-02
7.500000e-01	4.954800e-02
8.000000e-01	4.696300e-02
8.500000e-01	4.465800e-02
9.000000e-01	4.258900e-02
9.500000e-01	4.071900e-02
1.000000e+00	3.902200e-02
1.500000e+00	2.747500e-02
2.000000e+00	2.130700e-02
2.500000e+00	1.747500e-02
3.000000e+00	1.485300e-02
3.500000e+00	1.294400e-02
4.000000e+00	1.153000e-02
4.500000e+00	1.040700e-02
5.000000e+00	9.479000e-03
5.500000e+00	8.712100e-03
6.000000e+00	8.079800e-03
6.500000e+00	7.563300e-03
7.000000e+00	7.135900e-03
7.500000e+00	6.769400e-03
8.000000e+00	6.445500e-03
8.500000e+00	6.154400e-03
9.000000e+00	5.891300e-03
9.500000e+00	5.653300e-03
1.000000e+01	5.438100e-03
1.500000e+01	4.161100e-03
2.000000e+01	3.656800e-03
2.500000e+01	3.383200e-03
3.000000e+01	3.199300e-03
3.500000e+01	3.068800e-03
4.000000e+01	2.977100e-03
4.500000e+01	2.914600e-03
5.000000e+01	2.873400e-03
5.500000e+01	2.847100e-03
6.000000e+01	2.830600e-03
6.500000e+01	2.820500e-03
7.000000e+01	2.814200e-03
7.500000e+01	2.810100e-03
8.000000e+01	2.807300e-03
8.500000e+01	2.805300e-03
9.000000e+01	2.803700e-03
9.500000e+01	2.802400e-03
1.000000e+02	2.801500e-03
1.500000e+02	2.819500e-03
2.000000e+02	2.885100e-03
2.500000e+02	2.970000e-03
3.000000e+02	3.062500e-03
3.500000e+02	3.166200e-03
4.000000e+02	3.286900e-03
4.500000e+02	3.425500e-03
5.000000e+02	3.578000e-03
5.500000e+02	3.735700e-03
6.000000e+02	3.887600e-03
6.500000e+02	4.022900e-03
7.000000e+02	4.132900e-03
7.500000e+02	4.213700e-03
8.000000e+02	4.267000e-03
8.500000e+02	4.301200e-03
9.000000e+02	4.330700e-03
9.500000e+02	4.375900e-03
1.000000e+03	4.463300e-03
