# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	1.074600e+01
1.500000e-04	1.207500e+01
2.000000e-04	1.268200e+01
2.500000e-04	1.295000e+01
3.000000e-04	1.303700e+01
3.500000e-04	1.302000e+01
4.000000e-04	1.293900e+01
4.500000e-04	1.281900e+01
5.000000e-04	1.267600e+01
5.500000e-04	1.251700e+01
6.000000e-04	1.235000e+01
6.500000e-04	1.217900e+01
7.000000e-04	1.200600e+01
7.500000e-04	1.183300e+01
8.000000e-04	1.166200e+01
8.500000e-04	1.149300e+01
9.000000e-04	1.132800e+01
9.500000e-04	1.116600e+01
1.000000e-03	1.100800e+01
1.500000e-03	9.640200e+00
2.000000e-03	8.596500e+00
2.500000e-03	7.780400e+00
3.000000e-03	7.124200e+00
3.500000e-03	6.583700e+00
4.000000e-03	6.129700e+00
4.500000e-03	5.742000e+00
5.000000e-03	5.406500e+00
5.500000e-03	5.112900e+00
6.000000e-03	4.853300e+00
6.500000e-03	4.622000e+00
7.000000e-03	4.414300e+00
7.500000e-03	4.226700e+00
8.000000e-03	4.056200e+00
8.500000e-03	3.900400e+00
9.000000e-03	3.757600e+00
9.500000e-03	3.626000e+00
1.000000e-02	3.504300e+00
1.500000e-02	2.648400e+00
2.000000e-02	2.149500e+00
2.500000e-02	1.818900e+00
3.000000e-02	1.582000e+00
3.500000e-02	1.403100e+00
4.000000e-02	1.262800e+00
4.500000e-02	1.149500e+00
5.000000e-02	1.056000e+00
5.500000e-02	9.777600e-01
6.000000e-02	9.112300e-01
6.500000e-02	8.539000e-01
7.000000e-02	8.039200e-01
7.500000e-02	7.599400e-01
8.000000e-02	7.209000e-01
8.500000e-02	6.860000e-01
9.000000e-02	6.545900e-01
9.500000e-02	6.261600e-01
1.000000e-01	6.003000e-01
1.500000e-01	4.288900e-01
2.000000e-01	3.327500e-01
2.500000e-01	2.728200e-01
3.000000e-01	2.318500e-01
3.500000e-01	2.019800e-01
4.000000e-01	1.791900e-01
4.500000e-01	1.605400e-01
5.000000e-01	1.454300e-01
5.500000e-01	1.329500e-01
6.000000e-01	1.224800e-01
6.500000e-01	1.135600e-01
7.000000e-01	1.058600e-01
7.500000e-01	9.916100e-02
8.000000e-01	9.326900e-02
8.500000e-01	8.804700e-02
9.000000e-01	8.338600e-02
9.500000e-01	7.920000e-02
1.000000e+00	7.541900e-02
1.500000e+00	5.115900e-02
2.000000e+00	3.878800e-02
2.500000e+00	3.127100e-02
3.000000e+00	2.621800e-02
3.500000e+00	2.265200e-02
4.000000e+00	2.027600e-02
4.500000e+00	1.842200e-02
5.000000e+00	1.682400e-02
5.500000e+00	1.551300e-02
6.000000e+00	1.444800e-02
6.500000e+00	1.357400e-02
7.000000e+00	1.284300e-02
7.500000e+00	1.221500e-02
8.000000e+00	1.166500e-02
8.500000e+00	1.117100e-02
9.000000e+00	1.072300e-02
9.500000e+00	1.031200e-02
1.000000e+01	9.934600e-03
1.500000e+01	7.480500e-03
2.000000e+01	6.361500e-03
2.500000e+01	5.720800e-03
3.000000e+01	5.249600e-03
3.500000e+01	4.852700e-03
4.000000e+01	4.507900e-03
4.500000e+01	4.210600e-03
5.000000e+01	3.956400e-03
5.500000e+01	3.739200e-03
6.000000e+01	3.552200e-03
6.500000e+01	3.389200e-03
7.000000e+01	3.245000e-03
7.500000e+01	3.115900e-03
8.000000e+01	2.998600e-03
8.500000e+01	2.891100e-03
9.000000e+01	2.791700e-03
9.500000e+01	2.699300e-03
1.000000e+02	2.613100e-03
1.500000e+02	2.002300e-03
2.000000e+02	1.693900e-03
2.500000e+02	1.538600e-03
3.000000e+02	1.453300e-03
3.500000e+02	1.399700e-03
4.000000e+02	1.362400e-03
4.500000e+02	1.336100e-03
5.000000e+02	1.318500e-03
5.500000e+02	1.308100e-03
6.000000e+02	1.302600e-03
6.500000e+02	1.299800e-03
7.000000e+02	1.296800e-03
7.500000e+02	1.291600e-03
8.000000e+02	1.283000e-03
8.500000e+02	1.271600e-03
9.000000e+02	1.259700e-03
9.500000e+02	1.251900e-03
1.000000e+03	1.255100e-03
