# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	7.905200e-07
4.500000e-02	1.703500e-06
5.000000e-02	2.353300e-06
5.500000e-02	2.827000e-06
6.000000e-02	3.178800e-06
6.500000e-02	3.444200e-06
7.000000e-02	3.646600e-06
7.500000e-02	3.802500e-06
8.000000e-02	3.923400e-06
8.500000e-02	4.017600e-06
9.000000e-02	4.091200e-06
9.500000e-02	4.148800e-06
1.000000e-01	4.244800e-06
1.500000e-01	5.695500e-06
2.000000e-01	7.896300e-06
2.500000e-01	1.047000e-05
3.000000e-01	1.228600e-05
3.500000e-01	1.372400e-05
4.000000e-01	1.494800e-05
4.500000e-01	1.603600e-05
5.000000e-01	1.728700e-05
5.500000e-01	1.849000e-05
6.000000e-01	1.964700e-05
6.500000e-01	2.076400e-05
7.000000e-01	2.184400e-05
7.500000e-01	2.289000e-05
8.000000e-01	2.390400e-05
8.500000e-01	2.488800e-05
9.000000e-01	2.584400e-05
9.500000e-01	2.677300e-05
1.000000e+00	2.767600e-05
1.500000e+00	3.553100e-05
2.000000e+00	4.178000e-05
2.500000e+00	4.692600e-05
3.000000e+00	5.127400e-05
3.500000e+00	5.502000e-05
4.000000e+00	5.829900e-05
4.500000e+00	6.120300e-05
5.000000e+00	6.380200e-05
5.500000e+00	6.614800e-05
6.000000e+00	6.828100e-05
6.500000e+00	7.023200e-05
7.000000e+00	7.202500e-05
7.500000e+00	7.368200e-05
8.000000e+00	7.521800e-05
8.500000e+00	7.664800e-05
9.000000e+00	7.798400e-05
9.500000e+00	7.923500e-05
1.000000e+01	8.040900e-05
1.500000e+01	8.917700e-05
2.000000e+01	9.469000e-05
2.500000e+01	9.845600e-05
3.000000e+01	1.011600e-04
3.500000e+01	1.031500e-04
4.000000e+01	1.046700e-04
4.500000e+01	1.058300e-04
5.000000e+01	1.067400e-04
5.500000e+01	1.074500e-04
6.000000e+01	1.080200e-04
6.500000e+01	1.084700e-04
7.000000e+01	1.088300e-04
7.500000e+01	1.091300e-04
8.000000e+01	1.093700e-04
8.500000e+01	1.095600e-04
9.000000e+01	1.097200e-04
9.500000e+01	1.098500e-04
1.000000e+02	1.099600e-04
