# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.870200e-01
1.500000e-04	1.059100e+00
2.000000e-04	1.926500e+00
2.500000e-04	2.458000e+00
3.000000e-04	2.802500e+00
3.500000e-04	3.032700e+00
4.000000e-04	3.188400e+00
4.500000e-04	3.293500e+00
5.000000e-04	3.363100e+00
5.500000e-04	3.407100e+00
6.000000e-04	3.432300e+00
6.500000e-04	3.443500e+00
7.000000e-04	3.444100e+00
7.500000e-04	3.436800e+00
8.000000e-04	3.423300e+00
8.500000e-04	3.444900e+00
9.000000e-04	3.461100e+00
9.500000e-04	3.471300e+00
1.000000e-03	3.476500e+00
1.500000e-03	3.388100e+00
2.000000e-03	3.215900e+00
2.500000e-03	3.039800e+00
3.000000e-03	2.877000e+00
3.500000e-03	2.730400e+00
4.000000e-03	2.599000e+00
4.500000e-03	2.481000e+00
5.000000e-03	2.374800e+00
5.500000e-03	2.278600e+00
6.000000e-03	2.191100e+00
6.500000e-03	2.111200e+00
7.000000e-03	2.037800e+00
7.500000e-03	1.970200e+00
8.000000e-03	1.907700e+00
8.500000e-03	1.849600e+00
9.000000e-03	1.795600e+00
9.500000e-03	1.745100e+00
1.000000e-02	1.697800e+00
1.500000e-02	1.348400e+00
2.000000e-02	1.129700e+00
2.500000e-02	9.779600e-01
3.000000e-02	8.655700e-01
3.500000e-02	7.785000e-01
4.000000e-02	7.087900e-01
4.500000e-02	6.515600e-01
5.000000e-02	6.036200e-01
5.500000e-02	5.624100e-01
6.000000e-02	5.268600e-01
6.500000e-02	4.959500e-01
7.000000e-02	4.687900e-01
7.500000e-02	4.447100e-01
8.000000e-02	4.232100e-01
8.500000e-02	4.038500e-01
9.000000e-02	3.863400e-01
9.500000e-02	3.704300e-01
1.000000e-01	3.559000e-01
1.500000e-01	2.583500e-01
2.000000e-01	2.039900e-01
2.500000e-01	1.692900e-01
3.000000e-01	1.448500e-01
3.500000e-01	1.267600e-01
4.000000e-01	1.129000e-01
4.500000e-01	1.019300e-01
5.000000e-01	9.300900e-02
5.500000e-01	8.560600e-02
6.000000e-01	7.935800e-02
6.500000e-01	7.401100e-02
7.000000e-01	6.937800e-02
7.500000e-01	6.532400e-02
8.000000e-01	6.174500e-02
8.500000e-01	5.856000e-02
9.000000e-01	5.562600e-02
9.500000e-01	5.295600e-02
1.000000e+00	5.053800e-02
1.500000e+00	3.486500e-02
2.000000e+00	2.674400e-02
2.500000e+00	2.175400e-02
3.000000e+00	1.836800e-02
3.500000e+00	1.593200e-02
4.000000e+00	1.425100e-02
4.500000e+00	1.292100e-02
5.000000e+00	1.177800e-02
5.500000e+00	1.083600e-02
6.000000e+00	1.008000e-02
6.500000e+00	9.468300e-03
7.000000e+00	8.955100e-03
7.500000e+00	8.511100e-03
8.000000e+00	8.118500e-03
8.500000e+00	7.766300e-03
9.000000e+00	7.447700e-03
9.500000e+00	7.157700e-03
1.000000e+01	6.893100e-03
1.500000e+01	5.231400e-03
2.000000e+01	4.531300e-03
2.500000e+01	4.179000e-03
3.000000e+01	3.944800e-03
3.500000e+01	3.750800e-03
4.000000e+01	3.577700e-03
4.500000e+01	3.423700e-03
5.000000e+01	3.289500e-03
5.500000e+01	3.174800e-03
6.000000e+01	3.078000e-03
6.500000e+01	2.996700e-03
7.000000e+01	2.928700e-03
7.500000e+01	2.871600e-03
8.000000e+01	2.823300e-03
8.500000e+01	2.782200e-03
9.000000e+01	2.746600e-03
9.500000e+01	2.715500e-03
1.000000e+02	2.687800e-03
1.500000e+02	2.491800e-03
2.000000e+02	2.355500e-03
2.500000e+02	2.284700e-03
3.000000e+02	2.279500e-03
3.500000e+02	2.321700e-03
4.000000e+02	2.390800e-03
4.500000e+02	2.470100e-03
5.000000e+02	2.548300e-03
5.500000e+02	2.619500e-03
6.000000e+02	2.681900e-03
6.500000e+02	2.736100e-03
7.000000e+02	2.783600e-03
7.500000e+02	2.825800e-03
8.000000e+02	2.862800e-03
8.500000e+02	2.893400e-03
9.000000e+02	2.914400e-03
9.500000e+02	2.921200e-03
1.000000e+03	2.907500e-03
