# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	3.975200e+00
1.500000e-04	4.895700e+00
2.000000e-04	5.606100e+00
2.500000e-04	6.028700e+00
3.000000e-04	6.289400e+00
3.500000e-04	6.451000e+00
4.000000e-04	6.548000e+00
4.500000e-04	6.601200e+00
5.000000e-04	6.624000e+00
5.500000e-04	6.625000e+00
6.000000e-04	6.610300e+00
6.500000e-04	6.584100e+00
7.000000e-04	6.549400e+00
7.500000e-04	6.508600e+00
8.000000e-04	6.463100e+00
8.500000e-04	6.414400e+00
9.000000e-04	6.363200e+00
9.500000e-04	6.310400e+00
1.000000e-03	6.256600e+00
1.500000e-03	5.720300e+00
2.000000e-03	5.251300e+00
2.500000e-03	4.857400e+00
3.000000e-03	4.525300e+00
3.500000e-03	4.242100e+00
4.000000e-03	3.997400e+00
4.500000e-03	3.783800e+00
5.000000e-03	3.595300e+00
5.500000e-03	3.427500e+00
6.000000e-03	3.277100e+00
6.500000e-03	3.141300e+00
7.000000e-03	3.018000e+00
7.500000e-03	2.905400e+00
8.000000e-03	2.802200e+00
8.500000e-03	2.707000e+00
9.000000e-03	2.619000e+00
9.500000e-03	2.537400e+00
1.000000e-02	2.461400e+00
1.500000e-02	1.912200e+00
2.000000e-02	1.579600e+00
2.500000e-02	1.353500e+00
3.000000e-02	1.188600e+00
3.500000e-02	1.062400e+00
4.000000e-02	9.622600e-01
4.500000e-02	8.807000e-01
5.000000e-02	8.128300e-01
5.500000e-02	7.554100e-01
6.000000e-02	7.062300e-01
6.500000e-02	6.636000e-01
7.000000e-02	6.262400e-01
7.500000e-02	5.932100e-01
8.000000e-02	5.637700e-01
8.500000e-02	5.373100e-01
9.000000e-02	5.134200e-01
9.500000e-02	4.917500e-01
1.000000e-01	4.719800e-01
1.500000e-01	3.401200e-01
2.000000e-01	2.663200e-01
2.500000e-01	2.197900e-01
3.000000e-01	1.876000e-01
3.500000e-01	1.640500e-01
4.000000e-01	1.460300e-01
4.500000e-01	1.317700e-01
5.000000e-01	1.201900e-01
5.500000e-01	1.105900e-01
6.000000e-01	1.024900e-01
6.500000e-01	9.538800e-02
7.000000e-01	8.908900e-02
7.500000e-01	8.359000e-02
8.000000e-01	7.874600e-02
8.500000e-01	7.444700e-02
9.000000e-01	7.060400e-02
9.500000e-01	6.714800e-02
1.000000e+00	6.402200e-02
1.500000e+00	4.385200e-02
2.000000e+00	3.347500e-02
2.500000e+00	2.712800e-02
3.000000e+00	2.283800e-02
3.500000e+00	1.975900e-02
4.000000e+00	1.763000e-02
4.500000e+00	1.600000e-02
5.000000e+00	1.463500e-02
5.500000e+00	1.350700e-02
6.000000e+00	1.257700e-02
6.500000e+00	1.180500e-02
7.000000e+00	1.115600e-02
7.500000e+00	1.060300e-02
8.000000e+00	1.012400e-02
8.500000e+00	9.703000e-03
9.000000e+00	9.328100e-03
9.500000e+00	8.991500e-03
1.000000e+01	8.687400e-03
1.500000e+01	6.774900e-03
2.000000e+01	5.875500e-03
2.500000e+01	5.356600e-03
3.000000e+01	4.996300e-03
3.500000e+01	4.710500e-03
4.000000e+01	4.468900e-03
4.500000e+01	4.260100e-03
5.000000e+01	4.077600e-03
5.500000e+01	3.917000e-03
6.000000e+01	3.774700e-03
6.500000e+01	3.647600e-03
7.000000e+01	3.533600e-03
7.500000e+01	3.430700e-03
8.000000e+01	3.337400e-03
8.500000e+01	3.252500e-03
9.000000e+01	3.175000e-03
9.500000e+01	3.104100e-03
1.000000e+02	3.039100e-03
1.500000e+02	2.611600e-03
2.000000e+02	2.400900e-03
2.500000e+02	2.279200e-03
3.000000e+02	2.204600e-03
3.500000e+02	2.163700e-03
4.000000e+02	2.149600e-03
4.500000e+02	2.156200e-03
5.000000e+02	2.176600e-03
5.500000e+02	2.203700e-03
6.000000e+02	2.230500e-03
6.500000e+02	2.251100e-03
7.000000e+02	2.261500e-03
7.500000e+02	2.260100e-03
8.000000e+02	2.248300e-03
8.500000e+02	2.230100e-03
9.000000e+02	2.212200e-03
9.500000e+02	2.203400e-03
1.000000e+03	2.215100e-03
