# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.493500e-01
1.500000e-04	4.490800e-01
2.000000e-04	6.804100e-01
2.500000e-04	8.399500e-01
3.000000e-04	9.564700e-01
3.500000e-04	1.044800e+00
4.000000e-04	1.113400e+00
4.500000e-04	1.167700e+00
5.000000e-04	1.211300e+00
5.500000e-04	1.246500e+00
6.000000e-04	1.275100e+00
6.500000e-04	1.298500e+00
7.000000e-04	1.317600e+00
7.500000e-04	1.333200e+00
8.000000e-04	1.345800e+00
8.500000e-04	1.368300e+00
9.000000e-04	1.388100e+00
9.500000e-04	1.405200e+00
1.000000e-03	1.419800e+00
1.500000e-03	1.485300e+00
2.000000e-03	1.480800e+00
2.500000e-03	1.451500e+00
3.000000e-03	1.438400e+00
3.500000e-03	1.417500e+00
4.000000e-03	1.391600e+00
4.500000e-03	1.363400e+00
5.000000e-03	1.334400e+00
5.500000e-03	1.305400e+00
6.000000e-03	1.276900e+00
6.500000e-03	1.249200e+00
7.000000e-03	1.222400e+00
7.500000e-03	1.196500e+00
8.000000e-03	1.171700e+00
8.500000e-03	1.147800e+00
9.000000e-03	1.124900e+00
9.500000e-03	1.103000e+00
1.000000e-02	1.081900e+00
1.500000e-02	9.115800e-01
2.000000e-02	7.921900e-01
2.500000e-02	7.035600e-01
3.000000e-02	6.348200e-01
3.500000e-02	5.797400e-01
4.000000e-02	5.344600e-01
4.500000e-02	4.964900e-01
5.000000e-02	4.641100e-01
5.500000e-02	4.361400e-01
6.000000e-02	4.116900e-01
6.500000e-02	3.901100e-01
7.000000e-02	3.709100e-01
7.500000e-02	3.536900e-01
8.000000e-02	3.381600e-01
8.500000e-02	3.240700e-01
9.000000e-02	3.112100e-01
9.500000e-02	2.994300e-01
1.000000e-01	2.886000e-01
1.500000e-01	2.139700e-01
2.000000e-01	1.718400e-01
2.500000e-01	1.444600e-01
3.000000e-01	1.251800e-01
3.500000e-01	1.107600e-01
4.000000e-01	9.938300e-02
4.500000e-01	9.028900e-02
5.000000e-01	8.284100e-02
5.500000e-01	7.662000e-02
6.000000e-01	7.133900e-02
6.500000e-01	6.677800e-02
7.000000e-01	6.280700e-02
7.500000e-01	5.928200e-02
8.000000e-01	5.607800e-02
8.500000e-01	5.322400e-02
9.000000e-01	5.063900e-02
9.500000e-01	4.830000e-02
1.000000e+00	4.617900e-02
1.500000e+00	3.234200e-02
2.000000e+00	2.506100e-02
2.500000e+00	2.049700e-02
3.000000e+00	1.738500e-02
3.500000e+00	1.514500e-02
4.000000e+00	1.346100e-02
4.500000e+00	1.214800e-02
5.000000e+00	1.110200e-02
5.500000e+00	1.024000e-02
6.000000e+00	9.519900e-03
6.500000e+00	8.913200e-03
7.000000e+00	8.395000e-03
7.500000e+00	7.947400e-03
8.000000e+00	7.557300e-03
8.500000e+00	7.214900e-03
9.000000e+00	6.912400e-03
9.500000e+00	6.643400e-03
1.000000e+01	6.402500e-03
1.500000e+01	4.909300e-03
2.000000e+01	4.204000e-03
2.500000e+01	3.802000e-03
3.000000e+01	3.530800e-03
3.500000e+01	3.323900e-03
4.000000e+01	3.156600e-03
4.500000e+01	3.018800e-03
5.000000e+01	2.904900e-03
5.500000e+01	2.810700e-03
6.000000e+01	2.732700e-03
6.500000e+01	2.667700e-03
7.000000e+01	2.612800e-03
7.500000e+01	2.566000e-03
8.000000e+01	2.525300e-03
8.500000e+01	2.489300e-03
9.000000e+01	2.456900e-03
9.500000e+01	2.427200e-03
1.000000e+02	2.399500e-03
1.500000e+02	2.181200e-03
2.000000e+02	2.045300e-03
2.500000e+02	1.984700e-03
3.000000e+02	1.972700e-03
3.500000e+02	1.985000e-03
4.000000e+02	2.007500e-03
4.500000e+02	2.034700e-03
5.000000e+02	2.065300e-03
5.500000e+02	2.098900e-03
6.000000e+02	2.135000e-03
6.500000e+02	2.172000e-03
7.000000e+02	2.207100e-03
7.500000e+02	2.236800e-03
8.000000e+02	2.258300e-03
8.500000e+02	2.269600e-03
9.000000e+02	2.271300e-03
9.500000e+02	2.266500e-03
1.000000e+03	2.261900e-03
