# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.347500e+00
1.500000e-04	2.849600e+00
2.000000e-04	3.255800e+00
2.500000e-04	3.588800e+00
3.000000e-04	3.789800e+00
3.500000e-04	3.910900e+00
4.000000e-04	3.980800e+00
4.500000e-04	4.016400e+00
5.000000e-04	4.028500e+00
5.500000e-04	4.024000e+00
6.000000e-04	4.007800e+00
6.500000e-04	3.983200e+00
7.000000e-04	3.952600e+00
7.500000e-04	3.917600e+00
8.000000e-04	3.879600e+00
8.500000e-04	3.839500e+00
9.000000e-04	3.798000e+00
9.500000e-04	3.764300e+00
1.000000e-03	3.735700e+00
1.500000e-03	3.426800e+00
2.000000e-03	3.144800e+00
2.500000e-03	2.907200e+00
3.000000e-03	2.707800e+00
3.500000e-03	2.538900e+00
4.000000e-03	2.394000e+00
4.500000e-03	2.268200e+00
5.000000e-03	2.157800e+00
5.500000e-03	2.059900e+00
6.000000e-03	1.972500e+00
6.500000e-03	1.893900e+00
7.000000e-03	1.822600e+00
7.500000e-03	1.757600e+00
8.000000e-03	1.698200e+00
8.500000e-03	1.643400e+00
9.000000e-03	1.592800e+00
9.500000e-03	1.545900e+00
1.000000e-02	1.502300e+00
1.500000e-02	1.186400e+00
2.000000e-02	9.934800e-01
2.500000e-02	8.609900e-01
3.000000e-02	7.633100e-01
3.500000e-02	6.877900e-01
4.000000e-02	6.273600e-01
4.500000e-02	5.777300e-01
5.000000e-02	5.361300e-01
5.500000e-02	5.005900e-01
6.000000e-02	4.699600e-01
6.500000e-02	4.432700e-01
7.000000e-02	4.197700e-01
7.500000e-02	3.988300e-01
8.000000e-02	3.800500e-01
8.500000e-02	3.631600e-01
9.000000e-02	3.478700e-01
9.500000e-02	3.339600e-01
1.000000e-01	3.212400e-01
1.500000e-01	2.354000e-01
2.000000e-01	1.865700e-01
2.500000e-01	1.550900e-01
3.000000e-01	1.330300e-01
3.500000e-01	1.167000e-01
4.000000e-01	1.041000e-01
4.500000e-01	9.406400e-02
5.000000e-01	8.586700e-02
5.500000e-01	7.903800e-02
6.000000e-01	7.325800e-02
6.500000e-01	6.829100e-02
7.000000e-01	6.398700e-02
7.500000e-01	6.022200e-02
8.000000e-01	5.690000e-02
8.500000e-01	5.394500e-02
9.000000e-01	5.129800e-02
9.500000e-01	4.891400e-02
1.000000e+00	4.675300e-02
1.500000e+00	3.270300e-02
2.000000e+00	2.529200e-02
2.500000e+00	2.058000e-02
3.000000e+00	1.738200e-02
3.500000e+00	1.508100e-02
4.000000e+00	1.350500e-02
4.500000e+00	1.225800e-02
5.000000e+00	1.118000e-02
5.500000e+00	1.028700e-02
6.000000e+00	9.552400e-03
6.500000e+00	8.943100e-03
7.000000e+00	8.428200e-03
7.500000e+00	7.983900e-03
8.000000e+00	7.592400e-03
8.500000e+00	7.241300e-03
9.000000e+00	6.922400e-03
9.500000e+00	6.630100e-03
1.000000e+01	6.361000e-03
1.500000e+01	4.574500e-03
2.000000e+01	3.716600e-03
2.500000e+01	3.224200e-03
3.000000e+01	2.877700e-03
3.500000e+01	2.600300e-03
4.000000e+01	2.368000e-03
4.500000e+01	2.171700e-03
5.000000e+01	2.005800e-03
5.500000e+01	1.865200e-03
6.000000e+01	1.745200e-03
6.500000e+01	1.641900e-03
7.000000e+01	1.551900e-03
7.500000e+01	1.472600e-03
8.000000e+01	1.402100e-03
8.500000e+01	1.338700e-03
9.000000e+01	1.281200e-03
9.500000e+01	1.228800e-03
1.000000e+02	1.180700e-03
1.500000e+02	8.540400e-04
2.000000e+02	6.877900e-04
2.500000e+02	5.979500e-04
3.000000e+02	5.457400e-04
3.500000e+02	5.128200e-04
4.000000e+02	4.904800e-04
4.500000e+02	4.745600e-04
5.000000e+02	4.629900e-04
5.500000e+02	4.545900e-04
6.000000e+02	4.484500e-04
6.500000e+02	4.437200e-04
7.000000e+02	4.396100e-04
7.500000e+02	4.354400e-04
8.000000e+02	4.308000e-04
8.500000e+02	4.256800e-04
9.000000e+02	4.206000e-04
9.500000e+02	4.166300e-04
1.000000e+03	4.155200e-04
