# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	4.420600e+00
1.500000e-04	5.753200e+00
2.000000e-04	6.505500e+00
2.500000e-04	6.969200e+00
3.000000e-04	7.266400e+00
3.500000e-04	7.459000e+00
4.000000e-04	7.581800e+00
4.500000e-04	7.656200e+00
5.000000e-04	7.696100e+00
5.500000e-04	7.710700e+00
6.000000e-04	7.706400e+00
6.500000e-04	7.688100e+00
7.000000e-04	7.659000e+00
7.500000e-04	7.621800e+00
8.000000e-04	7.578300e+00
8.500000e-04	7.530100e+00
9.000000e-04	7.478200e+00
9.500000e-04	7.423700e+00
1.000000e-03	7.367200e+00
1.500000e-03	6.775900e+00
2.000000e-03	6.234300e+00
2.500000e-03	5.769400e+00
3.000000e-03	5.372700e+00
3.500000e-03	5.032000e+00
4.000000e-03	4.736500e+00
4.500000e-03	4.477900e+00
5.000000e-03	4.249500e+00
5.500000e-03	4.046100e+00
6.000000e-03	3.863700e+00
6.500000e-03	3.699200e+00
7.000000e-03	3.549800e+00
7.500000e-03	3.413600e+00
8.000000e-03	3.288700e+00
8.500000e-03	3.173800e+00
9.000000e-03	3.067600e+00
9.500000e-03	2.969100e+00
1.000000e-02	2.877600e+00
1.500000e-02	2.219400e+00
2.000000e-02	1.824000e+00
2.500000e-02	1.557100e+00
3.000000e-02	1.363400e+00
3.500000e-02	1.215700e+00
4.000000e-02	1.098900e+00
4.500000e-02	1.004100e+00
5.000000e-02	9.254200e-01
5.500000e-02	8.589300e-01
6.000000e-02	8.019900e-01
6.500000e-02	7.526100e-01
7.000000e-02	7.093600e-01
7.500000e-02	6.711300e-01
8.000000e-02	6.371100e-01
8.500000e-02	6.066200e-01
9.000000e-02	5.791400e-01
9.500000e-02	5.542200e-01
1.000000e-01	5.315200e-01
1.500000e-01	3.810800e-01
2.000000e-01	3.003500e-01
2.500000e-01	2.488300e-01
3.000000e-01	2.129700e-01
3.500000e-01	1.865500e-01
4.000000e-01	1.655500e-01
4.500000e-01	1.489500e-01
5.000000e-01	1.354700e-01
5.500000e-01	1.240800e-01
6.000000e-01	1.144900e-01
6.500000e-01	1.063100e-01
7.000000e-01	9.924600e-02
7.500000e-01	9.308200e-02
8.000000e-01	8.765400e-02
8.500000e-01	8.283700e-02
9.000000e-01	7.853200e-02
9.500000e-01	7.466200e-02
1.000000e+00	7.116300e-02
1.500000e+00	4.860100e-02
2.000000e+00	3.701200e-02
2.500000e+00	2.993400e-02
3.000000e+00	2.516300e-02
3.500000e+00	2.182900e-02
4.000000e+00	1.957300e-02
4.500000e+00	1.783200e-02
5.000000e+00	1.637200e-02
5.500000e+00	1.517000e-02
6.000000e+00	1.418200e-02
6.500000e+00	1.336300e-02
7.000000e+00	1.267300e-02
7.500000e+00	1.208100e-02
8.000000e+00	1.156500e-02
8.500000e+00	1.110800e-02
9.000000e+00	1.069900e-02
9.500000e+00	1.033000e-02
1.000000e+01	9.994500e-03
1.500000e+01	7.851700e-03
2.000000e+01	6.809900e-03
2.500000e+01	6.156700e-03
3.000000e+01	5.668100e-03
3.500000e+01	5.274300e-03
4.000000e+01	4.949400e-03
4.500000e+01	4.678600e-03
5.000000e+01	4.450200e-03
5.500000e+01	4.254300e-03
6.000000e+01	4.083100e-03
6.500000e+01	3.930600e-03
7.000000e+01	3.792500e-03
7.500000e+01	3.665700e-03
8.000000e+01	3.547900e-03
8.500000e+01	3.437800e-03
9.000000e+01	3.334300e-03
9.500000e+01	3.236900e-03
1.000000e+02	3.145100e-03
1.500000e+02	2.481700e-03
2.000000e+02	2.146000e-03
2.500000e+02	1.977600e-03
3.000000e+02	1.885100e-03
3.500000e+02	1.826700e-03
4.000000e+02	1.785400e-03
4.500000e+02	1.755400e-03
5.000000e+02	1.734700e-03
5.500000e+02	1.721800e-03
6.000000e+02	1.714600e-03
6.500000e+02	1.710400e-03
7.000000e+02	1.706300e-03
7.500000e+02	1.700000e-03
8.000000e+02	1.690200e-03
8.500000e+02	1.677300e-03
9.000000e+02	1.663900e-03
9.500000e+02	1.654900e-03
1.000000e+03	1.657600e-03
