# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	1.303000e-04
4.500000e-02	1.306700e-04
5.000000e-02	1.299500e-04
5.500000e-02	1.286200e-04
6.000000e-02	1.269700e-04
6.500000e-02	1.251600e-04
7.000000e-02	1.233000e-04
7.500000e-02	1.214400e-04
8.000000e-02	1.196100e-04
8.500000e-02	1.178400e-04
9.000000e-02	1.161400e-04
9.500000e-02	1.145200e-04
1.000000e-01	1.129700e-04
1.500000e-01	1.012500e-04
2.000000e-01	9.427200e-05
2.500000e-01	8.997100e-05
3.000000e-01	8.725600e-05
3.500000e-01	8.554100e-05
4.000000e-01	8.448900e-05
4.500000e-01	8.389200e-05
5.000000e-01	8.361900e-05
5.500000e-01	8.357900e-05
6.000000e-01	8.371200e-05
6.500000e-01	8.397200e-05
7.000000e-01	8.432900e-05
7.500000e-01	8.475900e-05
8.000000e-01	8.524400e-05
8.500000e-01	8.577100e-05
9.000000e-01	8.632900e-05
9.500000e-01	8.691000e-05
1.000000e+00	8.750900e-05
1.500000e+00	9.369900e-05
2.000000e+00	9.942500e-05
2.500000e+00	1.044600e-04
3.000000e+00	1.088700e-04
3.500000e+00	1.127700e-04
4.000000e+00	1.162500e-04
4.500000e+00	1.193700e-04
5.000000e+00	1.222100e-04
5.500000e+00	1.247900e-04
6.000000e+00	1.271700e-04
6.500000e+00	1.293600e-04
7.000000e+00	1.313900e-04
7.500000e+00	1.332800e-04
8.000000e+00	1.350500e-04
8.500000e+00	1.367100e-04
9.000000e+00	1.382700e-04
9.500000e+00	1.397400e-04
1.000000e+01	1.411300e-04
1.500000e+01	1.518500e-04
2.000000e+01	1.589700e-04
2.500000e+01	1.640700e-04
3.000000e+01	1.678700e-04
3.500000e+01	1.707900e-04
4.000000e+01	1.730600e-04
4.500000e+01	1.748500e-04
5.000000e+01	1.762800e-04
5.500000e+01	1.774200e-04
6.000000e+01	1.783400e-04
6.500000e+01	1.790900e-04
7.000000e+01	1.797000e-04
7.500000e+01	1.802000e-04
8.000000e+01	1.806000e-04
8.500000e+01	1.809400e-04
9.000000e+01	1.812200e-04
9.500000e+01	1.814500e-04
1.000000e+02	1.816400e-04
