# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	7.968600e-01
1.500000e-04	1.423600e+00
2.000000e-04	1.799200e+00
2.500000e-04	2.047300e+00
3.000000e-04	2.220100e+00
3.500000e-04	2.344400e+00
4.000000e-04	2.435400e+00
4.500000e-04	2.502600e+00
5.000000e-04	2.552300e+00
5.500000e-04	2.588600e+00
6.000000e-04	2.614700e+00
6.500000e-04	2.632700e+00
7.000000e-04	2.685600e+00
7.500000e-04	2.738100e+00
8.000000e-04	2.781900e+00
8.500000e-04	2.818400e+00
9.000000e-04	2.848700e+00
9.500000e-04	2.873800e+00
1.000000e-03	2.894400e+00
1.500000e-03	2.953300e+00
2.000000e-03	2.894200e+00
2.500000e-03	2.800300e+00
3.000000e-03	2.698000e+00
3.500000e-03	2.596700e+00
4.000000e-03	2.500100e+00
4.500000e-03	2.409400e+00
5.000000e-03	2.324700e+00
5.500000e-03	2.245900e+00
6.000000e-03	2.172600e+00
6.500000e-03	2.104300e+00
7.000000e-03	2.040600e+00
7.500000e-03	1.981000e+00
8.000000e-03	1.925200e+00
8.500000e-03	1.872900e+00
9.000000e-03	1.823700e+00
9.500000e-03	1.777400e+00
1.000000e-02	1.733700e+00
1.500000e-02	1.401300e+00
2.000000e-02	1.186000e+00
2.500000e-02	1.033600e+00
3.000000e-02	9.193400e-01
3.500000e-02	8.300000e-01
4.000000e-02	7.579900e-01
4.500000e-02	6.985500e-01
5.000000e-02	6.485500e-01
5.500000e-02	6.058400e-01
6.000000e-02	5.688700e-01
6.500000e-02	5.365300e-01
7.000000e-02	5.079700e-01
7.500000e-02	4.825400e-01
8.000000e-02	4.597400e-01
8.500000e-02	4.391700e-01
9.000000e-02	4.205100e-01
9.500000e-02	4.034900e-01
1.000000e-01	3.878900e-01
1.500000e-01	2.824300e-01
2.000000e-01	2.246000e-01
2.500000e-01	1.876900e-01
3.000000e-01	1.619000e-01
3.500000e-01	1.425800e-01
4.000000e-01	1.270300e-01
4.500000e-01	1.147100e-01
5.000000e-01	1.047000e-01
5.500000e-01	9.638000e-02
6.000000e-01	8.935900e-02
6.500000e-01	8.334800e-02
7.000000e-01	7.814000e-02
7.500000e-01	7.358100e-02
8.000000e-01	6.955400e-02
8.500000e-01	6.597100e-02
9.000000e-01	6.276000e-02
9.500000e-01	5.985900e-02
1.000000e+00	5.714800e-02
1.500000e+00	3.954200e-02
2.000000e+00	3.039100e-02
2.500000e+00	2.475400e-02
3.000000e+00	2.093100e-02
3.500000e+00	1.823600e-02
4.000000e+00	1.625600e-02
4.500000e+00	1.471000e-02
5.000000e+00	1.346100e-02
5.500000e+00	1.244000e-02
6.000000e+00	1.160600e-02
6.500000e+00	1.091400e-02
7.000000e+00	1.032400e-02
7.500000e+00	9.810500e-03
8.000000e+00	9.359900e-03
8.500000e+00	8.962200e-03
9.000000e+00	8.609800e-03
9.500000e+00	8.296300e-03
1.000000e+01	8.016300e-03
1.500000e+01	6.319700e-03
2.000000e+01	5.523700e-03
2.500000e+01	5.049000e-03
3.000000e+01	4.723300e-03
3.500000e+01	4.478000e-03
4.000000e+01	4.282200e-03
4.500000e+01	4.120400e-03
5.000000e+01	3.983900e-03
5.500000e+01	3.867500e-03
6.000000e+01	3.767100e-03
6.500000e+01	3.679900e-03
7.000000e+01	3.603500e-03
7.500000e+01	3.536000e-03
8.000000e+01	3.475800e-03
8.500000e+01	3.421700e-03
9.000000e+01	3.372700e-03
9.500000e+01	3.327900e-03
1.000000e+02	3.286600e-03
1.500000e+02	2.985700e-03
2.000000e+02	2.798200e-03
2.500000e+02	2.699900e-03
3.000000e+02	2.673700e-03
3.500000e+02	2.696000e-03
4.000000e+02	2.745400e-03
4.500000e+02	2.806400e-03
5.000000e+02	2.868700e-03
5.500000e+02	2.926700e-03
6.000000e+02	2.978400e-03
6.500000e+02	3.023400e-03
7.000000e+02	3.062700e-03
7.500000e+02	3.096900e-03
8.000000e+02	3.126000e-03
8.500000e+02	3.148800e-03
9.000000e+02	3.163200e-03
9.500000e+02	3.166000e-03
1.000000e+03	3.153200e-03
