# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	1.380800e-06
2.000000e-01	2.273700e-06
2.500000e-01	4.889400e-06
3.000000e-01	8.051000e-06
3.500000e-01	1.064300e-05
4.000000e-01	1.286700e-05
4.500000e-01	1.483600e-05
5.000000e-01	1.661800e-05
5.500000e-01	1.825400e-05
6.000000e-01	1.977400e-05
6.500000e-01	2.119800e-05
7.000000e-01	2.253900e-05
7.500000e-01	2.380900e-05
8.000000e-01	2.501700e-05
8.500000e-01	2.616900e-05
9.000000e-01	2.727100e-05
9.500000e-01	2.832800e-05
1.000000e+00	2.934400e-05
1.500000e+00	3.781600e-05
2.000000e+00	4.427100e-05
2.500000e+00	4.949000e-05
3.000000e+00	5.386200e-05
3.500000e+00	5.761700e-05
4.000000e+00	6.090200e-05
4.500000e+00	6.381600e-05
5.000000e+00	6.643100e-05
5.500000e+00	6.879800e-05
6.000000e+00	7.095900e-05
6.500000e+00	7.294300e-05
7.000000e+00	7.477600e-05
7.500000e+00	7.647700e-05
8.000000e+00	7.806300e-05
8.500000e+00	7.954500e-05
9.000000e+00	8.093700e-05
9.500000e+00	8.224700e-05
1.000000e+01	8.348300e-05
1.500000e+01	9.293700e-05
2.000000e+01	9.913800e-05
2.500000e+01	1.035100e-04
3.000000e+01	1.067100e-04
3.500000e+01	1.090900e-04
4.000000e+01	1.108900e-04
4.500000e+01	1.122500e-04
5.000000e+01	1.132800e-04
5.500000e+01	1.140600e-04
6.000000e+01	1.146500e-04
6.500000e+01	1.150900e-04
7.000000e+01	1.154100e-04
7.500000e+01	1.156500e-04
8.000000e+01	1.158200e-04
8.500000e+01	1.159400e-04
9.000000e+01	1.160100e-04
9.500000e+01	1.160500e-04
1.000000e+02	1.160700e-04
