# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	4.407900e-06
2.000000e-01	9.417000e-06
2.500000e-01	1.389100e-05
3.000000e-01	1.714900e-05
3.500000e-01	1.974100e-05
4.000000e-01	2.192700e-05
4.500000e-01	2.384200e-05
5.000000e-01	2.556400e-05
5.500000e-01	2.713900e-05
6.000000e-01	2.859800e-05
6.500000e-01	2.996300e-05
7.000000e-01	3.124900e-05
7.500000e-01	3.246600e-05
8.000000e-01	3.362400e-05
8.500000e-01	3.472900e-05
9.000000e-01	3.578700e-05
9.500000e-01	3.680300e-05
1.000000e+00	3.778100e-05
1.500000e+00	4.598000e-05
2.000000e+00	5.228400e-05
2.500000e+00	5.741000e-05
3.000000e+00	6.172200e-05
3.500000e+00	6.543600e-05
4.000000e+00	6.869100e-05
4.500000e+00	7.158300e-05
5.000000e+00	7.418200e-05
5.500000e+00	7.653700e-05
6.000000e+00	7.868800e-05
6.500000e+00	8.066500e-05
7.000000e+00	8.249200e-05
7.500000e+00	8.418800e-05
8.000000e+00	8.576900e-05
8.500000e+00	8.724900e-05
9.000000e+00	8.863800e-05
9.500000e+00	8.994500e-05
1.000000e+01	9.117900e-05
1.500000e+01	1.006200e-04
2.000000e+01	1.068000e-04
2.500000e+01	1.111400e-04
3.000000e+01	1.142900e-04
3.500000e+01	1.166200e-04
4.000000e+01	1.183600e-04
4.500000e+01	1.196700e-04
5.000000e+01	1.206400e-04
5.500000e+01	1.213600e-04
6.000000e+01	1.218900e-04
6.500000e+01	1.222700e-04
7.000000e+01	1.225400e-04
7.500000e+01	1.227300e-04
8.000000e+01	1.228500e-04
8.500000e+01	1.229200e-04
9.000000e+01	1.229500e-04
9.500000e+01	1.229500e-04
1.000000e+02	1.229300e-04
