# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	1.961700e-06
2.500000e-01	5.950800e-06
3.000000e-01	9.006100e-06
3.500000e-01	1.144700e-05
4.000000e-01	1.351800e-05
4.500000e-01	1.547300e-05
5.000000e-01	1.724800e-05
5.500000e-01	1.888500e-05
6.000000e-01	2.040900e-05
6.500000e-01	2.184000e-05
7.000000e-01	2.319200e-05
7.500000e-01	2.447600e-05
8.000000e-01	2.569900e-05
8.500000e-01	2.686800e-05
9.000000e-01	2.798900e-05
9.500000e-01	2.906500e-05
1.000000e+00	3.010200e-05
1.500000e+00	3.880000e-05
2.000000e+00	4.547800e-05
2.500000e+00	5.089700e-05
3.000000e+00	5.544700e-05
3.500000e+00	5.935800e-05
4.000000e+00	6.278100e-05
4.500000e+00	6.581800e-05
5.000000e+00	6.854200e-05
5.500000e+00	7.100800e-05
6.000000e+00	7.325700e-05
6.500000e+00	7.532200e-05
7.000000e+00	7.722700e-05
7.500000e+00	7.899400e-05
8.000000e+00	8.064000e-05
8.500000e+00	8.217800e-05
9.000000e+00	8.361900e-05
9.500000e+00	8.497500e-05
1.000000e+01	8.625300e-05
1.500000e+01	9.597800e-05
2.000000e+01	1.022900e-04
2.500000e+01	1.066900e-04
3.000000e+01	1.098800e-04
3.500000e+01	1.122400e-04
4.000000e+01	1.140100e-04
4.500000e+01	1.153400e-04
5.000000e+01	1.163400e-04
5.500000e+01	1.171100e-04
6.000000e+01	1.176800e-04
6.500000e+01	1.181100e-04
7.000000e+01	1.184300e-04
7.500000e+01	1.186600e-04
8.000000e+01	1.188300e-04
8.500000e+01	1.189500e-04
9.000000e+01	1.190300e-04
9.500000e+01	1.190700e-04
1.000000e+02	1.191000e-04
