# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.927800e+00
1.500000e-04	4.124100e+00
2.000000e-04	4.841100e+00
2.500000e-04	5.312600e+00
3.000000e-04	5.638600e+00
3.500000e-04	5.870300e+00
4.000000e-04	6.037300e+00
4.500000e-04	6.157900e+00
5.000000e-04	6.244300e+00
5.500000e-04	6.304700e+00
6.000000e-04	6.345200e+00
6.500000e-04	6.370000e+00
7.000000e-04	6.382400e+00
7.500000e-04	6.384900e+00
8.000000e-04	6.379500e+00
8.500000e-04	6.367500e+00
9.000000e-04	6.350400e+00
9.500000e-04	6.328900e+00
1.000000e-03	6.303900e+00
1.500000e-03	5.959600e+00
2.000000e-03	5.580700e+00
2.500000e-03	5.229400e+00
3.000000e-03	4.915900e+00
3.500000e-03	4.638400e+00
4.000000e-03	4.392400e+00
4.500000e-03	4.173400e+00
5.000000e-03	3.977400e+00
5.500000e-03	3.801000e+00
6.000000e-03	3.641300e+00
6.500000e-03	3.496100e+00
7.000000e-03	3.363400e+00
7.500000e-03	3.241700e+00
8.000000e-03	3.129500e+00
8.500000e-03	3.025800e+00
9.000000e-03	2.929600e+00
9.500000e-03	2.840100e+00
1.000000e-02	2.756500e+00
1.500000e-02	2.148000e+00
2.000000e-02	1.776300e+00
2.500000e-02	1.522900e+00
3.000000e-02	1.337700e+00
3.500000e-02	1.195800e+00
4.000000e-02	1.083200e+00
4.500000e-02	9.914400e-01
5.000000e-02	9.150800e-01
5.500000e-02	8.504400e-01
6.000000e-02	7.949400e-01
6.500000e-02	7.467300e-01
7.000000e-02	7.044100e-01
7.500000e-02	6.669500e-01
8.000000e-02	6.335200e-01
8.500000e-02	6.035000e-01
9.000000e-02	5.763800e-01
9.500000e-02	5.517400e-01
1.000000e-01	5.292500e-01
1.500000e-01	3.801300e-01
2.000000e-01	3.006500e-01
2.500000e-01	2.506400e-01
3.000000e-01	2.160200e-01
3.500000e-01	1.904100e-01
4.000000e-01	1.687500e-01
4.500000e-01	1.515900e-01
5.000000e-01	1.376900e-01
5.500000e-01	1.261900e-01
6.000000e-01	1.165100e-01
6.500000e-01	1.082500e-01
7.000000e-01	1.011100e-01
7.500000e-01	9.487500e-02
8.000000e-01	8.938400e-02
8.500000e-01	8.450900e-02
9.000000e-01	8.015100e-02
9.500000e-01	7.623000e-02
1.000000e+00	7.268400e-02
1.500000e+00	4.978600e-02
2.000000e+00	3.799100e-02
2.500000e+00	3.077400e-02
3.000000e+00	2.594600e-02
3.500000e+00	2.261100e-02
4.000000e+00	2.021100e-02
4.500000e+00	1.837800e-02
5.000000e+00	1.692200e-02
5.500000e+00	1.573400e-02
6.000000e+00	1.474500e-02
6.500000e+00	1.391200e-02
7.000000e+00	1.319900e-02
7.500000e+00	1.258500e-02
8.000000e+00	1.205100e-02
8.500000e+00	1.158200e-02
9.000000e+00	1.116900e-02
9.500000e+00	1.080200e-02
1.000000e+01	1.047500e-02
1.500000e+01	8.441300e-03
2.000000e+01	7.364700e-03
2.500000e+01	6.628000e-03
3.000000e+01	6.082100e-03
3.500000e+01	5.665500e-03
4.000000e+01	5.339700e-03
4.500000e+01	5.077100e-03
5.000000e+01	4.858100e-03
5.500000e+01	4.669200e-03
6.000000e+01	4.501400e-03
6.500000e+01	4.348600e-03
7.000000e+01	4.207200e-03
7.500000e+01	4.074600e-03
8.000000e+01	3.949600e-03
8.500000e+01	3.831300e-03
9.000000e+01	3.719200e-03
9.500000e+01	3.613100e-03
1.000000e+02	3.512700e-03
1.500000e+02	2.788600e-03
2.000000e+02	2.423600e-03
2.500000e+02	2.237400e-03
3.000000e+02	2.132000e-03
3.500000e+02	2.063200e-03
4.000000e+02	2.013100e-03
4.500000e+02	1.975200e-03
5.000000e+02	1.946800e-03
5.500000e+02	1.926300e-03
6.000000e+02	1.911800e-03
6.500000e+02	1.901000e-03
7.000000e+02	1.891700e-03
7.500000e+02	1.881800e-03
8.000000e+02	1.870400e-03
8.500000e+02	1.857400e-03
9.000000e+02	1.844500e-03
9.500000e+02	1.834800e-03
1.000000e+03	1.833200e-03
