# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	1.280800e-07
6.500000e-02	1.757800e-06
7.000000e-02	3.070900e-06
7.500000e-02	4.143200e-06
8.000000e-02	5.029400e-06
8.500000e-02	5.769400e-06
9.000000e-02	6.393100e-06
9.500000e-02	6.923300e-06
1.000000e-01	7.377600e-06
1.500000e-01	1.013900e-05
2.000000e-01	1.170300e-05
2.500000e-01	1.261000e-05
3.000000e-01	1.479000e-05
3.500000e-01	1.711700e-05
4.000000e-01	1.919400e-05
4.500000e-01	2.108700e-05
5.000000e-01	2.283600e-05
5.500000e-01	2.447000e-05
6.000000e-01	2.600700e-05
6.500000e-01	2.746000e-05
7.000000e-01	2.883900e-05
7.500000e-01	3.015300e-05
8.000000e-01	3.140800e-05
8.500000e-01	3.261000e-05
9.000000e-01	3.376300e-05
9.500000e-01	3.487100e-05
1.000000e+00	3.593900e-05
1.500000e+00	4.489300e-05
2.000000e+00	5.174200e-05
2.500000e+00	5.728200e-05
3.000000e+00	6.192100e-05
3.500000e+00	6.590200e-05
4.000000e+00	6.938000e-05
4.500000e+00	7.246200e-05
5.000000e+00	7.522300e-05
5.500000e+00	7.772000e-05
6.000000e+00	7.999400e-05
6.500000e+00	8.208000e-05
7.000000e+00	8.400400e-05
7.500000e+00	8.578600e-05
8.000000e+00	8.744300e-05
8.500000e+00	8.899100e-05
9.000000e+00	9.044100e-05
9.500000e+00	9.180300e-05
1.000000e+01	9.308600e-05
1.500000e+01	1.028000e-04
2.000000e+01	1.090300e-04
2.500000e+01	1.133300e-04
3.000000e+01	1.163900e-04
3.500000e+01	1.186200e-04
4.000000e+01	1.202600e-04
4.500000e+01	1.214700e-04
5.000000e+01	1.223600e-04
5.500000e+01	1.230200e-04
6.000000e+01	1.234900e-04
6.500000e+01	1.238300e-04
7.000000e+01	1.240700e-04
7.500000e+01	1.242300e-04
8.000000e+01	1.243300e-04
8.500000e+01	1.243900e-04
9.000000e+01	1.244200e-04
9.500000e+01	1.244200e-04
1.000000e+02	1.244000e-04
