# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	0.000000e+00
2.000000e-04	0.000000e+00
2.500000e-04	0.000000e+00
3.000000e-04	0.000000e+00
3.500000e-04	0.000000e+00
4.000000e-04	0.000000e+00
4.500000e-04	1.831900e-01
5.000000e-04	3.659600e-01
5.500000e-04	5.456600e-01
6.000000e-04	8.161900e-01
6.500000e-04	1.047000e+00
7.000000e-04	1.245600e+00
7.500000e-04	1.417400e+00
8.000000e-04	1.567000e+00
8.500000e-04	1.697700e+00
9.000000e-04	1.812500e+00
9.500000e-04	1.913700e+00
1.000000e-03	2.003000e+00
1.500000e-03	2.495500e+00
2.000000e-03	2.639900e+00
2.500000e-03	2.655400e+00
3.000000e-03	2.616400e+00
3.500000e-03	2.553800e+00
4.000000e-03	2.481400e+00
4.500000e-03	2.406200e+00
5.000000e-03	2.331400e+00
5.500000e-03	2.258900e+00
6.000000e-03	2.189500e+00
6.500000e-03	2.123400e+00
7.000000e-03	2.060800e+00
7.500000e-03	2.001600e+00
8.000000e-03	1.945600e+00
8.500000e-03	1.892800e+00
9.000000e-03	1.842800e+00
9.500000e-03	1.795500e+00
1.000000e-02	1.750700e+00
1.500000e-02	1.407400e+00
2.000000e-02	1.184400e+00
2.500000e-02	1.027300e+00
3.000000e-02	9.099800e-01
3.500000e-02	8.187400e-01
4.000000e-02	7.455200e-01
4.500000e-02	6.853200e-01
5.000000e-02	6.348600e-01
5.500000e-02	5.918900e-01
6.000000e-02	5.548100e-01
6.500000e-02	5.224500e-01
7.000000e-02	4.939400e-01
7.500000e-02	4.686100e-01
8.000000e-02	4.459400e-01
8.500000e-02	4.255300e-01
9.000000e-02	4.070300e-01
9.500000e-02	3.902000e-01
1.000000e-01	3.747900e-01
1.500000e-01	2.702300e-01
2.000000e-01	2.127300e-01
2.500000e-01	1.767000e-01
3.000000e-01	1.518300e-01
3.500000e-01	1.335200e-01
4.000000e-01	1.191500e-01
4.500000e-01	1.077100e-01
5.000000e-01	9.814900e-02
5.500000e-01	9.021100e-02
6.000000e-01	8.350800e-02
6.500000e-01	7.776900e-02
7.000000e-01	7.279500e-02
7.500000e-01	6.844300e-02
8.000000e-01	6.459900e-02
8.500000e-01	6.118000e-02
9.000000e-01	5.811600e-02
9.500000e-01	5.535600e-02
1.000000e+00	5.285400e-02
1.500000e+00	3.658500e-02
2.000000e+00	2.811000e-02
2.500000e+00	2.288300e-02
3.000000e+00	1.934100e-02
3.500000e+00	1.689300e-02
4.000000e+00	1.516600e-02
4.500000e+00	1.386600e-02
5.000000e+00	1.283900e-02
5.500000e+00	1.200200e-02
6.000000e+00	1.130700e-02
6.500000e+00	1.072000e-02
7.000000e+00	1.021800e-02
7.500000e+00	9.786400e-03
8.000000e+00	9.411600e-03
8.500000e+00	9.084400e-03
9.000000e+00	8.797300e-03
9.500000e+00	8.544100e-03
1.000000e+01	8.319800e-03
1.500000e+01	6.988100e-03
2.000000e+01	6.308800e-03
2.500000e+01	5.815200e-03
3.000000e+01	5.426300e-03
3.500000e+01	5.119800e-03
4.000000e+01	4.877700e-03
4.500000e+01	4.683000e-03
5.000000e+01	4.521600e-03
5.500000e+01	4.382900e-03
6.000000e+01	4.259400e-03
6.500000e+01	4.146100e-03
7.000000e+01	4.039700e-03
7.500000e+01	3.938500e-03
8.000000e+01	3.841300e-03
8.500000e+01	3.747800e-03
9.000000e+01	3.657700e-03
9.500000e+01	3.571200e-03
1.000000e+02	3.488400e-03
1.500000e+02	2.870300e-03
2.000000e+02	2.558800e-03
2.500000e+02	2.406700e-03
3.000000e+02	2.322400e-03
3.500000e+02	2.265800e-03
4.000000e+02	2.223100e-03
4.500000e+02	2.190900e-03
5.000000e+02	2.168700e-03
5.500000e+02	2.155400e-03
6.000000e+02	2.148500e-03
6.500000e+02	2.144900e-03
7.000000e+02	2.141100e-03
7.500000e+02	2.134100e-03
8.000000e+02	2.122800e-03
8.500000e+02	2.107700e-03
9.000000e+02	2.092200e-03
9.500000e+02	2.082200e-03
1.000000e+03	2.086800e-03
