# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	1.320100e-06
2.500000e-01	3.123100e-06
3.000000e-01	4.388500e-06
3.500000e-01	5.377600e-06
4.000000e-01	6.410500e-06
4.500000e-01	7.536700e-06
5.000000e-01	8.883500e-06
5.500000e-01	1.019200e-05
6.000000e-01	1.145700e-05
6.500000e-01	1.268200e-05
7.000000e-01	1.386700e-05
7.500000e-01	1.501600e-05
8.000000e-01	1.613000e-05
8.500000e-01	1.721100e-05
9.000000e-01	1.825900e-05
9.500000e-01	1.927700e-05
1.000000e+00	2.026700e-05
1.500000e+00	2.883400e-05
2.000000e+00	3.561200e-05
2.500000e+00	4.118000e-05
3.000000e+00	4.588400e-05
3.500000e+00	4.994100e-05
4.000000e+00	5.349800e-05
4.500000e+00	5.665800e-05
5.000000e+00	5.949400e-05
5.500000e+00	6.206300e-05
6.000000e+00	6.440600e-05
6.500000e+00	6.655700e-05
7.000000e+00	6.854200e-05
7.500000e+00	7.038200e-05
8.000000e+00	7.209600e-05
8.500000e+00	7.369800e-05
9.000000e+00	7.519900e-05
9.500000e+00	7.661000e-05
1.000000e+01	7.794000e-05
1.500000e+01	8.805700e-05
2.000000e+01	9.463600e-05
2.500000e+01	9.925800e-05
3.000000e+01	1.026500e-04
3.500000e+01	1.052100e-04
4.000000e+01	1.071800e-04
4.500000e+01	1.087100e-04
5.000000e+01	1.099100e-04
5.500000e+01	1.108700e-04
6.000000e+01	1.116300e-04
6.500000e+01	1.122300e-04
7.000000e+01	1.127200e-04
7.500000e+01	1.131100e-04
8.000000e+01	1.134300e-04
8.500000e+01	1.136900e-04
9.000000e+01	1.138900e-04
9.500000e+01	1.140600e-04
1.000000e+02	1.142000e-04
