# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	4.754200e+00
1.500000e-04	6.168300e+00
2.000000e-04	6.982700e+00
2.500000e-04	7.494500e+00
3.000000e-04	7.829800e+00
3.500000e-04	8.052500e+00
4.000000e-04	8.199500e+00
4.500000e-04	8.293100e+00
5.000000e-04	8.348300e+00
5.500000e-04	8.374900e+00
6.000000e-04	8.380100e+00
6.500000e-04	8.368900e+00
7.000000e-04	8.345200e+00
7.500000e-04	8.311800e+00
8.000000e-04	8.270800e+00
8.500000e-04	8.224000e+00
9.000000e-04	8.172700e+00
9.500000e-04	8.117900e+00
1.000000e-03	8.060400e+00
1.500000e-03	7.438500e+00
2.000000e-03	6.853400e+00
2.500000e-03	6.345700e+00
3.000000e-03	5.909900e+00
3.500000e-03	5.534400e+00
4.000000e-03	5.208100e+00
4.500000e-03	4.922200e+00
5.000000e-03	4.669500e+00
5.500000e-03	4.444400e+00
6.000000e-03	4.242600e+00
6.500000e-03	4.060500e+00
7.000000e-03	3.895200e+00
7.500000e-03	3.744400e+00
8.000000e-03	3.606300e+00
8.500000e-03	3.479200e+00
9.000000e-03	3.361800e+00
9.500000e-03	3.252900e+00
1.000000e-02	3.151800e+00
1.500000e-02	2.425300e+00
2.000000e-02	1.990000e+00
2.500000e-02	1.696700e+00
3.000000e-02	1.484200e+00
3.500000e-02	1.322400e+00
4.000000e-02	1.194600e+00
4.500000e-02	1.090900e+00
5.000000e-02	1.004900e+00
5.500000e-02	9.322800e-01
6.000000e-02	8.701000e-01
6.500000e-02	8.162100e-01
7.000000e-02	7.690000e-01
7.500000e-02	7.272700e-01
8.000000e-02	6.901100e-01
8.500000e-02	6.567800e-01
9.000000e-02	6.267000e-01
9.500000e-02	5.994100e-01
1.000000e-01	5.746200e-01
1.500000e-01	4.118400e-01
2.000000e-01	3.251600e-01
2.500000e-01	2.707000e-01
3.000000e-01	2.325200e-01
3.500000e-01	2.020200e-01
4.000000e-01	1.787600e-01
4.500000e-01	1.604200e-01
5.000000e-01	1.455800e-01
5.500000e-01	1.333000e-01
6.000000e-01	1.229800e-01
6.500000e-01	1.141700e-01
7.000000e-01	1.065700e-01
7.500000e-01	9.993500e-02
8.000000e-01	9.409400e-02
8.500000e-01	8.891200e-02
9.000000e-01	8.428100e-02
9.500000e-01	8.011700e-02
1.000000e+00	7.635300e-02
1.500000e+00	5.209200e-02
2.000000e+00	3.963500e-02
2.500000e+00	3.203000e-02
3.000000e+00	2.690600e-02
3.500000e+00	2.330600e-02
4.000000e+00	2.075500e-02
4.500000e+00	1.886200e-02
5.000000e+00	1.737100e-02
5.500000e+00	1.614700e-02
6.000000e+00	1.512400e-02
6.500000e+00	1.425700e-02
7.000000e+00	1.351700e-02
7.500000e+00	1.288200e-02
8.000000e+00	1.233100e-02
8.500000e+00	1.185200e-02
9.000000e+00	1.143000e-02
9.500000e+00	1.105700e-02
1.000000e+01	1.072300e-02
1.500000e+01	8.607200e-03
2.000000e+01	7.429100e-03
2.500000e+01	6.629800e-03
3.000000e+01	6.047500e-03
3.500000e+01	5.601700e-03
4.000000e+01	5.244600e-03
4.500000e+01	4.947100e-03
5.000000e+01	4.691000e-03
5.500000e+01	4.465200e-03
6.000000e+01	4.262200e-03
6.500000e+01	4.077700e-03
7.000000e+01	3.908400e-03
7.500000e+01	3.752300e-03
8.000000e+01	3.607800e-03
8.500000e+01	3.473900e-03
9.000000e+01	3.349600e-03
9.500000e+01	3.234100e-03
1.000000e+02	3.126800e-03
1.500000e+02	2.388200e-03
2.000000e+02	2.015500e-03
2.500000e+02	1.814300e-03
3.000000e+02	1.697600e-03
3.500000e+02	1.624800e-03
4.000000e+02	1.576200e-03
4.500000e+02	1.541600e-03
5.000000e+02	1.515900e-03
5.500000e+02	1.496500e-03
6.000000e+02	1.481600e-03
6.500000e+02	1.470300e-03
7.000000e+02	1.461500e-03
7.500000e+02	1.454300e-03
8.000000e+02	1.447600e-03
8.500000e+02	1.440000e-03
9.000000e+02	1.430000e-03
9.500000e+02	1.416200e-03
1.000000e+03	1.396800e-03
1.500000e+03	1.424800e-03
2.000000e+03	1.398500e-03
2.500000e+03	1.361100e-03
3.000000e+03	1.324800e-03
3.500000e+03	1.293000e-03
4.000000e+03	1.266300e-03
4.500000e+03	1.244300e-03
5.000000e+03	1.226300e-03
5.500000e+03	1.211800e-03
6.000000e+03	1.200100e-03
6.500000e+03	1.190800e-03
7.000000e+03	1.183500e-03
7.500000e+03	1.177700e-03
8.000000e+03	1.173200e-03
8.500000e+03	1.169900e-03
9.000000e+03	1.167400e-03
9.500000e+03	1.165600e-03
1.000000e+04	1.164400e-03
