# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	2.337000e-01
1.500000e-04	6.906300e-01
2.000000e-04	1.182400e+00
2.500000e-04	1.501600e+00
3.000000e-04	1.717100e+00
3.500000e-04	1.868500e+00
4.000000e-04	1.977500e+00
4.500000e-04	2.057300e+00
5.000000e-04	2.116300e+00
5.500000e-04	2.160000e+00
6.000000e-04	2.192100e+00
6.500000e-04	2.215500e+00
7.000000e-04	2.232100e+00
7.500000e-04	2.243300e+00
8.000000e-04	2.250400e+00
8.500000e-04	2.254100e+00
9.000000e-04	2.255000e+00
9.500000e-04	2.253800e+00
1.000000e-03	2.250800e+00
1.500000e-03	2.172700e+00
2.000000e-03	2.071100e+00
2.500000e-03	1.973700e+00
3.000000e-03	1.885400e+00
3.500000e-03	1.806300e+00
4.000000e-03	1.735200e+00
4.500000e-03	1.671100e+00
5.000000e-03	1.612900e+00
5.500000e-03	1.559900e+00
6.000000e-03	1.511300e+00
6.500000e-03	1.466500e+00
7.000000e-03	1.425000e+00
7.500000e-03	1.386500e+00
8.000000e-03	1.350700e+00
8.500000e-03	1.317100e+00
9.000000e-03	1.285600e+00
9.500000e-03	1.256000e+00
1.000000e-02	1.228000e+00
1.500000e-02	1.015000e+00
2.000000e-02	8.748200e-01
2.500000e-02	7.738000e-01
3.000000e-02	6.967400e-01
3.500000e-02	6.356000e-01
4.000000e-02	5.856700e-01
4.500000e-02	5.439700e-01
5.000000e-02	5.084400e-01
5.500000e-02	4.776900e-01
6.000000e-02	4.508800e-01
6.500000e-02	4.273000e-01
7.000000e-02	4.063800e-01
7.500000e-02	3.876600e-01
8.000000e-02	3.708000e-01
8.500000e-02	3.555200e-01
9.000000e-02	3.416000e-01
9.500000e-02	3.288500e-01
1.000000e-01	3.171300e-01
1.500000e-01	2.363300e-01
2.000000e-01	1.899700e-01
2.500000e-01	1.597400e-01
3.000000e-01	1.383900e-01
3.500000e-01	1.224600e-01
4.000000e-01	1.100700e-01
4.500000e-01	1.001300e-01
5.000000e-01	9.195500e-02
5.500000e-01	8.511100e-02
6.000000e-01	7.942100e-02
6.500000e-01	7.455600e-02
7.000000e-01	7.031900e-02
7.500000e-01	6.659200e-02
8.000000e-01	6.325700e-02
8.500000e-01	6.019900e-02
9.000000e-01	5.745100e-02
9.500000e-01	5.496700e-02
1.000000e+00	5.271000e-02
1.500000e+00	3.784100e-02
2.000000e+00	2.955200e-02
2.500000e+00	2.420700e-02
3.000000e+00	2.054400e-02
3.500000e+00	1.787600e-02
4.000000e+00	1.590000e-02
4.500000e+00	1.433600e-02
5.000000e+00	1.304200e-02
5.500000e+00	1.197900e-02
6.000000e+00	1.110300e-02
6.500000e+00	1.036600e-02
7.000000e+00	9.734200e-03
7.500000e+00	9.183400e-03
8.000000e+00	8.697900e-03
8.500000e+00	8.265800e-03
9.000000e+00	7.878300e-03
9.500000e+00	7.528900e-03
1.000000e+01	7.212100e-03
1.500000e+01	5.192100e-03
2.000000e+01	4.218100e-03
2.500000e+01	3.657200e-03
3.000000e+01	3.281500e-03
3.500000e+01	2.998900e-03
4.000000e+01	2.772200e-03
4.500000e+01	2.585200e-03
5.000000e+01	2.429300e-03
5.500000e+01	2.298600e-03
6.000000e+01	2.188500e-03
6.500000e+01	2.095400e-03
7.000000e+01	2.016200e-03
7.500000e+01	1.948200e-03
8.000000e+01	1.889500e-03
8.500000e+01	1.838300e-03
9.000000e+01	1.793300e-03
9.500000e+01	1.753300e-03
1.000000e+02	1.717400e-03
1.500000e+02	1.479100e-03
2.000000e+02	1.339300e-03
2.500000e+02	1.257300e-03
3.000000e+02	1.218300e-03
3.500000e+02	1.208300e-03
4.000000e+02	1.215400e-03
4.500000e+02	1.230800e-03
5.000000e+02	1.249000e-03
5.500000e+02	1.266600e-03
6.000000e+02	1.282300e-03
6.500000e+02	1.295800e-03
7.000000e+02	1.307100e-03
7.500000e+02	1.316600e-03
8.000000e+02	1.324200e-03
8.500000e+02	1.329500e-03
9.000000e+02	1.331800e-03
9.500000e+02	1.329900e-03
1.000000e+03	1.322400e-03
