# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	0.000000e+00
2.500000e-01	0.000000e+00
3.000000e-01	9.794900e-07
3.500000e-01	1.901300e-06
4.000000e-01	2.694500e-06
4.500000e-01	3.401000e-06
5.000000e-01	4.044900e-06
5.500000e-01	4.787300e-06
6.000000e-01	5.883400e-06
6.500000e-01	7.022700e-06
7.000000e-01	8.180800e-06
7.500000e-01	9.341800e-06
8.000000e-01	1.049500e-05
8.500000e-01	1.163400e-05
9.000000e-01	1.275400e-05
9.500000e-01	1.385100e-05
1.000000e+00	1.492500e-05
1.500000e+00	2.432000e-05
2.000000e+00	3.169400e-05
2.500000e+00	3.766900e-05
3.000000e+00	4.266000e-05
3.500000e+00	4.692900e-05
4.000000e+00	5.064800e-05
4.500000e+00	5.393500e-05
5.000000e+00	5.687600e-05
5.500000e+00	5.953000e-05
6.000000e+00	6.194700e-05
6.500000e+00	6.416200e-05
7.000000e+00	6.620400e-05
7.500000e+00	6.809500e-05
8.000000e+00	6.985500e-05
8.500000e+00	7.149800e-05
9.000000e+00	7.303900e-05
9.500000e+00	7.448700e-05
1.000000e+01	7.585200e-05
1.500000e+01	8.624800e-05
2.000000e+01	9.302700e-05
2.500000e+01	9.779000e-05
3.000000e+01	1.012600e-04
3.500000e+01	1.038500e-04
4.000000e+01	1.058000e-04
4.500000e+01	1.072800e-04
5.000000e+01	1.084000e-04
5.500000e+01	1.092500e-04
6.000000e+01	1.098900e-04
6.500000e+01	1.103800e-04
7.000000e+01	1.107400e-04
7.500000e+01	1.110100e-04
8.000000e+01	1.112000e-04
8.500000e+01	1.113300e-04
9.000000e+01	1.114200e-04
9.500000e+01	1.114800e-04
1.000000e+02	1.115100e-04
