# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	0.000000e+00
2.000000e-04	1.319100e-01
2.500000e-04	4.891800e-01
3.000000e-04	7.462400e-01
3.500000e-04	9.387300e-01
4.000000e-04	1.086900e+00
4.500000e-04	1.211700e+00
5.000000e-04	1.372500e+00
5.500000e-04	1.518500e+00
6.000000e-04	1.641300e+00
6.500000e-04	1.745400e+00
7.000000e-04	1.834300e+00
7.500000e-04	1.910600e+00
8.000000e-04	1.976300e+00
8.500000e-04	2.033200e+00
9.000000e-04	2.082600e+00
9.500000e-04	2.125500e+00
1.000000e-03	2.162900e+00
1.500000e-03	2.348100e+00
2.000000e-03	2.371800e+00
2.500000e-03	2.337700e+00
3.000000e-03	2.281100e+00
3.500000e-03	2.216300e+00
4.000000e-03	2.149400e+00
4.500000e-03	2.083600e+00
5.000000e-03	2.020100e+00
5.500000e-03	1.959600e+00
6.000000e-03	1.902200e+00
6.500000e-03	1.848000e+00
7.000000e-03	1.796800e+00
7.500000e-03	1.748400e+00
8.000000e-03	1.702800e+00
8.500000e-03	1.659600e+00
9.000000e-03	1.618800e+00
9.500000e-03	1.580200e+00
1.000000e-02	1.543500e+00
1.500000e-02	1.259800e+00
2.000000e-02	1.072200e+00
2.500000e-02	9.378700e-01
3.000000e-02	8.363900e-01
3.500000e-02	7.566700e-01
4.000000e-02	6.921600e-01
4.500000e-02	6.387600e-01
5.000000e-02	5.937300e-01
5.500000e-02	5.551700e-01
6.000000e-02	5.217500e-01
6.500000e-02	4.924700e-01
7.000000e-02	4.665800e-01
7.500000e-02	4.435000e-01
8.000000e-02	4.227800e-01
8.500000e-02	4.040700e-01
9.000000e-02	3.870800e-01
9.500000e-02	3.715800e-01
1.000000e-01	3.573700e-01
1.500000e-01	2.604300e-01
2.000000e-01	2.069700e-01
2.500000e-01	1.728000e-01
3.000000e-01	1.488900e-01
3.500000e-01	1.311100e-01
4.000000e-01	1.170800e-01
4.500000e-01	1.059400e-01
5.000000e-01	9.686300e-02
5.500000e-01	8.931800e-02
6.000000e-01	8.293900e-02
6.500000e-01	7.746900e-02
7.000000e-01	7.272400e-02
7.500000e-01	6.856500e-02
8.000000e-01	6.486600e-02
8.500000e-01	6.151400e-02
9.000000e-01	5.851000e-02
9.500000e-01	5.577100e-02
1.000000e+00	5.326000e-02
1.500000e+00	3.693000e-02
2.000000e+00	2.842500e-02
2.500000e+00	2.317700e-02
3.000000e+00	1.961300e-02
3.500000e+00	1.709300e-02
4.000000e+00	1.523500e-02
4.500000e+00	1.378100e-02
5.000000e+00	1.260800e-02
5.500000e+00	1.165500e-02
6.000000e+00	1.088300e-02
6.500000e+00	1.024200e-02
7.000000e+00	9.692300e-03
7.500000e+00	9.214000e-03
8.000000e+00	8.794400e-03
8.500000e+00	8.424800e-03
9.000000e+00	8.098100e-03
9.500000e+00	7.808300e-03
1.000000e+01	7.550100e-03
1.500000e+01	6.001100e-03
2.000000e+01	5.284800e-03
2.500000e+01	4.865400e-03
3.000000e+01	4.580400e-03
3.500000e+01	4.364900e-03
4.000000e+01	4.190200e-03
4.500000e+01	4.043600e-03
5.000000e+01	3.918600e-03
5.500000e+01	3.811200e-03
6.000000e+01	3.718500e-03
6.500000e+01	3.638200e-03
7.000000e+01	3.568200e-03
7.500000e+01	3.506800e-03
8.000000e+01	3.452400e-03
8.500000e+01	3.403900e-03
9.000000e+01	3.360200e-03
9.500000e+01	3.320500e-03
1.000000e+02	3.284000e-03
1.500000e+02	3.014100e-03
2.000000e+02	2.836100e-03
2.500000e+02	2.739900e-03
3.000000e+02	2.714400e-03
3.500000e+02	2.737400e-03
4.000000e+02	2.787800e-03
4.500000e+02	2.849800e-03
5.000000e+02	2.913000e-03
5.500000e+02	2.971800e-03
6.000000e+02	3.023800e-03
6.500000e+02	3.068700e-03
7.000000e+02	3.107100e-03
7.500000e+02	3.139700e-03
8.000000e+02	3.166500e-03
8.500000e+02	3.186600e-03
9.000000e+02	3.198500e-03
9.500000e+02	3.199700e-03
1.000000e+03	3.187300e-03
