# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	1.338100e-08
5.500000e-02	9.141500e-08
6.000000e-02	1.514800e-07
6.500000e-02	1.985500e-07
7.000000e-02	2.360000e-07
7.500000e-02	2.661800e-07
8.000000e-02	2.907800e-07
8.500000e-02	3.110400e-07
9.000000e-02	3.278700e-07
9.500000e-02	3.419700e-07
1.000000e-01	3.538600e-07
1.500000e-01	4.112900e-07
2.000000e-01	4.295100e-07
2.500000e-01	1.728600e-06
3.000000e-01	3.341800e-06
3.500000e-01	4.670500e-06
4.000000e-01	5.965600e-06
4.500000e-01	7.475600e-06
5.000000e-01	8.905400e-06
5.500000e-01	1.025800e-05
6.000000e-01	1.153900e-05
6.500000e-01	1.295800e-05
7.000000e-01	1.440100e-05
7.500000e-01	1.582700e-05
8.000000e-01	1.722100e-05
8.500000e-01	1.857500e-05
9.000000e-01	1.988500e-05
9.500000e-01	2.115100e-05
1.000000e+00	2.237100e-05
1.500000e+00	3.242400e-05
2.000000e+00	3.974900e-05
2.500000e+00	4.544700e-05
3.000000e+00	5.008700e-05
3.500000e+00	5.399100e-05
4.000000e+00	5.735200e-05
4.500000e+00	6.029600e-05
5.000000e+00	6.291200e-05
5.500000e+00	6.526100e-05
6.000000e+00	6.738900e-05
6.500000e+00	6.933100e-05
7.000000e+00	7.111600e-05
7.500000e+00	7.276300e-05
8.000000e+00	7.429100e-05
8.500000e+00	7.571400e-05
9.000000e+00	7.704400e-05
9.500000e+00	7.829000e-05
1.000000e+01	7.946200e-05
1.500000e+01	8.824300e-05
2.000000e+01	9.375300e-05
2.500000e+01	9.742900e-05
3.000000e+01	9.993800e-05
3.500000e+01	1.016600e-04
4.000000e+01	1.028200e-04
4.500000e+01	1.035800e-04
5.000000e+01	1.040700e-04
5.500000e+01	1.043500e-04
6.000000e+01	1.044800e-04
6.500000e+01	1.045100e-04
7.000000e+01	1.044700e-04
7.500000e+01	1.043800e-04
8.000000e+01	1.042600e-04
8.500000e+01	1.041100e-04
9.000000e+01	1.039500e-04
9.500000e+01	1.037900e-04
1.000000e+02	1.036200e-04
