# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	3.041700e-06
2.000000e-01	4.436200e-06
2.500000e-01	5.263300e-06
3.000000e-01	6.682200e-06
3.500000e-01	7.977300e-06
4.000000e-01	9.111900e-06
4.500000e-01	1.013000e-05
5.000000e-01	1.105900e-05
5.500000e-01	1.191600e-05
6.000000e-01	1.271300e-05
6.500000e-01	1.346000e-05
7.000000e-01	1.416400e-05
7.500000e-01	1.482900e-05
8.000000e-01	1.546100e-05
8.500000e-01	1.615900e-05
9.000000e-01	1.688200e-05
9.500000e-01	1.761200e-05
1.000000e+00	1.834100e-05
1.500000e+00	2.513400e-05
2.000000e+00	3.108700e-05
2.500000e+00	3.692200e-05
3.000000e+00	4.206100e-05
3.500000e+00	4.649700e-05
4.000000e+00	5.034400e-05
4.500000e+00	5.371500e-05
5.000000e+00	5.670000e-05
5.500000e+00	5.937000e-05
6.000000e+00	6.177800e-05
6.500000e+00	6.396600e-05
7.000000e+00	6.596800e-05
7.500000e+00	6.780900e-05
8.000000e+00	6.951100e-05
8.500000e+00	7.109100e-05
9.000000e+00	7.256300e-05
9.500000e+00	7.394000e-05
1.000000e+01	7.523000e-05
1.500000e+01	8.483500e-05
2.000000e+01	9.082300e-05
2.500000e+01	9.482600e-05
3.000000e+01	9.757700e-05
3.500000e+01	9.948400e-05
4.000000e+01	1.008000e-04
4.500000e+01	1.016900e-04
5.000000e+01	1.022900e-04
5.500000e+01	1.026600e-04
6.000000e+01	1.028800e-04
6.500000e+01	1.029800e-04
7.000000e+01	1.030000e-04
7.500000e+01	1.029600e-04
8.000000e+01	1.028900e-04
8.500000e+01	1.027900e-04
9.000000e+01	1.026700e-04
9.500000e+01	1.025300e-04
1.000000e+02	1.024000e-04
