# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	4.083800e-01
1.500000e-04	7.295600e-01
2.000000e-04	9.432000e-01
2.500000e-04	1.107400e+00
3.000000e-04	1.224900e+00
3.500000e-04	1.312100e+00
4.000000e-04	1.378300e+00
4.500000e-04	1.429300e+00
5.000000e-04	1.468900e+00
5.500000e-04	1.499900e+00
6.000000e-04	1.524200e+00
6.500000e-04	1.543100e+00
7.000000e-04	1.557700e+00
7.500000e-04	1.568700e+00
8.000000e-04	1.576900e+00
8.500000e-04	1.602800e+00
9.000000e-04	1.625700e+00
9.500000e-04	1.645400e+00
1.000000e-03	1.662200e+00
1.500000e-03	1.734300e+00
2.000000e-03	1.725500e+00
2.500000e-03	1.689100e+00
3.000000e-03	1.656900e+00
3.500000e-03	1.619300e+00
4.000000e-03	1.579300e+00
4.500000e-03	1.539100e+00
5.000000e-03	1.499700e+00
5.500000e-03	1.461600e+00
6.000000e-03	1.425100e+00
6.500000e-03	1.390200e+00
7.000000e-03	1.357000e+00
7.500000e-03	1.325400e+00
8.000000e-03	1.295300e+00
8.500000e-03	1.266600e+00
9.000000e-03	1.239400e+00
9.500000e-03	1.213400e+00
1.000000e-02	1.188600e+00
1.500000e-02	9.920500e-01
2.000000e-02	8.574300e-01
2.500000e-02	7.587200e-01
3.000000e-02	6.827600e-01
3.500000e-02	6.222400e-01
4.000000e-02	5.726900e-01
4.500000e-02	5.312700e-01
5.000000e-02	4.960500e-01
5.500000e-02	4.656900e-01
6.000000e-02	4.392000e-01
6.500000e-02	4.158600e-01
7.000000e-02	3.951200e-01
7.500000e-02	3.765500e-01
8.000000e-02	3.598200e-01
8.500000e-02	3.446500e-01
9.000000e-02	3.308300e-01
9.500000e-02	3.181700e-01
1.000000e-01	3.065400e-01
1.500000e-01	2.266700e-01
2.000000e-01	1.818500e-01
2.500000e-01	1.528200e-01
3.000000e-01	1.323100e-01
3.500000e-01	1.169100e-01
4.000000e-01	1.046600e-01
4.500000e-01	9.493300e-02
5.000000e-01	8.698300e-02
5.500000e-01	8.035600e-02
6.000000e-01	7.474000e-02
6.500000e-01	6.990700e-02
7.000000e-01	6.570500e-02
7.500000e-01	6.202000e-02
8.000000e-01	5.875900e-02
8.500000e-01	5.585100e-02
9.000000e-01	5.320000e-02
9.500000e-01	5.079300e-02
1.000000e+00	4.860900e-02
1.500000e+00	3.403300e-02
2.000000e+00	2.630100e-02
2.500000e+00	2.148900e-02
3.000000e+00	1.821200e-02
3.500000e+00	1.587000e-02
4.000000e+00	1.412200e-02
4.500000e+00	1.275000e-02
5.000000e+00	1.164000e-02
5.500000e+00	1.072800e-02
6.000000e+00	9.972000e-03
6.500000e+00	9.337400e-03
7.000000e+00	8.793500e-03
7.500000e+00	8.319700e-03
8.000000e+00	7.902900e-03
8.500000e+00	7.533800e-03
9.000000e+00	7.205300e-03
9.500000e+00	6.911500e-03
1.000000e+01	6.647400e-03
1.500000e+01	4.999400e-03
2.000000e+01	4.191500e-03
2.500000e+01	3.703500e-03
3.000000e+01	3.370800e-03
3.500000e+01	3.125500e-03
4.000000e+01	2.934800e-03
4.500000e+01	2.781200e-03
5.000000e+01	2.654600e-03
5.500000e+01	2.548500e-03
6.000000e+01	2.458200e-03
6.500000e+01	2.380600e-03
7.000000e+01	2.313200e-03
7.500000e+01	2.254100e-03
8.000000e+01	2.201800e-03
8.500000e+01	2.155200e-03
9.000000e+01	2.113200e-03
9.500000e+01	2.075200e-03
1.000000e+02	2.040500e-03
1.500000e+02	1.800400e-03
2.000000e+02	1.661000e-03
2.500000e+02	1.585000e-03
3.000000e+02	1.555700e-03
3.500000e+02	1.557000e-03
4.000000e+02	1.575900e-03
4.500000e+02	1.602900e-03
5.000000e+02	1.631800e-03
5.500000e+02	1.659400e-03
6.000000e+02	1.684100e-03
6.500000e+02	1.705900e-03
7.000000e+02	1.725300e-03
7.500000e+02	1.742400e-03
8.000000e+02	1.757300e-03
8.500000e+02	1.769200e-03
9.000000e+02	1.776600e-03
9.500000e+02	1.777400e-03
1.000000e+03	1.769000e-03
