# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	0.000000e+00
2.500000e-01	8.867600e-07
3.000000e-01	2.664900e-06
3.500000e-01	4.231500e-06
4.000000e-01	5.595000e-06
4.500000e-01	6.809800e-06
5.000000e-01	7.910100e-06
5.500000e-01	8.919000e-06
6.000000e-01	9.852600e-06
6.500000e-01	1.072300e-05
7.000000e-01	1.153800e-05
7.500000e-01	1.230600e-05
8.000000e-01	1.303300e-05
8.500000e-01	1.376800e-05
9.000000e-01	1.449500e-05
9.500000e-01	1.520600e-05
1.000000e+00	1.590100e-05
1.500000e+00	2.195900e-05
2.000000e+00	2.723100e-05
2.500000e+00	3.285900e-05
3.000000e+00	3.791400e-05
3.500000e+00	4.228800e-05
4.000000e+00	4.607400e-05
4.500000e+00	4.937800e-05
5.000000e+00	5.229300e-05
5.500000e+00	5.489000e-05
6.000000e+00	5.722400e-05
6.500000e+00	5.933800e-05
7.000000e+00	6.126600e-05
7.500000e+00	6.303500e-05
8.000000e+00	6.466600e-05
8.500000e+00	6.617700e-05
9.000000e+00	6.758200e-05
9.500000e+00	6.889300e-05
1.000000e+01	7.012100e-05
1.500000e+01	7.917900e-05
2.000000e+01	8.474300e-05
2.500000e+01	8.839600e-05
3.000000e+01	9.085000e-05
3.500000e+01	9.250000e-05
4.000000e+01	9.359000e-05
4.500000e+01	9.428700e-05
5.000000e+01	9.470500e-05
5.500000e+01	9.492500e-05
6.000000e+01	9.500600e-05
6.500000e+01	9.499000e-05
7.000000e+01	9.490700e-05
7.500000e+01	9.478000e-05
8.000000e+01	9.462400e-05
8.500000e+01	9.444900e-05
9.000000e+01	9.426600e-05
9.500000e+01	9.407800e-05
1.000000e+02	9.389000e-05
