# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	5.826900e-01
2.000000e-04	1.370200e+00
2.500000e-04	1.850600e+00
3.000000e-04	2.160900e+00
3.500000e-04	2.367800e+00
4.000000e-04	2.557400e+00
4.500000e-04	2.717800e+00
5.000000e-04	2.835400e+00
5.500000e-04	2.921600e+00
6.000000e-04	2.984300e+00
6.500000e-04	3.029100e+00
7.000000e-04	3.095000e+00
7.500000e-04	3.147000e+00
8.000000e-04	3.187400e+00
8.500000e-04	3.218400e+00
9.000000e-04	3.241700e+00
9.500000e-04	3.258700e+00
1.000000e-03	3.270400e+00
1.500000e-03	3.230700e+00
2.000000e-03	3.089800e+00
2.500000e-03	2.935300e+00
3.000000e-03	2.788000e+00
3.500000e-03	2.653100e+00
4.000000e-03	2.530700e+00
4.500000e-03	2.420000e+00
5.000000e-03	2.319600e+00
5.500000e-03	2.228300e+00
6.000000e-03	2.144900e+00
6.500000e-03	2.068400e+00
7.000000e-03	1.998000e+00
7.500000e-03	1.933000e+00
8.000000e-03	1.872700e+00
8.500000e-03	1.816700e+00
9.000000e-03	1.764400e+00
9.500000e-03	1.715600e+00
1.000000e-02	1.669700e+00
1.500000e-02	1.329500e+00
2.000000e-02	1.115400e+00
2.500000e-02	9.664900e-01
3.000000e-02	8.559700e-01
3.500000e-02	7.702400e-01
4.000000e-02	7.015500e-01
4.500000e-02	6.451200e-01
5.000000e-02	5.978200e-01
5.500000e-02	5.571100e-01
6.000000e-02	5.219800e-01
6.500000e-02	4.914200e-01
7.000000e-02	4.645800e-01
7.500000e-02	4.407800e-01
8.000000e-02	4.195200e-01
8.500000e-02	4.004100e-01
9.000000e-02	3.831100e-01
9.500000e-02	3.673800e-01
1.000000e-01	3.530000e-01
1.500000e-01	2.562900e-01
2.000000e-01	2.020800e-01
2.500000e-01	1.675600e-01
3.000000e-01	1.435800e-01
3.500000e-01	1.259000e-01
4.000000e-01	1.122300e-01
4.500000e-01	1.013900e-01
5.000000e-01	9.256800e-02
5.500000e-01	8.514400e-02
6.000000e-01	7.887900e-02
6.500000e-01	7.351900e-02
7.000000e-01	6.887600e-02
7.500000e-01	6.481500e-02
8.000000e-01	6.123000e-02
8.500000e-01	5.804100e-02
9.000000e-01	5.518500e-02
9.500000e-01	5.261100e-02
1.000000e+00	5.028000e-02
1.500000e+00	3.478400e-02
2.000000e+00	2.669300e-02
2.500000e+00	2.171900e-02
3.000000e+00	1.834200e-02
3.500000e+00	1.591200e-02
4.000000e+00	1.421700e-02
4.500000e+00	1.290000e-02
5.000000e+00	1.178900e-02
5.500000e+00	1.087500e-02
6.000000e+00	1.013100e-02
6.500000e+00	9.523400e-03
7.000000e+00	9.014000e-03
7.500000e+00	8.574400e-03
8.000000e+00	8.186700e-03
8.500000e+00	7.840200e-03
9.000000e+00	7.528000e-03
9.500000e+00	7.245100e-03
1.000000e+01	6.988300e-03
1.500000e+01	5.404000e-03
2.000000e+01	4.732500e-03
2.500000e+01	4.370800e-03
3.000000e+01	4.118700e-03
3.500000e+01	3.912200e-03
4.000000e+01	3.734400e-03
4.500000e+01	3.581500e-03
5.000000e+01	3.451200e-03
5.500000e+01	3.341100e-03
6.000000e+01	3.248200e-03
6.500000e+01	3.169500e-03
7.000000e+01	3.102200e-03
7.500000e+01	3.044300e-03
8.000000e+01	2.993700e-03
8.500000e+01	2.949000e-03
9.000000e+01	2.909100e-03
9.500000e+01	2.872900e-03
1.000000e+02	2.839700e-03
1.500000e+02	2.599200e-03
2.000000e+02	2.453000e-03
2.500000e+02	2.384000e-03
3.000000e+02	2.376700e-03
3.500000e+02	2.410400e-03
4.000000e+02	2.466900e-03
4.500000e+02	2.532500e-03
5.000000e+02	2.598300e-03
5.500000e+02	2.659500e-03
6.000000e+02	2.714300e-03
6.500000e+02	2.763000e-03
7.000000e+02	2.806400e-03
7.500000e+02	2.845300e-03
8.000000e+02	2.879400e-03
8.500000e+02	2.907600e-03
9.000000e+02	2.927200e-03
9.500000e+02	2.934200e-03
1.000000e+03	2.923700e-03
