# Energy_MeV	NIEL_MeV_cm2_g
4.000000e-02	0.000000e+00
4.500000e-02	0.000000e+00
5.000000e-02	0.000000e+00
5.500000e-02	0.000000e+00
6.000000e-02	0.000000e+00
6.500000e-02	0.000000e+00
7.000000e-02	0.000000e+00
7.500000e-02	0.000000e+00
8.000000e-02	0.000000e+00
8.500000e-02	0.000000e+00
9.000000e-02	0.000000e+00
9.500000e-02	0.000000e+00
1.000000e-01	0.000000e+00
1.500000e-01	0.000000e+00
2.000000e-01	4.683700e-07
2.500000e-01	1.185400e-06
3.000000e-01	2.016200e-06
3.500000e-01	2.685900e-06
4.000000e-01	3.256700e-06
4.500000e-01	3.761300e-06
5.000000e-01	4.218500e-06
5.500000e-01	5.776500e-06
6.000000e-01	7.820700e-06
6.500000e-01	9.978600e-06
7.000000e-01	1.214900e-05
7.500000e-01	1.427700e-05
8.000000e-01	1.633000e-05
8.500000e-01	1.829500e-05
9.000000e-01	2.016500e-05
9.500000e-01	2.194100e-05
1.000000e+00	2.362600e-05
1.500000e+00	3.654100e-05
2.000000e+00	4.503700e-05
2.500000e+00	5.124400e-05
3.000000e+00	5.609500e-05
3.500000e+00	6.006200e-05
4.000000e+00	6.340800e-05
4.500000e+00	6.629400e-05
5.000000e+00	6.882600e-05
5.500000e+00	7.107600e-05
6.000000e+00	7.309700e-05
6.500000e+00	7.492700e-05
7.000000e+00	7.659600e-05
7.500000e+00	7.812500e-05
8.000000e+00	7.953400e-05
8.500000e+00	8.083700e-05
9.000000e+00	8.204700e-05
9.500000e+00	8.317200e-05
1.000000e+01	8.422300e-05
1.500000e+01	9.177500e-05
2.000000e+01	9.602400e-05
2.500000e+01	9.843000e-05
3.000000e+01	9.969700e-05
3.500000e+01	1.002400e-04
4.000000e+01	1.003100e-04
4.500000e+01	1.000900e-04
5.000000e+01	9.970400e-05
5.500000e+01	9.921900e-05
6.000000e+01	9.869000e-05
6.500000e+01	9.815100e-05
7.000000e+01	9.762100e-05
7.500000e+01	9.711400e-05
8.000000e+01	9.663500e-05
8.500000e+01	9.618800e-05
9.000000e+01	9.577300e-05
9.500000e+01	9.539100e-05
1.000000e+02	9.503800e-05
