# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	0.000000e+00
1.500000e-04	2.816600e-01
2.000000e-04	6.989800e-01
2.500000e-04	9.739200e-01
3.000000e-04	1.156200e+00
3.500000e-04	1.281600e+00
4.000000e-04	1.369600e+00
4.500000e-04	1.450000e+00
5.000000e-04	1.520100e+00
5.500000e-04	1.574000e+00
6.000000e-04	1.615600e+00
6.500000e-04	1.647800e+00
7.000000e-04	1.672700e+00
7.500000e-04	1.691700e+00
8.000000e-04	1.706000e+00
8.500000e-04	1.716600e+00
9.000000e-04	1.724100e+00
9.500000e-04	1.729100e+00
1.000000e-03	1.732000e+00
1.500000e-03	1.701000e+00
2.000000e-03	1.633400e+00
2.500000e-03	1.563000e+00
3.000000e-03	1.497000e+00
3.500000e-03	1.437000e+00
4.000000e-03	1.382600e+00
4.500000e-03	1.333300e+00
5.000000e-03	1.288500e+00
5.500000e-03	1.247600e+00
6.000000e-03	1.210000e+00
6.500000e-03	1.175400e+00
7.000000e-03	1.143400e+00
7.500000e-03	1.113600e+00
8.000000e-03	1.085800e+00
8.500000e-03	1.059800e+00
9.000000e-03	1.035300e+00
9.500000e-03	1.012400e+00
1.000000e-02	9.907100e-01
1.500000e-02	8.249300e-01
2.000000e-02	7.151200e-01
2.500000e-02	6.354500e-01
3.000000e-02	5.743000e-01
3.500000e-02	5.255100e-01
4.000000e-02	4.854900e-01
4.500000e-02	4.519200e-01
5.000000e-02	4.232900e-01
5.500000e-02	3.983100e-01
6.000000e-02	3.764500e-01
6.500000e-02	3.571900e-01
7.000000e-02	3.400700e-01
7.500000e-02	3.247200e-01
8.000000e-02	3.108700e-01
8.500000e-02	2.983000e-01
9.000000e-02	2.868400e-01
9.500000e-02	2.763300e-01
1.000000e-01	2.666500e-01
1.500000e-01	1.996700e-01
2.000000e-01	1.608800e-01
2.500000e-01	1.354600e-01
3.000000e-01	1.174400e-01
3.500000e-01	1.039400e-01
4.000000e-01	9.340300e-02
4.500000e-01	8.493700e-02
5.000000e-01	7.797100e-02
5.500000e-01	7.213100e-02
6.000000e-01	6.715700e-02
6.500000e-01	6.286700e-02
7.000000e-01	5.911100e-02
7.500000e-01	5.581000e-02
8.000000e-01	5.288800e-02
8.500000e-01	5.028300e-02
9.000000e-01	4.794400e-02
9.500000e-01	4.583100e-02
1.000000e+00	4.391300e-02
1.500000e+00	3.131500e-02
2.000000e+00	2.463700e-02
2.500000e+00	2.015300e-02
3.000000e+00	1.708000e-02
3.500000e+00	1.485100e-02
4.000000e+00	1.321500e-02
4.500000e+00	1.193100e-02
5.000000e+00	1.087100e-02
5.500000e+00	9.994600e-03
6.000000e+00	9.264000e-03
6.500000e+00	8.647700e-03
7.000000e+00	8.121000e-03
7.500000e+00	7.664400e-03
8.000000e+00	7.263300e-03
8.500000e+00	6.906800e-03
9.000000e+00	6.586900e-03
9.500000e+00	6.297500e-03
1.000000e+01	6.034400e-03
1.500000e+01	4.329600e-03
2.000000e+01	3.491900e-03
2.500000e+01	3.000200e-03
3.000000e+01	2.662400e-03
3.500000e+01	2.404400e-03
4.000000e+01	2.196900e-03
4.500000e+01	2.026600e-03
5.000000e+01	1.885400e-03
5.500000e+01	1.767400e-03
6.000000e+01	1.667900e-03
6.500000e+01	1.583100e-03
7.000000e+01	1.510100e-03
7.500000e+01	1.446500e-03
8.000000e+01	1.390400e-03
8.500000e+01	1.340600e-03
9.000000e+01	1.295800e-03
9.500000e+01	1.255200e-03
1.000000e+02	1.218100e-03
1.500000e+02	9.665000e-04
2.000000e+02	8.329000e-04
2.500000e+02	7.583600e-04
3.000000e+02	7.150600e-04
3.500000e+02	6.885100e-04
4.000000e+02	6.714500e-04
4.500000e+02	6.603300e-04
5.000000e+02	6.533500e-04
5.500000e+02	6.493400e-04
6.000000e+02	6.473000e-04
6.500000e+02	6.461600e-04
7.000000e+02	6.449100e-04
7.500000e+02	6.426900e-04
8.000000e+02	6.390400e-04
8.500000e+02	6.340700e-04
9.000000e+02	6.286200e-04
9.500000e+02	6.243500e-04
1.000000e+03	6.238200e-04
