# Energy_MeV	NIEL_MeV_cm2_g
1.000000e-04	3.334300e-01
1.500000e-04	7.182200e-01
2.000000e-04	9.682400e-01
2.500000e-04	1.468500e+00
3.000000e-04	1.857400e+00
3.500000e-04	2.153400e+00
4.000000e-04	2.385000e+00
4.500000e-04	2.569700e+00
5.000000e-04	2.719200e+00
5.500000e-04	2.841500e+00
6.000000e-04	2.942400e+00
6.500000e-04	3.026200e+00
7.000000e-04	3.096000e+00
7.500000e-04	3.154300e+00
8.000000e-04	3.203000e+00
8.500000e-04	3.243600e+00
9.000000e-04	3.277500e+00
9.500000e-04	3.305500e+00
1.000000e-03	3.328600e+00
1.500000e-03	3.394400e+00
2.000000e-03	3.326600e+00
2.500000e-03	3.218500e+00
3.000000e-03	3.100100e+00
3.500000e-03	2.982700e+00
4.000000e-03	2.870400e+00
4.500000e-03	2.764800e+00
5.000000e-03	2.666200e+00
5.500000e-03	2.574400e+00
6.000000e-03	2.488900e+00
6.500000e-03	2.409300e+00
7.000000e-03	2.335100e+00
7.500000e-03	2.265700e+00
8.000000e-03	2.200800e+00
8.500000e-03	2.139900e+00
9.000000e-03	2.082600e+00
9.500000e-03	2.028800e+00
1.000000e-02	1.978000e+00
1.500000e-02	1.592700e+00
2.000000e-02	1.344300e+00
2.500000e-02	1.169200e+00
3.000000e-02	1.038300e+00
3.500000e-02	9.362300e-01
4.000000e-02	8.541200e-01
4.500000e-02	7.864600e-01
5.000000e-02	7.296300e-01
5.500000e-02	6.811400e-01
6.000000e-02	6.392300e-01
6.500000e-02	6.025900e-01
7.000000e-02	5.702600e-01
7.500000e-02	5.415000e-01
8.000000e-02	5.157200e-01
8.500000e-02	4.924800e-01
9.000000e-02	4.714100e-01
9.500000e-02	4.522000e-01
1.000000e-01	4.346200e-01
1.500000e-01	3.152700e-01
2.000000e-01	2.497400e-01
2.500000e-01	2.082300e-01
3.000000e-01	1.796100e-01
3.500000e-01	1.584600e-01
4.000000e-01	1.418400e-01
4.500000e-01	1.286200e-01
5.000000e-01	1.178400e-01
5.500000e-01	1.088600e-01
6.000000e-01	1.012500e-01
6.500000e-01	9.472600e-02
7.000000e-01	8.878900e-02
7.500000e-01	8.342800e-02
8.000000e-01	7.869800e-02
8.500000e-01	7.449300e-02
9.000000e-01	7.072900e-02
9.500000e-01	6.733900e-02
1.000000e+00	6.426900e-02
1.500000e+00	4.436000e-02
2.000000e+00	3.403400e-02
2.500000e+00	2.768400e-02
3.000000e+00	2.337900e-02
3.500000e+00	2.032300e-02
4.000000e+00	1.806400e-02
4.500000e+00	1.634300e-02
5.000000e+00	1.499300e-02
5.500000e+00	1.388400e-02
6.000000e+00	1.295400e-02
6.500000e+00	1.216800e-02
7.000000e+00	1.150100e-02
7.500000e+00	1.093000e-02
8.000000e+00	1.043700e-02
8.500000e+00	1.000900e-02
9.000000e+00	9.632900e-03
9.500000e+00	9.300600e-03
1.000000e+01	9.004700e-03
1.500000e+01	7.194000e-03
2.000000e+01	6.336900e-03
2.500000e+01	5.823400e-03
3.000000e+01	5.454500e-03
3.500000e+01	5.161900e-03
4.000000e+01	4.920900e-03
4.500000e+01	4.720200e-03
5.000000e+01	4.552200e-03
5.500000e+01	4.410400e-03
6.000000e+01	4.289300e-03
6.500000e+01	4.184200e-03
7.000000e+01	4.091600e-03
7.500000e+01	4.008400e-03
8.000000e+01	3.932600e-03
8.500000e+01	3.862600e-03
9.000000e+01	3.797200e-03
9.500000e+01	3.735500e-03
1.000000e+02	3.677000e-03
1.500000e+02	3.222700e-03
2.000000e+02	2.962600e-03
2.500000e+02	2.834400e-03
3.000000e+02	2.777200e-03
3.500000e+02	2.753500e-03
4.000000e+02	2.746100e-03
4.500000e+02	2.749000e-03
5.000000e+02	2.760300e-03
5.500000e+02	2.778500e-03
6.000000e+02	2.800700e-03
6.500000e+02	2.822800e-03
7.000000e+02	2.840200e-03
7.500000e+02	2.848900e-03
8.000000e+02	2.847000e-03
8.500000e+02	2.835600e-03
9.000000e+02	2.820000e-03
9.500000e+02	2.809700e-03
1.000000e+03	2.819400e-03
