energy_MeV,niel_MeV_cm2_g
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.15,0.0
0.2,0.0
0.25,0.0
0.3,0.0
0.35,0.0
0.4,0.0
0.45,0.0
0.5,0.0
0.55,0.0
0.6,0.0
0.65,0.0
0.7,0.0
0.75,1.0921e-07
0.8,4.545e-07
0.85,8.8366e-07
0.9,1.3724e-06
0.95,1.9028e-06
1.0,2.4614e-06
1.5,8.7271e-06
2.0,1.5635e-05
2.5,2.1737e-05
3.0,2.6931e-05
3.5,3.1371e-05
4.0,3.5212e-05
4.5,3.8577e-05
5.0,4.1559e-05
5.5,4.4228e-05
6.0,4.6637e-05
6.5,4.8828e-05
7.0,5.0833e-05
7.5,5.2678e-05
8.0,5.4384e-05
8.5,5.5968e-05
9.0,5.7444e-05
9.5,5.8825e-05
10.0,6.012e-05
15.0,6.9751e-05
20.0,7.5754e-05
25.0,7.9761e-05
30.0,8.2509e-05
35.0,8.4404e-05
40.0,8.5699e-05
45.0,8.6564e-05
50.0,8.7119e-05
55.0,8.745e-05
60.0,8.7619e-05
65.0,8.7672e-05
70.0,8.7642e-05
75.0,8.7555e-05
80.0,8.7428e-05
85.0,8.7275e-05
90.0,8.7106e-05
95.0,8.6927e-05
100.0,8.6743e-05
